phase,side,arm,learner,feature,folds_retained
diagnostic,defense,audited_all,ridge,AST_p100,5
diagnostic,defense,audited_all,ridge,BLK_p100,5
diagnostic,defense,audited_all,ridge,DREB_p100,5
diagnostic,defense,audited_all,ridge,FG2A_p100,5
diagnostic,defense,audited_all,ridge,FG2M_p100,5
diagnostic,defense,audited_all,ridge,FG3A_p100,5
diagnostic,defense,audited_all,ridge,FG3M_p100,5
diagnostic,defense,audited_all,ridge,FTA_p100,5
diagnostic,defense,audited_all,ridge,FTM_p100,5
diagnostic,defense,audited_all,ridge,OREB_p100,5
diagnostic,defense,audited_all,ridge,PFD_p100,5
diagnostic,defense,audited_all,ridge,PF_p100,5
diagnostic,defense,audited_all,ridge,PTS_p100,5
diagnostic,defense,audited_all,ridge,STL_p100,5
diagnostic,defense,audited_all,ridge,TOV_p100,5
diagnostic,defense,audited_all,ridge,avg_dribbles_per_touch,5
diagnostic,defense,audited_all,ridge,charges_drawn_p100,5
diagnostic,defense,audited_all,ridge,contested_2pt_p100,5
diagnostic,defense,audited_all,ridge,def_loose_balls_recovered_p100,5
diagnostic,defense,audited_all,ridge,dfg_attempts_p100,5
diagnostic,defense,audited_all,ridge,dfg_diff_pct_eb,5
diagnostic,defense,audited_all,ridge,dreb_chances_p100,5
diagnostic,defense,audited_all,ridge,dreb_contests_p100,5
diagnostic,defense,audited_all,ridge,dreb_conversion_above_expected_eb,5
diagnostic,defense,audited_all,ridge,drive_assists_p100,5
diagnostic,defense,audited_all,ridge,drive_assists_per_drive,5
diagnostic,defense,audited_all,ridge,drive_fta_p100,5
diagnostic,defense,audited_all,ridge,drive_fta_per_drive,5
diagnostic,defense,audited_all,ridge,drive_points_p100,5
diagnostic,defense,audited_all,ridge,drive_points_per_drive,5
diagnostic,defense,audited_all,ridge,drives_p100,5
diagnostic,defense,audited_all,ridge,elbow_points_per_touch,5
diagnostic,defense,audited_all,ridge,elbow_touches_p100,5
diagnostic,defense,audited_all,ridge,fg2_pct,5
diagnostic,defense,audited_all,ridge,fg3_pct,5
diagnostic,defense,audited_all,ridge,foul_adjusted_activity_residual,5
diagnostic,defense,audited_all,ridge,front_court_touches_p100,5
diagnostic,defense,audited_all,ridge,ft_pct,5
diagnostic,defense,audited_all,ridge,matchup_assists_suppressed_vs_scorer_p100_eb,5
diagnostic,defense,audited_all,ridge,matchup_blocks_p100,5
diagnostic,defense,audited_all,ridge,matchup_fga_suppressed_vs_scorer_p100_eb,5
