feature,source_family,raw_missing_rows,source_missing_rows,completion_method,completed_missing_rows
PTS_p100,player_sheet,0,0,observed,0
AST_p100,player_sheet,0,0,observed,0
TOV_p100,player_sheet,0,0,observed,0
STL_p100,player_sheet,0,0,observed,0
BLK_p100,player_sheet,0,0,observed,0
OREB_p100,player_sheet,0,0,observed,0
DREB_p100,player_sheet,0,0,observed,0
PF_p100,player_sheet,0,0,observed,0
PFD_p100,player_sheet,0,0,observed,0
FTA_p100,player_sheet,0,0,observed,0
FTM_p100,player_sheet,649,0,zero_event_rate_with_known_exposure,0
FG2A_p100,player_sheet,0,0,observed,0
FG2M_p100,player_sheet,559,0,zero_event_rate_with_known_exposure,0
FG3A_p100,player_sheet,0,0,observed,0
FG3M_p100,player_sheet,0,0,observed,0
drive_turnovers_p100,player_sheet,0,0,observed,0
catch_shoot_fga_p100,player_sheet,0,0,observed,0
pull_up_fga_p100,player_sheet,0,0,observed,0
at_rim_fga_p100,player_sheet,571,0,zero_event_rate_with_known_exposure,0
short_mid_fga_p100,player_sheet,595,0,zero_event_rate_with_known_exposure,0
long_mid_fga_p100,player_sheet,842,0,zero_event_rate_with_known_exposure,0
corner3_fga_p100,player_sheet,1260,0,zero_event_rate_with_known_exposure,0
arc3_fga_p100,player_sheet,949,0,zero_event_rate_with_known_exposure,0
open_fga_p100,player_sheet,180,0,zero_event_rate_with_known_exposure,0
wide_open_fga_p100,player_sheet,229,0,zero_event_rate_with_known_exposure,0
tight_fga_p100,player_sheet,147,0,zero_event_rate_with_known_exposure,0
very_tight_fga_p100,player_sheet,452,0,zero_event_rate_with_known_exposure,0
live_ball_turnovers_p100,player_sheet,660,0,zero_event_rate_with_known_exposure,0
bad_pass_turnovers_p100,player_sheet,0,0,observed,0
lost_ball_turnovers_p100,player_sheet,974,0,zero_event_rate_with_known_exposure,0
travels_p100,player_sheet,1772,0,zero_event_rate_with_known_exposure,0
offensive_fouls_p100,player_sheet,1586,0,zero_event_rate_with_known_exposure,0
shooting_fouls_drawn_p100,player_sheet,672,0,zero_event_rate_with_known_exposure,0
rebound_contests_p100,player_sheet,96,0,zero_event_rate_with_known_exposure,0
rebound_chances_p100,player_sheet,96,0,zero_event_rate_with_known_exposure,0
dreb_contests_p100,player_sheet,96,0,zero_event_rate_with_known_exposure,0
dreb_chances_p100,player_sheet,96,0,zero_event_rate_with_known_exposure,0
recovered_blocks_p100,player_sheet,1119,0,zero_event_rate_with_known_exposure,0
fg2_pct,player_sheet,559,0,same_season_eb,0
fg3_pct,player_sheet,499,0,same_season_eb,0
ft_pct,player_sheet,649,0,same_season_eb,0
at_rim_accuracy,player_sheet,615,0,same_season_eb,0
short_mid_accuracy,player_sheet,833,0,same_season_eb,0
long_mid_accuracy,player_sheet,1459,0,same_season_eb,0
corner3_accuracy,player_sheet,1741,0,same_season_eb,0
arc3_accuracy,player_sheet,1453,0,same_season_eb,0
catch_shoot_accuracy,player_sheet,220,0,same_season_eb,0
catch_shoot_3_accuracy,player_sheet,579,0,same_season_eb,0
pull_up_accuracy,player_sheet,482,0,same_season_eb,0
pull_up_3_accuracy,player_sheet,1391,0,same_season_eb,0
open_accuracy,player_sheet,180,0,same_season_eb,0
open_3_accuracy,player_sheet,971,0,same_season_eb,0
wide_open_accuracy,player_sheet,229,0,same_season_eb,0
wide_open_3_accuracy,player_sheet,674,0,same_season_eb,0
tight_accuracy,player_sheet,147,0,same_season_eb,0
tight_3_accuracy,player_sheet,1906,0,same_season_eb,0
very_tight_accuracy,player_sheet,452,0,same_season_eb,0
very_tight_3_accuracy,player_sheet,4677,0,same_season_eb,0
at_rim_frequency,player_sheet,571,0,same_season_eb,0
short_mid_frequency,player_sheet,595,0,same_season_eb,0
long_mid_frequency,player_sheet,842,0,same_season_eb,0
corner3_frequency,player_sheet,1260,0,same_season_eb,0
arc3_frequency,player_sheet,949,0,same_season_eb,0
drive_turnovers_per_drive,player_sheet,261,0,same_season_eb,0
live_ball_turnover_share,player_sheet,660,0,same_season_eb,0
bad_pass_turnover_share,player_sheet,249,0,same_season_eb,0
lost_ball_turnover_share,player_sheet,974,0,same_season_eb,0
usage_events_p100,player_sheet,0,0,observed,0
shot_quality_average,player_sheet,512,0,same_season_median,0
arc3_accuracy_eb,player_sheet,0,0,observed,0
arc3_frequency_eb,player_sheet,0,0,observed,0
at_rim_accuracy_eb,player_sheet,0,0,observed,0
at_rim_frequency_eb,player_sheet,0,0,observed,0
bad_pass_turnover_share_eb,player_sheet,0,0,observed,0
catch_shoot_3_accuracy_eb,player_sheet,0,0,observed,0
catch_shoot_accuracy_eb,player_sheet,0,0,observed,0
corner3_accuracy_eb,player_sheet,0,0,observed,0
corner3_frequency_eb,player_sheet,0,0,observed,0
drive_assists_per_drive_eb,player_sheet,0,0,observed,0
drive_fta_per_drive_eb,player_sheet,0,0,observed,0
drive_points_per_drive_eb,player_sheet,0,0,observed,0
drive_turnovers_per_drive_eb,player_sheet,0,0,observed,0
elbow_points_per_touch_eb,player_sheet,0,0,observed,0
fg2_pct_eb,player_sheet,0,0,observed,0
fg3_pct_eb,player_sheet,0,0,observed,0
ft_pct_eb,player_sheet,0,0,observed,0
live_ball_turnover_share_eb,player_sheet,0,0,observed,0
long_mid_accuracy_eb,player_sheet,0,0,observed,0
long_mid_frequency_eb,player_sheet,0,0,observed,0
lost_ball_turnover_share_eb,player_sheet,0,0,observed,0
open_3_accuracy_eb,player_sheet,0,0,observed,0
open_accuracy_eb,player_sheet,0,0,observed,0
paint_points_per_touch_eb,player_sheet,0,0,observed,0
passes_per_touch_eb,player_sheet,0,0,observed,0
post_points_per_touch_eb,player_sheet,0,0,observed,0
potential_assists_per_touch_eb,player_sheet,0,0,observed,0
pull_up_3_accuracy_eb,player_sheet,0,0,observed,0
pull_up_accuracy_eb,player_sheet,0,0,observed,0
short_mid_accuracy_eb,player_sheet,0,0,observed,0
short_mid_frequency_eb,player_sheet,0,0,observed,0
tight_3_accuracy_eb,player_sheet,0,0,observed,0
tight_accuracy_eb,player_sheet,0,0,observed,0
very_tight_3_accuracy_eb,player_sheet,0,0,observed,0
very_tight_accuracy_eb,player_sheet,0,0,observed,0
wide_open_3_accuracy_eb,player_sheet,0,0,observed,0
wide_open_accuracy_eb,player_sheet,0,0,observed,0
AST_p100_relative,player_sheet,0,0,observed,0
FG3A_p100_relative,player_sheet,0,0,observed,0
FTA_p100_relative,player_sheet,0,0,observed,0
PTS_p100_relative,player_sheet,0,0,observed,0
TOV_p100_relative,player_sheet,0,0,observed,0
arc3_frequency_relative,player_sheet,0,0,observed,0
at_rim_frequency_relative,player_sheet,0,0,observed,0
drives_p100_relative,player_sheet,0,0,observed,0
potential_assists_p100_relative,player_sheet,0,0,observed,0
shot_quality_average_relative,player_sheet,0,0,observed,0
true_shooting_pct_relative,player_sheet,0,0,observed,0
shooting_proficiency_2017_eb,player_sheet,0,0,observed,0
box_creation_2017_eb_p100,player_sheet,0,0,observed,0
offensive_load_2017_eb_p100,player_sheet,0,0,observed,0
assist_to_load_2017_eb,player_sheet,0,0,observed,0
turnover_to_load_2017_eb,player_sheet,0,0,observed,0
creation_to_load_2017_eb,player_sheet,0,0,observed,0
behavioral_passer_score_v1,player_sheet,0,0,observed,0
crafted_spacing_stable_v1,player_sheet,0,0,observed,0
drives_p100,player_sheet,0,0,observed,0
drive_points_p100,player_sheet,0,0,observed,0
drive_assists_p100,player_sheet,0,0,observed,0
drive_fta_p100,player_sheet,0,0,observed,0
touches_p100,player_sheet,0,0,observed,0
front_court_touches_p100,player_sheet,0,0,observed,0
paint_touches_p100,player_sheet,0,0,observed,0
post_touches_p100,player_sheet,0,0,observed,0
elbow_touches_p100,player_sheet,0,0,observed,0
time_of_possession_p100,player_sheet,0,0,observed,0
passes_made_p100,player_sheet,0,0,observed,0
passes_received_p100,player_sheet,0,0,observed,0
potential_assists_p100,player_sheet,0,0,observed,0
secondary_assists_p100,player_sheet,0,0,observed,0
assist_points_created_p100,player_sheet,0,0,observed,0
drive_points_per_drive,player_sheet,261,0,same_season_eb,0
drive_assists_per_drive,player_sheet,261,0,same_season_eb,0
drive_fta_per_drive,player_sheet,261,0,same_season_eb,0
passes_per_touch,player_sheet,4,0,same_season_eb,0
potential_assists_per_touch,player_sheet,4,0,same_season_eb,0
paint_points_per_touch,player_sheet,252,0,same_season_eb,0
post_points_per_touch,player_sheet,2052,0,same_season_eb,0
elbow_points_per_touch,player_sheet,475,0,same_season_eb,0
avg_seconds_per_touch,player_sheet,4,0,same_season_median,0
avg_dribbles_per_touch,player_sheet,4,0,same_season_median,0
deflections_p100,hustle,0,1939,zero_with_source_availability_flag,0
charges_drawn_p100,hustle,0,1939,zero_with_source_availability_flag,0
contested_2pt_p100,hustle,0,1939,zero_with_source_availability_flag,0
contested_3pt_p100,hustle,0,1939,zero_with_source_availability_flag,0
def_loose_balls_recovered_p100,hustle,0,1939,zero_with_source_availability_flag,0
matchup_opponent_adjusted_points_saved_p100_eb,matchup_defense,0,1952,zero_with_source_availability_flag,0
matchup_fga_suppressed_vs_scorer_p100_eb,matchup_defense,0,1952,zero_with_source_availability_flag,0
matchup_shotmaking_points_saved_vs_scorer_p100_eb,matchup_defense,0,1952,zero_with_source_availability_flag,0
matchup_three_pa_suppressed_vs_scorer_p100_eb,matchup_defense,0,1952,zero_with_source_availability_flag,0
matchup_turnovers_forced_vs_scorer_p100_eb,matchup_defense,0,1952,zero_with_source_availability_flag,0
matchup_assists_suppressed_vs_scorer_p100_eb,matchup_defense,0,1952,zero_with_source_availability_flag,0
matchup_shooting_fouls_prevented_vs_scorer_p100_eb,matchup_defense,0,1952,zero_with_source_availability_flag,0
matchup_blocks_p100,matchup_defense,0,1952,zero_with_source_availability_flag,0
dfg_attempts_p100,dfg,0,46,zero_with_source_availability_flag,0
dfg_diff_pct_eb,dfg,0,46,zero_with_source_availability_flag,0
rim_dfga_p100,rim_dfg,0,123,zero_with_source_availability_flag,0
rim_diff_pct_eb,rim_dfg,0,123,zero_with_source_availability_flag,0
rim_points_saved_p100,rim_dfg,0,123,zero_with_source_availability_flag,0
zts_source_tier,playtype,0,1388,derived_source_availability_tier,0
has_hustle_tracking,hustle,0,1939,derived_source_availability_flag,0
has_matchup_tracking,matchup_defense,0,1952,derived_source_availability_flag,0
has_dfg_tracking,dfg,0,46,derived_source_availability_flag,0
has_rim_defense_tracking,rim_dfg,0,123,derived_source_availability_flag,0
true_shooting_pct,player_sheet,82,0,same_season_eb_100_true_shot_attempts,0
zts_pct_points,playtype,0,1802,eb_true_shooting_minus_best_available_expected_mix,0
