feature,suggested_side,family,source_family,lane,in_wide_295_panel,in_completed_contract,in_box15_control,new_mechanism_feature,observed_nonmissing_fraction_in_wide_panel,completion_method,target_or_future_information_used,recommended_action
interior_role_load,unspecified,rim_interior,gabriel_player_sheet_or_derived,descriptive_role,True,False,False,False,1.0,not_in_completed_contract,False,family_screen_then_chronological_selection
OnDefRtg,unspecified,general_box_or_rate,gabriel_player_sheet_or_derived,lineup_derived_circular,True,False,False,False,0.926822241428983,not_in_completed_contract,False,exclude_from_clean_prior
OnOffRtg,unspecified,general_box_or_rate,gabriel_player_sheet_or_derived,lineup_derived_circular,True,False,False,False,0.9269662921348315,not_in_completed_contract,False,exclude_from_clean_prior
assist_creation,offense,creation_passing,predictive_skill_estimate,predictive_only,False,False,False,False,,not_in_completed_contract,False,keep_in_predictive_lane
drive_creation,offense,creation_passing,predictive_skill_estimate,predictive_only,False,False,False,False,,not_in_completed_contract,False,keep_in_predictive_lane
drives_p100_latest,offense,creation_passing,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
drives_p100_trend,offense,creation_passing,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
drives_p100_volatility,offense,creation_passing,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
passing_efficiency,offense,creation_passing,predictive_skill_estimate,predictive_only,False,False,False,False,,not_in_completed_contract,False,keep_in_predictive_lane
potential_assists,offense,creation_passing,predictive_skill_estimate,predictive_only,False,False,False,False,,not_in_completed_contract,False,keep_in_predictive_lane
potential_assists_p100_latest,offense,creation_passing,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
potential_assists_p100_trend,offense,creation_passing,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
potential_assists_p100_volatility,offense,creation_passing,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
rim_assists,offense,creation_passing,predictive_skill_estimate,predictive_only,False,False,False,False,,not_in_completed_contract,False,keep_in_predictive_lane
three_point_assists,offense,creation_passing,predictive_skill_estimate,predictive_only,False,False,False,False,,not_in_completed_contract,False,keep_in_predictive_lane
touches_p100_latest,offense,creation_passing,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
touches_p100_trend,offense,creation_passing,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
touches_p100_volatility,offense,creation_passing,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
STL_p100_latest,defense,disruption,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
STL_p100_trend,defense,disruption,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
STL_p100_volatility,defense,disruption,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
deflections,defense,disruption,predictive_skill_estimate,predictive_only,False,False,False,False,,not_in_completed_contract,False,keep_in_predictive_lane
recovered_blocks,defense,disruption,predictive_skill_estimate,predictive_only,False,False,False,False,,not_in_completed_contract,False,keep_in_predictive_lane
recovered_blocks_p100_latest,defense,disruption,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
recovered_blocks_p100_trend,defense,disruption,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
recovered_blocks_p100_volatility,defense,disruption,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
FTA_p100_latest,unspecified,fouls_free_throws,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
FTA_p100_trend,unspecified,fouls_free_throws,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
FTA_p100_volatility,unspecified,fouls_free_throws,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
PF_p100_latest,unspecified,fouls_free_throws,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
PF_p100_trend,unspecified,fouls_free_throws,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
PF_p100_volatility,unspecified,fouls_free_throws,derived_temporal,predictive_only,True,False,False,False,1.0,not_in_completed_contract,False,keep_in_predictive_lane
foul_discipline,unspecified,fouls_free_throws,predictive_skill_estimate,predictive_only,False,False,False,False,,not_in_completed_contract,False,keep_in_predictive_lane
free_throw_pct,unspecified,general_box_or_rate,predictive_skill_estimate,predictive_only,False,False,False,False,,not_in_completed_contract,False,keep_in_predictive_lane
free_throw_pressure,unspecified,general_box_or_rate,predictive_skill_estimate,predictive_only,False,False,False,False,,not_in_completed_contract,False,keep_in_predictive_lane
long_mid_pct,unspecified,general_box_or_rate,predictive_skill_estimate,predictive_only,False,False,False,False,,not_in_completed_contract,False,keep_in_predictive_lane
offensive_load,unspecified,general_box_or_rate,predictive_skill_estimate,predictive_only,False,False,False,False,,not_in_completed_contract,False,keep_in_predictive_lane
short_mid_pct,unspecified,general_box_or_rate,predictive_skill_estimate,predictive_only,False,False,False,False,,not_in_completed_contract,False,keep_in_predictive_lane
matchup_adjusted_points_saved,defense,matchup_shot_defense,predictive_skill_estimate,predictive_only,False,False,False,False,,not_in_completed_contract,False,keep_in_predictive_lane
