panel,feature,side,source_family,rows,observed_rows,coverage_fraction,below_threshold,reason_code,reason
annual,very_tight_3_accuracy,offense,player_sheet,6942,2265,0.3262748487467589,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.
annual,post_points_per_touch,defense,player_sheet,6942,4890,0.7044079515989629,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.
annual,matchup_assists_suppressed_vs_scorer_p100_eb,defense,matchup_defense,6942,4990,0.7188130221838087,True,source_history_and_matchup_exposure,The pinned scorer-defender matchup source starts in 2018. Later omissions are players without a positive observed matchup assignment.
annual,matchup_blocks_p100,defense,matchup_defense,6942,4990,0.7188130221838087,True,source_history_and_matchup_exposure,The pinned scorer-defender matchup source starts in 2018. Later omissions are players without a positive observed matchup assignment.
annual,matchup_fga_suppressed_vs_scorer_p100_eb,defense,matchup_defense,6942,4990,0.7188130221838087,True,source_history_and_matchup_exposure,The pinned scorer-defender matchup source starts in 2018. Later omissions are players without a positive observed matchup assignment.
annual,matchup_opponent_adjusted_points_saved_p100_eb,defense,matchup_defense,6942,4990,0.7188130221838087,True,source_history_and_matchup_exposure,The pinned scorer-defender matchup source starts in 2018. Later omissions are players without a positive observed matchup assignment.
annual,matchup_shooting_fouls_prevented_vs_scorer_p100_eb,defense,matchup_defense,6942,4990,0.7188130221838087,True,source_history_and_matchup_exposure,The pinned scorer-defender matchup source starts in 2018. Later omissions are players without a positive observed matchup assignment.
annual,matchup_shotmaking_points_saved_vs_scorer_p100_eb,defense,matchup_defense,6942,4990,0.7188130221838087,True,source_history_and_matchup_exposure,The pinned scorer-defender matchup source starts in 2018. Later omissions are players without a positive observed matchup assignment.
annual,matchup_three_pa_suppressed_vs_scorer_p100_eb,defense,matchup_defense,6942,4990,0.7188130221838087,True,source_history_and_matchup_exposure,The pinned scorer-defender matchup source starts in 2018. Later omissions are players without a positive observed matchup assignment.
annual,matchup_turnovers_forced_vs_scorer_p100_eb,defense,matchup_defense,6942,4990,0.7188130221838087,True,source_history_and_matchup_exposure,The pinned scorer-defender matchup source starts in 2018. Later omissions are players without a positive observed matchup assignment.
