feature,suggested_side,family,source_family,lane,in_box15_control,new_mechanism_feature,rows,coverage,minimum,p01,median,p99,maximum,standard_deviation,adjacent_season_median_correlation,adjacent_transitions,adjacent_player_pairs,early_late_smd,early_late_univariate_auc,source_shift_flag,stable_redundancy_member,screen_status
very_tight_3_accuracy_eb,offense,shooting,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.21966282623236713,0.2315270935960591,0.28207677335850606,0.32432432432432434,0.346975546975547,0.02406989547023829,0.8624295776686042,8,6912,1.865458774910576,0.8913196922629851,True,False,audit_source_shift
pass_value_per_potential_assist_eb,offense,creation_passing,same_season_mechanism,retrospective_candidate,False,True,8620,1.0,0.9845579315102337,1.1094036187308323,1.3578922484988674,1.5669182432067525,1.7074843117277037,0.10298718389523989,0.8487912321560447,8,6912,1.6645138065509975,0.8781869452867865,True,False,audit_source_shift
post_points_per_touch_eb,offense,creation_passing,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.24556615387362218,0.4213619274470504,0.5374188731261846,0.6376078409558406,0.7674416046101716,0.04505658394740116,0.8988221454038445,8,6912,1.4807551950666118,0.8739959546654285,True,False,audit_source_shift
elbow_points_per_touch_eb,offense,creation_passing,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.20222328896976063,0.3403356270432557,0.5486637219824264,0.689790858155405,0.7742284331637944,0.07717620845809352,0.8992628219576179,8,6912,1.5856292529815141,0.8724772061082935,True,False,audit_source_shift
very_tight_accuracy_eb,offense,shooting,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.352511355354261,0.4212137975551261,0.47440653021425216,0.5798694369069681,0.6517822850526214,0.03853761934098296,0.8800672370492462,8,6912,-1.3914664493737465,0.8201254596589451,True,False,audit_source_shift
deflections_p100,defense,disruption,defensive_tracking,retrospective_candidate,False,False,8620,1.0,0.0,0.0,2.3964879531236916,6.122064509957578,12.781954887218046,1.4060232215790442,0.918744870614302,8,6912,1.1395653804328183,0.7954825537307301,True,False,audit_source_shift
long_mid_frequency_eb,offense,general_box_or_rate,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.01573866263286008,0.025011169525702915,0.101118678780473,0.3220855114810805,0.5102585253835255,0.06462032285339052,0.9534254557745764,8,6912,-1.0960355634391925,0.7913928148484491,True,False,audit_source_shift
at_rim_accuracy_eb,offense,rim_interior,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.5000703695768163,0.5539615224746587,0.6339192953864932,0.7234534648531706,0.7636386965550999,0.03432400742801141,0.9135423693013149,8,6912,1.0339321081822799,0.7791294618830698,True,False,audit_source_shift
short_mid_accuracy_eb,offense,shooting,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.31077265547847815,0.352995702904131,0.40819389492287866,0.48147133694637106,0.5672873458620755,0.026296112914749266,0.8791294160397303,8,6912,0.9978974170645925,0.7704809446594553,True,False,audit_source_shift
fg2_pct_eb,offense,shooting,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.3946561284198497,0.436913426962606,0.5180400553195383,0.6281903476827543,0.7098628380914316,0.038659934330169315,0.9268600993917849,8,6912,0.8177009818990852,0.735804536463317,True,False,audit_source_shift
paint_points_per_touch_eb,offense,creation_passing,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.5916918861935684,0.6808530000597776,0.8470350216198594,1.0282442433498606,1.1520720854208812,0.06750316042970386,0.9138988961580894,8,6912,0.7814751937790136,0.7206093978241391,True,False,audit_source_shift
long_mid_frequency,offense,general_box_or_rate,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.00273224043715847,0.009841656483808489,0.09629658310557616,0.38655549202861744,1.0,0.08694678549836123,0.9338922555797396,8,6912,-0.7808550912865854,0.7141500709340283,True,False,audit_source_shift
drive_points_per_drive_eb,offense,creation_passing,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.2634830908772793,0.3706441651180401,0.5365636402938148,0.6939579358180427,0.8279790766886236,0.06153101194059427,0.9417237589132145,8,6912,0.7074483209351463,0.7075807105471554,True,False,audit_source_shift
contested_3pt_p100,defense,three_spacing,defensive_tracking,retrospective_candidate,False,False,8620,1.0,0.0,0.0,3.7755528483989598,7.577115178331992,17.741935483870968,1.8347937108935721,0.8826107060636725,8,6912,0.8456339497675791,0.703027410480992,True,False,audit_source_shift
long_mid_accuracy_eb,offense,shooting,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.32920454485148565,0.3613554049462836,0.40541538978551916,0.45213759055673286,0.5132516173784254,0.0168758557947855,0.848417622192432,8,6912,0.6183955734052388,0.6990565694402211,False,False,eligible_for_fold_internal_screen
