side,feature_a,feature_b,correlation,abs_correlation
defense,has_hustle_tracking,has_matchup_tracking,0.9997780900135049,0.9997780900135049
offense,FTA_p100,FTA_p100_relative,0.9980520791275533,0.9980520791275533
offense,at_rim_frequency,at_rim_frequency_relative,0.9973426782605792,0.9973426782605792
defense,AST_p100,assist_points_created_p100,0.9971463806548067,0.9971463806548067
offense,TOV_p100,TOV_p100_relative,0.9970527082897138,0.9970527082897138
offense,AST_p100,AST_p100_relative,0.9965862578839395,0.9965862578839395
offense,PTS_p100,PTS_p100_relative,0.9955009856052822,0.9955009856052822
defense,avg_seconds_per_touch,avg_dribbles_per_touch,0.9902222074658122,0.9902222074658122
offense,AST_p100_relative,potential_assists_p100_relative,0.9853519293859763,0.9853519293859763
offense,AST_p100,potential_assists_p100_relative,0.9824407816742028,0.9824407816742028
defense,AST_p100,potential_assists_p100,0.9810612112983184,0.9810612112983184
defense,potential_assists_p100,assist_points_created_p100,0.980403012588498,0.980403012588498
offense,BLK_p100,recovered_blocks_p100,0.9798091717579782,0.9798091717579782
defense,BLK_p100,recovered_blocks_p100,0.9797413989541961,0.9797413989541961
offense,FG3M_p100,crafted_spacing_stable_v1,0.9794639124118967,0.9794639124118967
offense,FG3A_p100,FG3M_p100,0.9772457903494962,0.9772457903494962
defense,FG3A_p100,FG3M_p100,0.9771218680370846,0.9771218680370846
offense,long_mid_frequency,long_mid_frequency_eb,0.9766894248413948,0.9766894248413948
offense,arc3_frequency,arc3_frequency_eb,0.9760692270877476,0.9760692270877476
offense,FG3A_p100,FG3A_p100_relative,0.9748265445982197,0.9748265445982197
offense,corner3_frequency,corner3_frequency_eb,0.9743779697773362,0.9743779697773362
offense,short_mid_frequency,short_mid_frequency_eb,0.9740283093579658,0.9740283093579658
offense,at_rim_frequency,at_rim_frequency_eb,0.9725234272409446,0.9725234272409446
offense,FG3A_p100,crafted_spacing_stable_v1,0.971059077790873,0.971059077790873
offense,FTA_p100,shooting_fouls_drawn_p100,0.9675573434961652,0.9675573434961652
offense,at_rim_frequency_eb,at_rim_frequency_relative,0.9674154858004195,0.9674154858004195
offense,shooting_fouls_drawn_p100,FTA_p100_relative,0.9673524985493387,0.9673524985493387
offense,DREB_p100,dreb_chances_p100,0.96548267158519,0.96548267158519
defense,DREB_p100,dreb_chances_p100,0.9654803502631638,0.9654803502631638
defense,FTA_p100,FTM_p100,0.9634104448739782,0.9634104448739782
offense,FTA_p100,FTM_p100,0.9633947873769353,0.9633947873769353
offense,FTM_p100,FTA_p100_relative,0.9620762703841822,0.9620762703841822
defense,touches_p100,passes_made_p100,0.9607811799165918,0.9607811799165918
offense,FG3A_p100,arc3_fga_p100,0.9602179352003997,0.9602179352003997
defense,time_of_possession_p100,avg_seconds_per_touch,0.9594816024591972,0.9594816024591972
offense,rebound_contests_p100,rebound_chances_p100,0.9574675380309039,0.9574675380309039
defense,rebound_contests_p100,rebound_chances_p100,0.9574670177728452,0.9574670177728452
defense,time_of_possession_p100,passes_received_p100,0.9562252118704656,0.9562252118704656
offense,arc3_frequency,arc3_frequency_relative,0.9550534943559768,0.9550534943559768
offense,rebound_chances_p100,dreb_chances_p100,0.9548137968866168,0.9548137968866168
defense,rebound_chances_p100,dreb_chances_p100,0.9547808417384367,0.9547808417384367
offense,FG3M_p100,FG3A_p100_relative,0.9546617703451588,0.9546617703451588
defense,FG2A_p100,FG2M_p100,0.9542925294093437,0.9542925294093437
offense,FG2A_p100,FG2M_p100,0.954228168050318,0.954228168050318
offense,shot_quality_average,shot_quality_average_relative,0.9530775512630758,0.9530775512630758
