SEASON	NAME	TEAM	FG3A_per100	3PT%	LASER
2013-14	Stephen Curry	GSW	10.35015448	0.421227197	0.450233767
2013-14	Kyle Korver	ATL	7.897984369	0.479166667	0.443853493
2013-14	Jose Calderon	DAL	8.627689809	0.449411765	0.433154291
2013-14	Kevin Durant	OKC	7.742037212	0.391038697	0.426762506
2013-14	Carmelo Anthony	NYK	7.277201617	0.403381643	0.413891077
2013-14	Damian Lillard	POR	9.317188026	0.393501805	0.41234888
2013-14	Kyle Lowry	TOR	8.782222222	0.380566802	0.411281139
2013-14	Nick Young	LAL	9.340805978	0.385714286	0.402574762
2013-14	JR Smith	NYK	10.32036121	0.39375	0.402514596
2013-14	D.J. Augustin	CHI	8.868999186	0.403669725	0.395182181
2013-14	Gerald Green	PHX	10.71878941	0.4	0.392369892
2013-14	James Harden	HOU	8.536585366	0.366459627	0.391265625
2013-14	Klay Thompson	GSW	8.952413557	0.411089866	0.390964913
2013-14	Ryan Anderson	NOP	10.44585987	0.408536585	0.386850097
2013-14	Jordan Farmar	LAL	8.277289188	0.4375	0.383465646
2013-14	Jamal Crawford	LAC	10.41812661	0.360986547	0.381520348
2013-14	Arron Afflalo	ORL	5.939417937	0.426666667	0.378695862
2013-14	Danny Green	SAS	9.506726457	0.41509434	0.376963258
2013-14	Jodie Meeks	LAL	7.537313433	0.400990099	0.37615176
2013-14	Jameer Nelson	ORL	9.034051425	0.348717949	0.373900861
2013-14	Isaiah Thomas	SAC	7.155635063	0.35	0.373714009
2013-14	Paul George	IND	8.873114463	0.364	0.372958431
2013-14	Wesley Matthews	POR	9.142959385	0.39334638	0.372542765
2013-14	Terrence Ross	TOR	9.562130178	0.396039604	0.372193927
2013-14	Joe Johnson	BKN	7.918597622	0.394402036	0.37077374
2013-14	Brandon Jennings	DET	8.30607052	0.336980306	0.370274729
2013-14	Vince Carter	DAL	9.210526316	0.393530997	0.370261997
2013-14	Goran Dragic	PHX	5.54833921	0.408026756	0.370003482
2013-14	Randy Foye	DEN	9.571401115	0.379518072	0.369136231
2013-14	Kevin Love	MIN	8.58654831	0.377733598	0.367808504
2013-14	Trevor Ariza	WAS	7.97658251	0.410550459	0.367401323
2013-14	JJ Redick	LAC	9.131293189	0.394594595	0.365286996
2013-14	Caron Butler	OKC	8.672566372	0.395918367	0.363801889
2013-14	LeBron James	MIA	5.431309904	0.379084967	0.362735694
2013-14	Patty Mills	SAS	10.22508039	0.424528302	0.358831395
2013-14	Bradley Beal	WAS	6.807653575	0.402366864	0.357953009
2013-14	Kyrie Irving	CLE	7.000407	0.35755814	0.357827151
2013-14	Martell Webster	WAS	8.604161796	0.394021739	0.350026238
2013-14	Mirza Teletovic	BKN	12.51360174	0.382608696	0.348577548
2013-14	O.J. Mayo	MIL	8.374198416	0.364864865	0.347875751
2013-14	Kevin Martin	MIN	6.500328299	0.387205387	0.345765967
2013-14	Chandler Parsons	HOU	6.191402795	0.371428571	0.344490151
2013-14	CJ Miles	CLE	10.73245168	0.393364929	0.342509689
2013-14	Marco Belinelli	SAS	7.206099361	0.43003413	0.339448171
