Season,value,series,series_type,z_score,cohort,combined_z_score
1997,20.04555400500342,Avg MPG,context,0.262721636136871,All qualifying,-0.22506533635083287
1998,24.279030245396896,Avg MPG,context,2.9875987199983065,All qualifying,1.744541524148632
1999,19.438565218084513,Avg MPG,context,-0.1279667111496744,All qualifying,-0.5074642943406413
2000,20.14928286050284,Avg MPG,context,0.3294867164717192,All qualifying,-0.17680592639500312
2001,17.350758363145317,Avg MPG,context,-1.471783643502145,All qualifying,-1.4788075761689694
2002,19.413565280814538,Avg MPG,context,-0.1440579213742524,All qualifying,-0.5190954090943223
2003,20.590927700619048,Avg MPG,context,0.6137514284254235,All qualifying,0.028667461809538584
2004,22.756010170593264,Avg MPG,context,2.00730681225215,All qualifying,1.035962895694387
2005,20.23193698013479,Avg MPG,context,0.3826870425590365,All qualifying,-0.13835144789283912
2006,18.865490953517348,Avg MPG,context,-0.49682597530954026,All qualifying,-0.7740846646872255
2007,17.662431936630373,Avg MPG,context,-1.2711749404388446,All qualifying,-1.3338027683669789
2008,18.702744487670074,Avg MPG,context,-0.6015777419630026,All qualifying,-0.849801767477683
2009,20.709384838851232,Avg MPG,context,0.6899963682951427,All qualifying,0.08377914282267174
2010,19.933123297832708,Avg MPG,context,0.1903556087646855,All qualifying,-0.27737324587949497
2011,19.752634912083003,Avg MPG,context,0.074184254939678,All qualifying,-0.36134470163521487
2012,19.52333881726903,Avg MPG,context,-0.07340218199741652,All qualifying,-0.46802373696844857
2013,18.616470426805027,Avg MPG,context,-0.6571080433119917,All qualifying,-0.8899404082810982
2014,16.901487462331165,Avg MPG,context,-1.7609568696073388,All qualifying,-1.6878289567599905
2015,19.511403014617,Avg MPG,context,-0.08108466166121758,All qualifying,-0.47357681851516825
2016,19.395497820253645,Avg MPG,context,-0.1556870427984396,All qualifying,-0.5275012184698417
2017,16.80803687624343,Avg MPG,context,-1.8211063415883646,All qualifying,-1.731306445477156
2018,21.337443959751052,Avg MPG,context,1.094246636554831,All qualifying,0.3759809843071003
2019,20.765291118547164,Avg MPG,context,0.7259804465648804,All qualifying,0.10978930227118114
2020,20.14945198596665,Avg MPG,context,0.3295955740805644,All qualifying,-0.1767272414904733
2021,19.089485131622524,Avg MPG,context,-0.35265211718947137,All qualifying,-0.6698723236096034
2022,18.486471656540093,Avg MPG,context,-0.7407817549169399,All qualifying,-0.9504217846325829
2023,19.765121693030878,Avg MPG,context,0.0822213717968398,All qualifying,-0.35553527977385546
2024,19.615680166988408,Avg MPG,context,-0.013966670031537034,All qualifying,-0.42506231576577125
1997,20.882969568958774,Avg Rookie Age,context,0.05409317966491777,All qualifying,0.08677340722048722
1998,21.59665551839465,Avg Rookie Age,context,2.4689352201408465,All qualifying,2.3981390911248477
1999,21.285926660059467,Avg Rookie Age,context,1.4175468456184088,All qualifying,1.3918028717801638
2000,21.03030617540218,Avg Rookie Age,context,0.5526242655323496,All qualifying,0.5639423586134577
2001,21.04173913043478,Avg Rookie Age,context,0.5913090406514561,All qualifying,0.6009694851091674
2002,20.733969886154977,Avg Rookie Age,context,-0.45006512460966847,All qualifying,-0.39578163539672256
2003,21.12440342365795,Avg Rookie Age,context,0.8710135951257647,All qualifying,0.868688655973138
2004,20.893070161670067,Avg Rookie Age,context,0.08826974700834778,All qualifying,0.11948550334404232
2005,20.819502717314787,Avg Rookie Age,context,-0.1606545278494228,All qualifying,-0.11877232766656658
2006,21.1152407757258,Avg Rookie Age,context,0.8400106764804889,All qualifying,0.8390142172080061
2007,21.210539185719526,Avg Rookie Age,context,1.1624642809339172,All qualifying,1.1476506346185773
2008,20.978905904874097,Avg Rookie Age,context,0.3787052830146658,All qualifying,0.3974758315143557
2009,20.68905534541111,Avg Rookie Age,context,-0.6020388622216998,All qualifying,-0.5412432747434954
2010,21.134784112707948,Avg Rookie Age,context,0.9061379020381538,All qualifying,0.9023078808778944
2011,21.078305921624533,Avg Rookie Age,context,0.7150371660546777,All qualifying,0.719395841118134
2012,21.069050238357168,Avg Rookie Age,context,0.6837194511899929,All qualifying,0.6894200952004972
2013,20.881398804818666,Avg Rookie Age,context,0.04877831073103374,All qualifying,0.08168628124606622
2014,21.13455541508639,Avg Rookie Age,context,0.9053640761956623,All qualifying,0.9015672135929647
2015,20.691767972384813,Avg Rookie Age,context,-0.5928603633856123,All qualifying,-0.5324580760083817
2016,20.406233797920034,Avg Rookie Age,context,-1.5589995020854295,All qualifying,-1.4571980025286115
2017,20.655756158808504,Avg Rookie Age,context,-0.714710655445574,All qualifying,-0.6490870641245619
2018,20.665002122294077,Avg Rookie Age,context,-0.6834258286288017,All qualifying,-0.6191427969968755
2019,20.661523408098752,Avg Rookie Age,context,-0.695196475497092,All qualifying,-0.630409069818331
2020,20.58017390192443,Avg Rookie Age,context,-0.9704522902388434,All qualifying,-0.8938701301383806
2021,20.27856245137351,Avg Rookie Age,context,-1.990990821584455,All qualifying,-1.8706784268787793
2022,20.483207959233194,Avg Rookie Age,context,-1.2985481916507458,All qualifying,-1.2079070712062445
2023,20.688901081674242,Avg Rookie Age,context,-0.6025608320844978,All qualifying,-0.5417428781165863
2024,20.46401036205514,Avg Rookie Age,context,-1.363505565098168,All qualifying,-1.2700810111105465
1997,1.733057348763127,Age-Adjusted RAPM,impact,-0.6264058819196653,All qualifying,-0.7081133381978996
1998,1.7872061551005087,Age-Adjusted RAPM,impact,-0.5534333085178285,All qualifying,-0.6368098534383613
1999,3.6258150372058093,Age-Adjusted RAPM,impact,1.9243317740722716,All qualifying,1.7842817508181519
2000,3.445394731837005,Age-Adjusted RAPM,impact,1.681191899581301,All qualifying,1.5467031712642263
2001,1.0017080817629729,Age-Adjusted RAPM,impact,-1.611994331201976,All qualifying,-1.6711585988548197
2002,2.5959386558348143,Age-Adjusted RAPM,impact,0.5364391330754732,All qualifying,0.42813413039313986
2003,1.7579909899780448,Age-Adjusted RAPM,impact,-0.5928045509430564,All qualifying,-0.6752805644652614
2004,3.1620673945428153,Age-Adjusted RAPM,impact,1.2993713883658193,All qualifying,1.173615972428411
