era,metric,n_players,mean,weighted_mean,median
1997-2004,Age-Adjusted RAPM,129,1.6764187962385513,2.6428655648952617,1.5348370357144696
2005-2014,Age-Adjusted RAPM,237,1.508968686259958,2.3494833782372737,1.142000433538244
2015-2024,Age-Adjusted RAPM,301,1.504231224407083,2.154189811039555,1.323000433538244
1997-2004,BRef BPM,129,-2.1015503875968995,-1.3487181974312596,-2.3
2005-2014,BRef BPM,237,-2.186497890295359,-1.6245959800350733,-2.2
2015-2024,BRef BPM,300,-2.6323333333333334,-2.1639113777329477,-2.75
1997-2004,BRef DBPM,129,-0.5286821705426357,-0.4532132077301853,-0.6
2005-2014,BRef DBPM,237,-0.3953586497890295,-0.4128389316066369,-0.5
2015-2024,BRef DBPM,300,-0.4666666666666667,-0.45759061160807774,-0.5
1997-2004,BRef OBPM,129,-1.572093023255814,-0.896936568888686,-1.7
2005-2014,BRef OBPM,237,-1.790717299578059,-1.2118224740321057,-1.7
2015-2024,BRef OBPM,300,-2.164,-1.7054167883276263,-2.2
1997-2004,BRef PER,129,13.008527131782945,14.039277420532807,12.9
2005-2014,BRef PER,237,12.653586497890293,13.4826547956293,12.6
2015-2024,BRef PER,300,11.682,12.384775421241855,11.3
1997-2004,BRef VORP,129,0.22713178294573644,0.5698929025852871,-0.1
2005-2014,BRef VORP,237,0.11687763713080167,0.32828780520706863,-0.1
2015-2024,BRef VORP,300,-0.04766666666666667,0.07129863120360297,-0.1
1997-2004,BRef WS,129,2.011627906976744,2.9766034656883162,1.3
2005-2014,BRef WS,237,1.7869198312236287,2.479051328746796,1.3
2015-2024,BRef WS,300,1.299,1.824067929581162,0.8
1997-2004,BRef WS/48,129,0.06182945736434109,0.07106480620331962,0.062
2005-2014,BRef WS/48,237,0.06380590717299578,0.06864642182652098,0.063
2015-2024,BRef WS/48,300,0.05279333333333333,0.05511409291063155,0.0505
1997-2004,Def Above Aging Curve (lower better),129,-0.1521459834878402,-0.09824464401812051,-0.1571400644920347
2005-2014,Def Above Aging Curve (lower better),237,-0.1939053342065446,-0.12188060404929461,-0.1471400644920347
2015-2024,Def Above Aging Curve (lower better),301,-0.09273634849706028,-0.002376499841537861,-0.0426784210315046
1997-2004,Def At Ref Age (lower better),129,-1.2200200895894282,-1.166118750119709,-1.225014170593623
2005-2014,Def At Ref Age (lower better),237,-1.2617794403081328,-1.1897547101508827,-1.2150141705936228
2015-2024,Def At Ref Age (lower better),301,-1.1606104545986484,-1.070250605943126,-1.110552527133093
1997-2004,Def VORP,129,0.8431782945736433,1.1130986229047999,0.698
2005-2014,Def VORP,237,0.7898987341772152,1.0520182535044227,0.662
2015-2024,Def VORP,301,0.9037408637873755,1.1776523486803834,0.771
1997-2004,Off Above Aging Curve,129,-2.453477757762692,-1.4331417069631174,-2.8790572734129376
2005-2014,Off Above Aging Curve,237,-2.6626531725177776,-1.750112443855822,-2.9804353375237955
2015-2024,Off Above Aging Curve,301,-2.566337824462723,-1.8259921638184908,-2.737435337523795
1997-2004,Off At Ref Age,129,0.45643118795728527,1.4767672387568602,0.03085167230704
2005-2014,Off At Ref Age,237,0.24725577320220002,1.1597965018641558,-0.0705263918038177
2015-2024,Off At Ref Age,301,0.34357112125725475,1.0839167819014868,0.1724736081961824
1997-2004,Off VORP,129,1.1074728682170543,1.8326210148979045,0.803
2005-2014,Off VORP,237,0.971029535864979,1.6402486447623472,0.82
2015-2024,Off VORP,301,0.474109634551495,1.0154641000277917,0.445
1997-2004,RAPM Above Aging Curve,129,-2.3012930019463154,-1.334846233289605,-2.442874762470397
2005-2014,RAPM Above Aging Curve,237,-2.4687431119249084,-1.6282284199475932,-2.8357113646466225
2015-2024,RAPM Above Aging Curve,301,-2.4734805737777834,-1.8235219871453108,-2.6547113646466225
1997-2004,RAPM VORP,129,0.26432558139534884,0.7195232262874048,-0.087
2005-2014,RAPM VORP,237,0.18116455696202532,0.5882619246345615,0.055
2015-2024,RAPM VORP,301,-0.4296611295681063,-0.1622077721610968,-0.454
1997-2004,Raw Def (lower better),129,-0.5902403100775193,-0.5237495093242944,-0.66
2005-2014,Raw Def (lower better),237,-0.61842194092827,-0.5339307093510112,-0.623
2015-2024,Raw Def (lower better),301,-0.4408073089700996,-0.3328637743676333,-0.476
1997-2004,Raw Off,129,-1.065705426356589,-0.08415113102934155,-1.326
2005-2014,Raw Off,237,-1.3170464135021096,-0.44321190552498213,-1.662
2015-2024,Raw Off,301,-1.4586843853820601,-0.7729966810945598,-1.566
1997-2004,Raw RAPM,129,-0.4754573643410854,0.43961909733142307,-0.986
2005-2014,Raw RAPM,237,-0.6986497890295358,0.09069307616238505,-0.929
2015-2024,Raw RAPM,301,-1.01778073089701,-0.44006252367021514,-1.186
