metric,trend_column,first_season,last_season,n_seasons,slope_per_season,slope_per_decade,trendline_start,trendline_end
Age-Adjusted RAPM,age_standardized_weighted_mean,1997,2024,28,-0.030727568357342985,-0.3072756835734298,2.612699784974218,1.7830554393259561
BRef BPM,age_standardized_weighted_mean,1997,2024,28,-0.03444533320637617,-0.34445333206376166,-1.395900935232703,-2.325924931804863
BRef DBPM,age_standardized_weighted_mean,1997,2024,28,0.0037565792446653955,0.03756579244665396,-0.5159845255710653,-0.41455688596509965
BRef OBPM,age_standardized_weighted_mean,1997,2024,28,-0.037819509113405016,-0.37819509113405014,-0.8846703601265204,-1.9057971061884587
BRef PER,age_standardized_weighted_mean,1997,2024,28,-0.07836507546390992,-0.7836507546390992,14.112291593160478,11.99643455563492
BRef VORP,age_standardized_weighted_mean,1997,2024,28,-0.020902698015257293,-0.20902698015257293,0.5256443888782627,-0.03872845753368637
BRef WS,age_standardized_weighted_mean,1997,2024,28,-0.04422073206255589,-0.4422073206255589,2.828639691015141,1.6346799253261253
BRef WS/48,age_standardized_weighted_mean,1997,2024,28,-0.0004864184013888749,-0.004864184013888749,0.06953232733668668,0.05639903049918704
Def Above Aging Curve (lower better),age_standardized_weighted_mean,1997,2024,28,0.009255099988936366,0.09255099988936366,-0.2204414022589276,0.02944629744235172
Def At Ref Age (lower better),age_standardized_weighted_mean,1997,2024,28,0.00925509998893638,0.0925509998893638,-1.2883155083605153,-1.0384278086592325
Def VORP,age_standardized_weighted_mean,1997,2024,28,0.00278606557068748,0.0278606557068748,1.0207238008457162,1.0959475712542783
Off Above Aging Curve,age_standardized_weighted_mean,1997,2024,28,-0.021475234058173545,-0.21475234058173545,-1.5854783689641039,-2.1653096885347907
Off At Ref Age,age_standardized_weighted_mean,1997,2024,28,-0.02147523405817356,-0.2147523405817356,1.32443057675588,0.7445992571851932
Off VORP,age_standardized_weighted_mean,1997,2024,28,-0.032567382294146595,-0.32567382294146596,1.7970317226566266,0.9177124007146773
RAPM Above Aging Curve,age_standardized_weighted_mean,1997,2024,28,-0.03072756835734294,-0.3072756835734294,-1.3650120132106238,-2.194656358858886
RAPM VORP,age_standardized_weighted_mean,1997,2024,28,-0.035354708829659735,-0.35354708829659737,0.7763676604619576,-0.1782094779388501
Raw Def (lower better),age_standardized_weighted_mean,1997,2024,28,0.010421453112192421,0.1042145311219242,-0.6252181325085608,-0.34383889847936544
Raw Off,age_standardized_weighted_mean,1997,2024,28,-0.025140697810423357,-0.25140697810423357,-0.30030071014339654,-0.9790995510248237
Raw RAPM,age_standardized_weighted_mean,1997,2024,28,-0.035559302064924254,-0.35559302064924253,0.3249137650182803,-0.6351873907346857
