Season,Rookie_Age_Bin,n_players,player_share,poss,poss_share
1997,18,2,0.1111111111111111,6610.0,0.06595555732944851
1997,20,3,0.16666666666666666,31430.0,0.31361318712020675
1997,21,4,0.2222222222222222,23576.0,0.23524481385765175
1997,22,9,0.5,38603.0,0.385186441692693
1998,19,1,0.07692307692307693,4688.0,0.05369804015898652
1998,21,3,0.23076923076923078,21017.0,0.24073628626736768
1998,22,9,0.6923076923076923,61598.0,0.7055656735736459
1999,19,1,0.07142857142857142,2101.0,0.04455802511028164
1999,20,1,0.07142857142857142,4504.0,0.09552086868001357
1999,21,5,0.35714285714285715,18791.0,0.3985196810315575
1999,22,7,0.5,21756.0,0.46140142517814725
2000,20,4,0.2857142857142857,26824.0,0.3518086194685623
2000,21,3,0.21428571428571427,19142.0,0.2510557930907851
2000,22,7,0.5,30280.0,0.39713558744065264
2001,19,1,0.06666666666666667,7911.0,0.11473697950659183
2001,20,1,0.06666666666666667,1182.0,0.017143105773832833
2001,21,8,0.5333333333333333,38755.0,0.5620821186674209
2001,22,5,0.3333333333333333,21101.0,0.3060377960521545
2002,19,3,0.14285714285714285,11550.0,0.10686330748875854
2002,20,5,0.23809523809523808,26598.0,0.2460909309598268
2002,21,8,0.38095238095238093,48025.0,0.44433855776169945
2002,22,5,0.23809523809523808,21909.0,0.2027072037897152
2003,20,5,0.2777777777777778,31384.0,0.31432405905093846
2003,21,4,0.2222222222222222,25016.0,0.25054584059451557
2003,22,9,0.5,43446.0,0.435130100354546
2004,19,1,0.0625,11925.0,0.12044116310308955
2004,20,4,0.25,27788.0,0.2806556847218996
2004,21,4,0.25,16087.0,0.16247689650644878
2004,22,7,0.4375,43211.0,0.4364262556685621
2005,19,5,0.18518518518518517,29797.0,0.21234126248877613
2005,20,5,0.18518518518518517,24475.0,0.17441529011017204
2005,21,5,0.18518518518518517,24827.0,0.17692373473198125
2005,22,12,0.4444444444444444,61227.0,0.4363197126690706
2006,18,1,0.05,1304.0,0.013144498765183206
2006,19,1,0.05,4007.0,0.04039110931908674
2006,20,4,0.2,17431.0,0.17570686961342674
2006,21,5,0.25,36156.0,0.36445743662113805
2006,22,9,0.45,40307.0,0.40630008568116527
2007,20,4,0.19047619047619047,20789.0,0.2120417780135044
2007,21,8,0.38095238095238093,36933.0,0.3767059015523959
2007,22,9,0.42857142857142855,40320.0,0.41125232043409965
2008,19,1,0.043478260869565216,11062.0,0.10130407707242023
2008,20,6,0.2608695652173913,26227.0,0.24018279057840947
2008,21,5,0.21739130434782608,24764.0,0.2267848639144291
2008,22,11,0.4782608695652174,47143.0,0.4317282684347412
2009,19,1,0.037037037037037035,4674.0,0.0300642580097384
2009,20,11,0.4074074074074074,66522.0,0.4278850173991908
2009,21,10,0.37037037037037035,58045.0,0.3733589765030521
2009,22,5,0.18518518518518517,26226.0,0.16869174808801868
2010,20,6,0.2727272727272727,47309.0,0.3696044500347659
2010,21,2,0.09090909090909091,15542.0,0.1214228236158095
2010,22,14,0.6363636363636364,65148.0,0.5089727263494246
2011,19,1,0.043478260869565216,5712.0,0.05130369957875639
2011,20,4,0.17391304347826086,26749.0,0.24025256653223995
2011,21,6,0.2608695652173913,31439.0,0.2823769277059738
