Season,value,series,series_type,z_score
1997,20.04555400500342,Avg MPG,context,0.262721636136871
1998,24.279030245396896,Avg MPG,context,2.9875987199983065
1999,19.438565218084513,Avg MPG,context,-0.1279667111496744
2000,20.14928286050284,Avg MPG,context,0.3294867164717192
2001,17.350758363145317,Avg MPG,context,-1.471783643502145
2002,19.413565280814538,Avg MPG,context,-0.1440579213742524
2003,20.590927700619048,Avg MPG,context,0.6137514284254235
2004,22.756010170593264,Avg MPG,context,2.00730681225215
2005,20.23193698013479,Avg MPG,context,0.3826870425590365
2006,18.865490953517348,Avg MPG,context,-0.49682597530954026
2007,17.662431936630373,Avg MPG,context,-1.2711749404388446
2008,18.702744487670074,Avg MPG,context,-0.6015777419630026
2009,20.709384838851232,Avg MPG,context,0.6899963682951427
2010,19.933123297832708,Avg MPG,context,0.1903556087646855
2011,19.752634912083003,Avg MPG,context,0.074184254939678
2012,19.52333881726903,Avg MPG,context,-0.07340218199741652
2013,18.616470426805027,Avg MPG,context,-0.6571080433119917
2014,16.901487462331165,Avg MPG,context,-1.7609568696073388
2015,19.511403014617,Avg MPG,context,-0.08108466166121758
2016,19.395497820253645,Avg MPG,context,-0.1556870427984396
2017,16.80803687624343,Avg MPG,context,-1.8211063415883646
2018,21.337443959751052,Avg MPG,context,1.094246636554831
2019,20.765291118547164,Avg MPG,context,0.7259804465648804
2020,20.14945198596665,Avg MPG,context,0.3295955740805644
2021,19.089485131622524,Avg MPG,context,-0.35265211718947137
2022,18.486471656540093,Avg MPG,context,-0.7407817549169399
2023,19.765121693030878,Avg MPG,context,0.0822213717968398
2024,19.615680166988408,Avg MPG,context,-0.013966670031537034
1997,20.882969568958774,Avg Rookie Age,context,0.05409317966491777
1998,21.59665551839465,Avg Rookie Age,context,2.4689352201408465
1999,21.285926660059467,Avg Rookie Age,context,1.4175468456184088
2000,21.03030617540218,Avg Rookie Age,context,0.5526242655323496
2001,21.04173913043478,Avg Rookie Age,context,0.5913090406514561
2002,20.733969886154977,Avg Rookie Age,context,-0.45006512460966847
2003,21.12440342365795,Avg Rookie Age,context,0.8710135951257647
2004,20.893070161670067,Avg Rookie Age,context,0.08826974700834778
2005,20.819502717314787,Avg Rookie Age,context,-0.1606545278494228
2006,21.1152407757258,Avg Rookie Age,context,0.8400106764804889
2007,21.210539185719526,Avg Rookie Age,context,1.1624642809339172
2008,20.978905904874097,Avg Rookie Age,context,0.3787052830146658
2009,20.68905534541111,Avg Rookie Age,context,-0.6020388622216998
2010,21.134784112707948,Avg Rookie Age,context,0.9061379020381538
2011,21.078305921624533,Avg Rookie Age,context,0.7150371660546777
2012,21.069050238357168,Avg Rookie Age,context,0.6837194511899929
2013,20.881398804818666,Avg Rookie Age,context,0.04877831073103374
2014,21.13455541508639,Avg Rookie Age,context,0.9053640761956623
2015,20.691767972384813,Avg Rookie Age,context,-0.5928603633856123
2016,20.406233797920034,Avg Rookie Age,context,-1.5589995020854295
2017,20.655756158808504,Avg Rookie Age,context,-0.714710655445574
2018,20.665002122294077,Avg Rookie Age,context,-0.6834258286288017
2019,20.661523408098752,Avg Rookie Age,context,-0.695196475497092
2020,20.58017390192443,Avg Rookie Age,context,-0.9704522902388434
2021,20.27856245137351,Avg Rookie Age,context,-1.990990821584455
2022,20.483207959233194,Avg Rookie Age,context,-1.2985481916507458
2023,20.688901081674242,Avg Rookie Age,context,-0.6025608320844978
2024,20.46401036205514,Avg Rookie Age,context,-1.363505565098168
1997,1.733057348763127,Age-Adjusted RAPM,impact,-0.6264058819196653
1998,1.7872061551005087,Age-Adjusted RAPM,impact,-0.5534333085178285
1999,3.6258150372058093,Age-Adjusted RAPM,impact,1.9243317740722716
2000,3.445394731837005,Age-Adjusted RAPM,impact,1.681191899581301
2001,1.0017080817629729,Age-Adjusted RAPM,impact,-1.611994331201976
2002,2.5959386558348143,Age-Adjusted RAPM,impact,0.5364391330754732
2003,1.7579909899780448,Age-Adjusted RAPM,impact,-0.5928045509430564
2004,3.1620673945428153,Age-Adjusted RAPM,impact,1.2993713883658193
2005,3.609269505387875,Age-Adjusted RAPM,impact,1.9020345136759123
2006,2.7693465841929146,Age-Adjusted RAPM,impact,0.7701289156669721
2007,3.350944990155626,Age-Adjusted RAPM,impact,1.5539085636442933
2008,1.4164363519622427,Age-Adjusted RAPM,impact,-1.0530939382668074
2009,2.268533390228802,Age-Adjusted RAPM,impact,0.09521786906971481
2010,2.2081962289718327,Age-Adjusted RAPM,impact,0.013905680925632824
2011,1.6920731468410726,Age-Adjusted RAPM,impact,-0.6816374352144635
2012,2.4984894544172427,Age-Adjusted RAPM,impact,0.4051136342438408
2013,2.038371363678637,Age-Adjusted RAPM,impact,-0.21495545722857087
2014,1.1836445728695677,Age-Adjusted RAPM,impact,-1.3668111988346936
2015,2.139560731784334,Age-Adjusted RAPM,impact,-0.078589596353059
2016,2.0440800982120004,Age-Adjusted RAPM,impact,-0.2072621934625723
2017,1.4536836632191523,Age-Adjusted RAPM,impact,-1.0028983321479799
2018,3.0414182170174544,Age-Adjusted RAPM,impact,1.1367808982267467
2019,2.090898420687964,Age-Adjusted RAPM,impact,-0.14416840239834397
2020,1.903417012630319,Age-Adjusted RAPM,impact,-0.3968240329901769
2021,1.4919872020031193,Age-Adjusted RAPM,impact,-0.9512793217851693
2022,1.3256548862499962,Age-Adjusted RAPM,impact,-1.1754337942728292
2023,1.5712292679419908,Age-Adjusted RAPM,impact,-0.8444903108287906
2024,2.3341596567247254,Age-Adjusted RAPM,impact,0.183657815818019
1997,-1.9935764539145695,BRef BPM,impact,-0.1533799070922117
1998,-0.6616513957682915,BRef BPM,impact,1.3865350677466193
1999,0.3318037628197052,BRef BPM,impact,2.535125573033538
2000,-0.8360872477497847,BRef BPM,impact,1.1848597715487077
2001,-4.189381108312613,BRef BPM,impact,-2.692075645600493
2002,-1.201597364293586,BRef BPM,impact,0.7622725557903037
2003,-2.0152778564655396,BRef BPM,impact,-0.17847014363281313
2004,-1.6540315044916385,BRef BPM,impact,0.23918748928591166
2005,-1.3380231653531693,BRef BPM,impact,0.6045428601733276
2006,-1.848058207076573,BRef BPM,impact,0.014862086740382825
2007,-1.6535895334666975,BRef BPM,impact,0.23969847734457825
2008,-2.524147745138443,BRef BPM,impact,-0.7668038167769913
2009,-1.8110301334085712,BRef BPM,impact,0.057672367080141326
2010,-1.0527924343019148,BRef BPM,impact,0.9343144725802289
2011,-1.8310498873594456,BRef BPM,impact,0.034526380965542225
2012,-1.4263173330003334,BRef BPM,impact,0.5024609073493229
2013,-1.6542098691693135,BRef BPM,impact,0.2389812716489252
2014,-3.088252140050606,BRef BPM,impact,-1.4189972714947985
2015,-2.713135765064153,BRef BPM,impact,-0.9853037092212242
2016,-1.3513762822929805,BRef BPM,impact,0.5891045555850744
2017,-3.056763482099591,BRef BPM,impact,-1.3825914274724387
2018,-1.6271634667930757,BRef BPM,impact,0.2702511691404934
2019,-1.702944591163433,BRef BPM,impact,0.18263626354629203
2020,-3.0036632519197672,BRef BPM,impact,-1.3211992048986676
2021,-2.173107499132705,BRef BPM,impact,-0.36094604851209294
2022,-2.3255458109554765,BRef BPM,impact,-0.5371887264910944
2023,-2.3235382628143655,BRef BPM,impact,-0.5348676849082374
2024,-1.381054109789788,BRef BPM,impact,0.5547923165416684
1997,0.3180061370715546,BRef VORP,impact,0.2197593293312219
1998,0.9292327874125552,BRef VORP,impact,2.0215843268738385
1999,0.7687735364519631,BRef VORP,impact,1.5485691379803892
2000,0.8735573436807509,BRef VORP,impact,1.8574596012760987
2001,-0.18658403224643122,BRef VORP,impact,-1.267713738284824
2002,0.5545987744441475,BRef VORP,impact,0.9172068768402243
2003,0.20085509997699857,BRef VORP,impact,-0.12558828764073068
2004,0.48095515638953834,BRef VORP,impact,0.7001140654481707
2005,0.4680566750553883,BRef VORP,impact,0.6620908442989579
2006,0.3948420353415388,BRef VORP,impact,0.4462626111077302
2007,0.10644263295383774,BRef VORP,impact,-0.40390524758855517
2008,-0.15305714420431557,BRef VORP,impact,-1.1688803760117714
2009,0.1895787209831531,BRef VORP,impact,-0.1588297399588518
2010,0.5549038586639753,BRef VORP,impact,0.9181062295980512
2011,0.3389531227068687,BRef VORP,impact,0.2815086040394149
2012,0.2639301118564624,BRef VORP,impact,0.060349503293795126
2013,0.3145810601642592,BRef VORP,impact,0.2096626014044735
2014,-0.19633259588612606,BRef VORP,impact,-1.296451368828809
2015,-0.18775822007676746,BRef VORP,impact,-1.2711751072930797
2016,0.30618493230986543,BRef VORP,impact,0.1849117940858291
2017,-0.3583444474279454,BRef VORP,impact,-1.7740434434599697
2018,0.3965153202307712,BRef VORP,impact,0.4511952601336639
2019,0.23249300227591668,BRef VORP,impact,-0.03232343539615284
2020,-0.3808123284462202,BRef VORP,impact,-1.8402761406729518
2021,0.03705180478122929,BRef VORP,impact,-0.6084613295784955
2022,0.06716909668249411,BRef VORP,impact,-0.5196790597352027
2023,-0.02023502279328287,BRef VORP,impact,-0.7773362271244113
2024,0.5032656204716146,BRef VORP,impact,0.7658827158619486
1997,-0.7392554699247318,RAPM VORP,impact,-1.4133180433307317
1998,-0.39567285453465206,RAPM VORP,impact,-0.945654221035543
1999,1.7187866120437643,RAPM VORP,impact,1.9324197906708687
2000,1.1894271685741513,RAPM VORP,impact,1.2118878149188705
2001,-0.059334144686886095,RAPM VORP,impact,-0.4878503637168058
2002,1.326097781636849,RAPM VORP,impact,1.3979155661418545
2003,-0.013967979868142938,RAPM VORP,impact,-0.4261006910276925
2004,0.691791659547145,RAPM VORP,impact,0.534536535090115
2005,1.8713151715490872,RAPM VORP,impact,2.1400324170153446
2006,1.1393728469443283,RAPM VORP,impact,1.1437569074536622
2007,1.8091242221876558,RAPM VORP,impact,2.055381867808968
2008,0.06654598138922829,RAPM VORP,impact,-0.31650996907862106
2009,-0.12912888795983068,RAPM VORP,impact,-0.5828507361252845
2010,0.3575945309079729,RAPM VORP,impact,0.07964766825373792
2011,-0.27170197163206267,RAPM VORP,impact,-0.7769125724346336
2012,0.6315418416536872,RAPM VORP,impact,0.4525281363338108
2013,0.061362415007939666,RAPM VORP,impact,-0.3235655253215993
2014,-0.026211462811294176,RAPM VORP,impact,-0.44276577760344754
2015,0.06383109259855455,RAPM VORP,impact,-0.3202053110781322
2016,-0.1573782422993874,RAPM VORP,impact,-0.6213020442999114
2017,0.053715236772202524,RAPM VORP,impact,-0.33397440063514544
2018,0.4195377327610291,RAPM VORP,impact,0.16396099857434734
2019,0.15637507198201728,RAPM VORP,impact,-0.19424005791844942
2020,-0.5466180326406139,RAPM VORP,impact,-1.151111644630498
2021,0.3285517395261142,RAPM VORP,impact,0.040116381688667005
2022,-0.9171684564746903,RAPM VORP,impact,-1.655482412536207
2023,-0.3431413809919556,RAPM VORP,impact,-0.8741515645932657
2024,0.08882233406525494,RAPM VORP,impact,-0.28618874858427623
