Season,metric,value_column,weight_column,n_players,mean,median,p25,p75,weighted_mean,age_standardized_weighted_mean,weight_sum
1997,Age-Adjusted RAPM,RAPM_at_ref,Poss,18,1.3913342057996223,1.5203370357144697,0.434095037549588,2.804750433538244,1.7854640988650055,1.73834748005155,100219.0
1998,Age-Adjusted RAPM,RAPM_at_ref,Poss,13,1.4946760180076135,0.2675143714946275,-0.9151629642855306,4.22583703571447,2.6164211216285027,1.763522789309703,87303.0
1999,Age-Adjusted RAPM,RAPM_at_ref,Poss,14,2.449867381371252,3.024113084839747,0.7220870357144696,3.9406278851704135,3.5557600217255314,3.621047876966958,47152.0
2000,Age-Adjusted RAPM,RAPM_at_ref,Poss,14,2.0753860070455823,2.06083703571447,0.5425870357144695,3.23137891802734,3.3920300234742045,3.44672505792318,76246.0
2001,Age-Adjusted RAPM,RAPM_at_ref,Poss,15,1.1410674921501651,1.6318370357144696,-1.0051629642855304,2.265514371494628,2.0051058362814254,1.0282587697946803,68949.0
2002,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,1.9511961670640283,1.898757402516436,-0.30204041591769965,3.0636782746998996,3.2415312157332883,2.6620479126280094,106850.0
2003,Age-Adjusted RAPM,RAPM_at_ref,Poss,18,1.0451440541722201,0.6794187346263568,-0.2019936303404908,2.1214595840823005,1.7060264104433296,1.755125929944271,99846.0
2004,Age-Adjusted RAPM,RAPM_at_ref,Poss,16,2.2293518917698525,1.380500433538244,-0.32624363034049086,3.6767095840823005,3.3253480126956325,3.179491200008788,99011.0
2005,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,3.2073205712425086,3.4304187346263566,1.3045557263320688,4.821162441512307,3.7644750516378194,4.122987435139149,127660.0
2006,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,1.719226525471304,0.6818370357144696,-0.5254362718328127,4.522000433538244,3.000594142749538,2.7731541591409052,99205.0
2007,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,2.6229067828022794,3.0908370357144697,0.25809503754958807,4.5843789180273395,3.292959824162066,3.4552771911119855,95998.0
2008,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,1.1371409572389723,0.8886757036045485,0.1035143714946275,2.100877885170413,1.333307739213846,1.4899208321668136,105417.0
2009,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,1.9182927641773815,2.553500433538244,0.4867643714946275,3.304345037549588,2.5851404632334813,2.5881012331363493,139090.0
2010,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,1.8990037886396174,1.7789187346263566,0.21408703571446955,3.0315870357144696,2.5041069392067867,2.266578048349606,124857.0
2011,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,0.5651166541367918,-0.20758126537364335,-1.3814936303404908,2.106783957023211,1.6253922171298982,1.7363771194175766,108046.0
2012,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,2.2595005209258,2.020175703604549,0.5749931075672673,3.265256369659509,2.4618079721196917,2.5686275257018485,99772.0
2013,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,1.4652942590493196,1.0159187346263567,-0.3292356285053724,3.411813728167188,2.148776825710642,2.128037268711082,110231.0
2014,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,0.7176617860559499,0.36017570360454854,-0.838993630340491,1.655345037549588,1.750157918007027,1.2204224278611417,93679.0
2015,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,1.8051767320426886,2.0345143714946277,-0.9739995664617561,3.5278858870055316,2.866186460468603,2.3256137025126447,100302.0
2016,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,2.1175416780294283,1.8509187346263567,0.9079595840823004,2.907627885170413,2.4954968948392144,2.21473452723454,123038.0
2017,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,1.3823123002750202,1.1120143714946276,0.46975043353824386,2.1798370357144696,1.5183794323546762,1.481052436404288,91831.0
2018,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,2.798531806694916,2.2640004335382438,1.4388789180273398,4.67378395702321,3.5125668785882307,3.3564051958421266,150083.0
2019,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,2.454357503592736,2.4691757036045487,1.4938370357144695,3.4019595840823005,2.791394125239544,2.4358380671328392,145447.0
2020,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,2.0468012417162553,1.9269187346263568,1.1414282746998996,3.017095037549588,2.1491487079613667,2.1362322019040727,117401.0
2021,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,2.008269590589641,2.2208561158615554,0.4827117981848663,3.9191278851704134,2.2266931206927216,2.0596611841249035,117389.0
2022,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,1.604456244969925,1.8282117981848662,-0.29823562850537244,3.854135887005532,2.023068657678997,1.5157406009345153,129281.0
2023,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,1.6898592050360584,1.584500433538244,0.5955004335382438,2.6800557263320686,1.847678719887054,1.8135402047553004,136174.0
