era,metric,n_players,mean,weighted_mean,median
1997-2004,Age-Adjusted RAPM,128,1.7066446120568632,2.651554831541511,1.556418734626357
2005-2014,Age-Adjusted RAPM,200,1.7511464609739926,2.47219465256291,1.5438370357144695
2015-2024,Age-Adjusted RAPM,200,2.024629171909962,2.4368642265701412,1.9719187346263567
1997-2004,BRef BPM,128,-2.0914062500000004,-1.3449660171143414,-2.3
2005-2014,BRef BPM,200,-2.0845,-1.5568977008257925,-2.1500000000000004
2015-2024,BRef BPM,199,-2.2316582914572867,-1.9727806908998926,-2.4
1997-2004,BRef DBPM,128,-0.521875,-0.4514813565716441,-0.6
2005-2014,BRef DBPM,200,-0.40299999999999997,-0.4173829830457732,-0.6
2015-2024,BRef DBPM,199,-0.43165829145728646,-0.44898511687050924,-0.5
1997-2004,BRef OBPM,128,-1.5687499999999999,-0.8949188583579607,-1.7
2005-2014,BRef OBPM,200,-1.6815000000000004,-1.1395995423748746,-1.6
2015-2024,BRef OBPM,199,-1.7984924623115577,-1.5232438659219405,-1.7
1997-2004,BRef PER,128,13.021875000000001,14.044288074265037,12.9
2005-2014,BRef PER,200,12.895,13.603957530677635,12.9
2015-2024,BRef PER,199,12.217587939698493,12.644562564519768,11.9
1997-2004,BRef VORP,128,0.2296875,0.571118262728577,-0.1
2005-2014,BRef VORP,200,0.15449999999999997,0.35290096550347677,0.0
2015-2024,BRef VORP,199,0.008040201005025106,0.11000116221038746,-0.1
1997-2004,BRef WS,128,2.0265625,2.981865314591777,1.3
2005-2014,BRef WS,200,2.0185000000000004,2.5860157032422237,1.7
2015-2024,BRef WS,199,1.7100502512562814,2.023576463188695,1.3
1997-2004,BRef WS/48,128,0.062179687500000004,0.0711637009048765,0.062
2005-2014,BRef WS/48,200,0.064915,0.06914592681562055,0.0645
2015-2024,BRef WS/48,199,0.054351758793969855,0.055784174112789096,0.053
1997-2004,Def Above Aging Curve (lower better),128,-0.1502939379971265,-0.09772177475792139,-0.15457003224601734
2005-2014,Def Above Aging Curve (lower better),200,-0.1571260353230507,-0.10582539606520354,-0.12117393539561694
2015-2024,Def Above Aging Curve (lower better),200,-0.044229332443092274,0.011059363644338741,-0.03007003224601735
1997-2004,Def At Ref Age (lower better),128,-1.2181680440987146,-1.1655958808595095,-1.2224441383476057
2005-2014,Def At Ref Age (lower better),200,-1.2250001414246388,-1.1736995021667918,-1.189048041497205
2015-2024,Def At Ref Age (lower better),200,-1.1121034385446804,-1.0568147424572494,-1.0979441383476054
1997-2004,Def VORP,128,0.8511328125000001,1.1154133735720035,0.702
2005-2014,Def VORP,200,0.904515,1.1004823267252744,0.9055
2015-2024,Def VORP,200,1.147245,1.276764003528397,1.0245
1997-2004,Off Above Aging Curve,128,-2.421399964170809,-1.423929608300313,-2.8732314786631843
2005-2014,Off Above Aging Curve,200,-2.3836912952287914,-1.6113424401044656,-2.785557273412938
2015-2024,Off Above Aging Curve,200,-1.9973848814143633,-1.529860116891116,-2.0342314786631843
1997-2004,Off At Ref Age,128,0.488508981549169,1.4859793374196644,0.036677467056793506
2005-2014,Off At Ref Age,200,0.526217650491186,1.298566505615512,0.1243516723070398
2015-2024,Off At Ref Age,200,0.9125240643056142,1.380048828828862,0.8756774670567934
1997-2004,Off VORP,128,1.13371875,1.8399611975915142,0.8105
2005-2014,Off VORP,200,1.23189,1.7591655502262322,1.0615
2015-2024,Off VORP,200,0.9193600000000001,1.237917643121819,0.8645
1997-2004,RAPM Above Aging Curve,128,-2.271067186128003,-1.3261569666433548,-2.4212930635585095
2005-2014,RAPM Above Aging Curve,200,-2.226565337210874,-1.505517145621956,-2.433874762470397
2015-2024,RAPM Above Aging Curve,200,-1.9530826262749048,-1.5408475716147254,-2.0057930635585093
1997-2004,RAPM VORP,128,0.2826171875,0.7245486598130624,-0.045
2005-2014,RAPM VORP,200,0.32739999999999997,0.6587117735777274,0.16099999999999998
2015-2024,RAPM VORP,200,-0.22788999999999995,-0.03886218458454428,-0.17099999999999999
1997-2004,Raw Def (lower better),128,-0.5884765624999999,-0.5232243266975506,-0.6255
2005-2014,Raw Def (lower better),200,-0.5799650000000001,-0.5169432549333985,-0.601
2015-2024,Raw Def (lower better),200,-0.36946999999999997,-0.3102122894455121,-0.45
1997-2004,Raw Off,128,-1.0334296875,-0.0749631929939205,-1.3235000000000001
2005-2014,Raw Off,200,-1.043275,-0.30733557436670883,-1.271
2015-2024,Raw Off,200,-0.960955,-0.5056000784629704,-1.0779999999999998
1997-2004,Raw RAPM,128,-0.44494531249999997,0.4482818899728111,-0.9345
2005-2014,Raw RAPM,200,-0.4633400000000001,0.20957849821777152,-0.521
2015-2024,Raw RAPM,200,-0.5914349999999999,-0.19533851410952652,-0.6839999999999999
