metric,trend_column,first_season,last_season,n_seasons,slope_per_season,slope_per_decade,trendline_start,trendline_end
Age-Adjusted RAPM,age_standardized_weighted_mean,1997,2024,28,-0.018643105559839314,-0.18643105559839313,2.5954202189458897,2.092056368830228
BRef BPM,age_standardized_weighted_mean,1997,2024,28,-0.023679242905645433,-0.23679242905645434,-1.4421178012778384,-2.0814573597302655
BRef DBPM,age_standardized_weighted_mean,1997,2024,28,0.00406212397520617,0.0406212397520617,-0.5164985673098865,-0.40682121997932086
BRef OBPM,age_standardized_weighted_mean,1997,2024,28,-0.02735398967440307,-0.2735398967440307,-0.9303840596946955,-1.6689417809035731
BRef PER,age_standardized_weighted_mean,1997,2024,28,-0.06592654864805837,-0.6592654864805837,14.083106145152641,12.303089331655059
BRef VORP,age_standardized_weighted_mean,1997,2024,28,-0.018496047398849677,-0.18496047398849677,0.5190141400617492,0.01962086029281096
BRef WS,age_standardized_weighted_mean,1997,2024,28,-0.03248686759420844,-0.3248686759420844,2.8015736586037576,1.9244282335601355
BRef WS/48,age_standardized_weighted_mean,1997,2024,28,-0.00045840199088786123,-0.004584019908878612,0.06994133847035588,0.057564484716383646
Def Above Aging Curve (lower better),age_standardized_weighted_mean,1997,2024,28,0.011199074557272018,0.11199074557272018,-0.23606230977765108,0.06631270326869299
Def At Ref Age (lower better),age_standardized_weighted_mean,1997,2024,28,0.011199074557272022,0.11199074557272022,-1.3039364158792353,-1.0015614028328912
Def VORP,age_standardized_weighted_mean,1997,2024,28,0.009444434786671714,0.09444434786671714,0.9867132206689213,1.241712959909055
Off Above Aging Curve,age_standardized_weighted_mean,1997,2024,28,-0.007445789097903491,-0.07445789097903491,-1.618384690518523,-1.8194209961619183
Off At Ref Age,age_standardized_weighted_mean,1997,2024,28,-0.007445789097903524,-0.07445789097903524,1.291524255201459,1.0904879495580637
Off VORP,age_standardized_weighted_mean,1997,2024,28,-0.020247796924018745,-0.20247796924018746,1.761460760203427,1.2147702432549181
RAPM Above Aging Curve,age_standardized_weighted_mean,1997,2024,28,-0.018643105559839265,-0.18643105559839265,-1.3822915792389807,-1.8856554293546353
RAPM VORP,age_standardized_weighted_mean,1997,2024,28,-0.029692067158026556,-0.2969206715802656,0.774793129232549,-0.026892684034166336
Raw Def (lower better),age_standardized_weighted_mean,1997,2024,28,0.012375172230628905,0.12375172230628906,-0.6395658830561466,-0.305436232829166
Raw Off,age_standardized_weighted_mean,1997,2024,28,-0.01114290511714629,-0.1114290511714629,-0.33715172611660904,-0.6380101642795601
Raw RAPM,age_standardized_weighted_mean,1997,2024,28,-0.02351623540653013,-0.23516235406530128,0.3024164388332693,-0.3325219171430476
