Season,Rookie_Age_Bin,n_players,player_share,poss,poss_share
1997,18,2,0.1111111111111111,6610.0,0.06595555732944851
1997,20,3,0.16666666666666666,31430.0,0.31361318712020675
1997,21,4,0.2222222222222222,23576.0,0.23524481385765175
1997,22,9,0.5,38603.0,0.385186441692693
1998,19,1,0.07692307692307693,4688.0,0.05369804015898652
1998,21,3,0.23076923076923078,21017.0,0.24073628626736768
1998,22,9,0.6923076923076923,61598.0,0.7055656735736459
1999,19,1,0.07142857142857142,2101.0,0.04455802511028164
1999,20,1,0.07142857142857142,4504.0,0.09552086868001357
1999,21,5,0.35714285714285715,18791.0,0.3985196810315575
1999,22,7,0.5,21756.0,0.46140142517814725
2000,20,4,0.2857142857142857,26824.0,0.3518086194685623
2000,21,3,0.21428571428571427,19142.0,0.2510557930907851
2000,22,7,0.5,30280.0,0.39713558744065264
2001,19,1,0.06666666666666667,7911.0,0.11473697950659183
2001,20,1,0.06666666666666667,1182.0,0.017143105773832833
2001,21,8,0.5333333333333333,38755.0,0.5620821186674209
2001,22,5,0.3333333333333333,21101.0,0.3060377960521545
2002,19,3,0.15,11550.0,0.10809546092653252
2002,20,5,0.25,26598.0,0.2489284043051006
2002,21,7,0.35,46793.0,0.43793167992512866
2002,22,5,0.25,21909.0,0.2050444548432382
2003,20,5,0.2777777777777778,31384.0,0.31432405905093846
2003,21,4,0.2222222222222222,25016.0,0.25054584059451557
2003,22,9,0.5,43446.0,0.435130100354546
2004,19,1,0.0625,11925.0,0.12044116310308955
2004,20,4,0.25,27788.0,0.2806556847218996
2004,21,4,0.25,16087.0,0.16247689650644878
2004,22,7,0.4375,43211.0,0.4364262556685621
2005,19,4,0.2,28309.0,0.2217530941563528
2005,20,5,0.25,24475.0,0.1917201942660191
2005,21,2,0.1,19180.0,0.1502428325238916
2005,22,9,0.45,55696.0,0.4362838790537365
2006,18,1,0.05,1304.0,0.013144498765183206
2006,19,1,0.05,4007.0,0.04039110931908674
2006,20,4,0.2,17431.0,0.17570686961342674
2006,21,5,0.25,36156.0,0.36445743662113805
2006,22,9,0.45,40307.0,0.40630008568116527
2007,20,4,0.2,20789.0,0.216556594929061
2007,21,7,0.35,34889.0,0.3634346548886435
2007,22,9,0.45,40320.0,0.42000875018229544
2008,19,1,0.05,11062.0,0.1049356365671571
2008,20,5,0.25,24682.0,0.2341368090535682
2008,21,5,0.25,24764.0,0.23491467220657009
2008,22,9,0.45,44909.0,0.4260128821727046
2009,19,1,0.05,4674.0,0.03360414120353728
2009,20,7,0.35,57597.0,0.4140987849593788
2009,21,9,0.45,55600.0,0.3997411747789201
2009,22,3,0.15,21219.0,0.15255589905816377
2010,20,6,0.3,47309.0,0.3789054678552264
2010,21,2,0.1,15542.0,0.12447840329336761
2010,22,12,0.6,62006.0,0.496616128851406
2011,19,1,0.05,5712.0,0.052866371730559206
2011,20,4,0.2,26749.0,0.24757047924032358
2011,21,6,0.3,31439.0,0.29097791681320917
2011,22,9,0.45,44146.0,0.40858523221590803
2012,19,1,0.05,5467.0,0.05479493244597683
2012,20,4,0.2,21226.0,0.21274505873391333
2012,21,7,0.35,31492.0,0.31563965842120034
2012,22,8,0.4,41587.0,0.4168203503989095
2013,19,2,0.1,12299.0,0.11157478386297866
