Season,value,series,series_type,z_score
1997,20.045554005003424,Avg MPG,context,-0.6012594323928989
1998,24.279030245396896,Avg MPG,context,1.2490298052888602
1999,19.438565218084513,Avg MPG,context,-0.8665508279400211
2000,20.14928286050284,Avg MPG,context,-0.5559235490504246
2001,17.350758363145314,Avg MPG,context,-1.7790507062181047
2002,19.8128149734267,Avg MPG,context,-0.702980689549373
2003,20.590927700619048,Avg MPG,context,-0.36289761760720235
2004,22.756010170593264,Avg MPG,context,0.5833764525442815
2005,22.789920739806856,Avg MPG,context,0.5981974548829507
2006,18.865490953517348,Avg MPG,context,-1.117019493384205
2007,17.924623300903754,Avg MPG,context,-1.5282364680074123
2008,20.191124946420945,Avg MPG,context,-0.5376359865698022
2009,23.663721609713214,Avg MPG,context,0.9801021246288766
2010,21.090718158810276,Avg MPG,context,-0.14445847838073186
2011,21.3096771543401,Avg MPG,context,-0.04875994367375825
2012,21.895113271491557,Avg MPG,context,0.20711161090826502
2013,21.319435968323837,Avg MPG,context,-0.04449474234479824
2014,17.35466994355583,Avg MPG,context,-1.777341105236564
2015,21.495061218434124,Avg MPG,context,0.03226428302628252
2016,21.569267150446134,Avg MPG,context,0.06469683480581132
2017,17.608126821553633,Avg MPG,context,-1.6665648762120295
2018,24.660201142837533,Avg MPG,context,1.415624908037413
2019,24.636059938434677,Avg MPG,context,1.405073718387385
2020,24.21349173705316,Avg MPG,context,1.2203854502113274
2021,24.134127448012947,Avg MPG,context,1.1856983794617053
2022,24.376345996720243,Avg MPG,context,1.291562768061262
2023,23.366720982330754,Avg MPG,context,0.8502946016322624
2024,22.90788600658039,Avg MPG,context,0.649755524690623
1997,20.882969568958774,Avg Rookie Age,context,0.11709806062625287
1998,21.59665551839465,Avg Rookie Age,context,2.339755736090436
1999,21.285926660059467,Avg Rookie Age,context,1.3720417401615164
2000,21.03030617540218,Avg Rookie Age,context,0.5759537231864253
2001,21.04173913043478,Avg Rookie Age,context,0.6115597839145804
2002,20.73080639167596,Avg Rookie Age,context,-0.3567891641089405
2003,21.12440342365795,Avg Rookie Age,context,0.8690041485745922
2004,20.893070161670067,Avg Rookie Age,context,0.14855469772866234
2005,20.781167887724504,Avg Rookie Age,context,-0.19994655591602778
2006,21.1152407757258,Avg Rookie Age,context,0.8404685864410404
2007,21.21522309711286,Avg Rookie Age,context,1.1518471055464536
2008,20.971098486292753,Avg Rookie Age,context,0.39156109958274093
2009,20.68109206278526,Avg Rookie Age,context,-0.511616276477906
2010,21.112798684337815,Avg Rookie Age,context,0.832863093896347
2011,21.050302748020492,Avg Rookie Age,context,0.6382297644174418
2012,21.08844019364742,Avg Rookie Age,context,0.757002575220693
2013,20.856110288414076,Avg Rookie Age,context,0.033449242673050175
2014,21.136220136518773,Avg Rookie Age,context,0.905805360031295
2015,20.692873147529383,Avg Rookie Age,context,-0.4749260229391966
2016,20.32066054800027,Avg Rookie Age,context,-1.6341210328757
2017,20.65497639022601,Avg Rookie Age,context,-0.5929492494888057
2018,20.64593545462273,Avg Rookie Age,context,-0.6211057585638313
2019,20.593159420289854,Avg Rookie Age,context,-0.7854680496853655
2020,20.542034649930475,Avg Rookie Age,context,-0.9446877503610461
2021,20.175601973806256,Avg Rookie Age,context,-2.0858821381336443
2022,20.327078531311884,Avg Rookie Age,context,-1.614133277925731
2023,20.70240571162502,Avg Rookie Age,context,-0.4452384176686047
2024,20.422059380052982,Avg Rookie Age,context,-1.3183310239464074
1997,1.73834748005155,Age-Adjusted RAPM,impact,-0.7867189868059994
1998,1.763522789309703,Age-Adjusted RAPM,impact,-0.7540031058586362
1999,3.621047876966958,Age-Adjusted RAPM,impact,1.6598925488632434
2000,3.44672505792318,Age-Adjusted RAPM,impact,1.4333561224081037
2001,1.0282587697946803,Age-Adjusted RAPM,impact,-1.7094952462200514
2002,2.6620479126280094,Age-Adjusted RAPM,impact,0.41365051306072687
2003,1.755125929944271,Age-Adjusted RAPM,impact,-0.7649150135740205
2004,3.179491200008788,Age-Adjusted RAPM,impact,1.086079709992218
2005,4.122987435139149,Age-Adjusted RAPM,impact,2.3121743007791764
2006,2.7731541591409052,Age-Adjusted RAPM,impact,0.5580355808329175
2007,3.4552771911119855,Age-Adjusted RAPM,impact,1.444469811951375
2008,1.4899208321668136,Age-Adjusted RAPM,impact,-1.1095550065350301
2009,2.5881012331363493,Age-Adjusted RAPM,impact,0.31755513890286996
2010,2.266578048349606,Age-Adjusted RAPM,impact,-0.10027147555643763
