cohort,Rookie_Age_Bin,Season,series,value,n_players,weight_sum
All qualifying,18,1997,Age-Adjusted RAPM,3.9183877437219317,2,6610.0
All qualifying,18,2006,Age-Adjusted RAPM,0.3297117981848663,1,1304.0
All qualifying,19,1998,Age-Adjusted RAPM,2.1477117981848663,1,4688.0
All qualifying,19,1999,Age-Adjusted RAPM,3.1837117981848664,1,2101.0
All qualifying,19,2001,Age-Adjusted RAPM,7.662711798184867,1,7911.0
All qualifying,19,2002,Age-Adjusted RAPM,2.1185350016480697,3,11550.0
All qualifying,19,2004,Age-Adjusted RAPM,9.744711798184866,1,11925.0
All qualifying,19,2005,Age-Adjusted RAPM,3.530321121271083,5,29797.0
All qualifying,19,2006,Age-Adjusted RAPM,-0.5732882018151337,1,4007.0
All qualifying,19,2008,Age-Adjusted RAPM,3.5157117981848662,1,11062.0
All qualifying,19,2009,Age-Adjusted RAPM,1.8567117981848662,1,4674.0
All qualifying,19,2011,Age-Adjusted RAPM,1.9087117981848665,1,5712.0
All qualifying,19,2012,Age-Adjusted RAPM,1.1491950543787135,2,7346.0
All qualifying,19,2013,Age-Adjusted RAPM,4.427940190737106,2,12299.0
All qualifying,19,2014,Age-Adjusted RAPM,5.187287018484261,2,9419.0
All qualifying,19,2015,Age-Adjusted RAPM,4.9711401400011,3,11199.0
All qualifying,19,2016,Age-Adjusted RAPM,1.7593911632642316,2,12600.0
All qualifying,19,2017,Age-Adjusted RAPM,2.306726121037665,4,20387.0
All qualifying,19,2018,Age-Adjusted RAPM,4.392711798184866,1,6867.0
All qualifying,19,2019,Age-Adjusted RAPM,3.020876108548887,2,8983.0
All qualifying,19,2020,Age-Adjusted RAPM,3.465904709577271,2,5925.0
All qualifying,19,2021,Age-Adjusted RAPM,2.6947897602025574,5,31541.0
All qualifying,19,2022,Age-Adjusted RAPM,2.544408349909004,5,23635.0
All qualifying,19,2023,Age-Adjusted RAPM,3.8957266831645687,2,12563.0
All qualifying,19,2024,Age-Adjusted RAPM,2.6053198265877757,4,17463.0
All qualifying,20,1997,Age-Adjusted RAPM,2.416548922243303,3,31430.0
All qualifying,20,1999,Age-Adjusted RAPM,3.9010004335382447,1,4504.0
All qualifying,20,2000,Age-Adjusted RAPM,5.733124725217337,4,26824.0
All qualifying,20,2001,Age-Adjusted RAPM,-0.592999566461756,1,1182.0
All qualifying,20,2002,Age-Adjusted RAPM,2.4900936360346724,5,26598.0
All qualifying,20,2003,Age-Adjusted RAPM,2.9935755036376572,5,31384.0
All qualifying,20,2004,Age-Adjusted RAPM,4.016261625419632,4,27788.0
All qualifying,20,2005,Age-Adjusted RAPM,3.2654135081041273,5,24475.0
All qualifying,20,2006,Age-Adjusted RAPM,2.7598638951870305,4,17431.0
All qualifying,20,2007,Age-Adjusted RAPM,4.143509789447618,4,20789.0
All qualifying,20,2008,Age-Adjusted RAPM,2.8758956560188937,6,26227.0
All qualifying,20,2009,Age-Adjusted RAPM,2.9055653744600445,11,66522.0
All qualifying,20,2010,Age-Adjusted RAPM,3.6128464459248937,6,47309.0
All qualifying,20,2011,Age-Adjusted RAPM,2.4475416500323184,4,26749.0
All qualifying,20,2012,Age-Adjusted RAPM,3.3303936086124284,5,22242.0
All qualifying,20,2013,Age-Adjusted RAPM,2.2259705553715454,7,31026.0
All qualifying,20,2014,Age-Adjusted RAPM,-0.4674557640386433,2,8584.0
All qualifying,20,2015,Age-Adjusted RAPM,2.4537488545230346,6,31032.0
All qualifying,20,2016,Age-Adjusted RAPM,2.854403556301545,11,75446.0
All qualifying,20,2017,Age-Adjusted RAPM,2.1799015353220845,6,22872.0
All qualifying,20,2018,Age-Adjusted RAPM,3.37726313732619,14,78697.0
All qualifying,20,2019,Age-Adjusted RAPM,3.686784955905203,10,79224.0
All qualifying,20,2020,Age-Adjusted RAPM,2.249385099321833,14,70209.0
All qualifying,20,2021,Age-Adjusted RAPM,1.7962253202368845,16,68181.0
All qualifying,20,2022,Age-Adjusted RAPM,2.0774347241299456,15,72638.0
All qualifying,20,2023,Age-Adjusted RAPM,1.5327932912147477,15,66925.0
All qualifying,20,2024,Age-Adjusted RAPM,1.826924295815165,13,61021.0
All qualifying,21,1997,Age-Adjusted RAPM,2.0262045224956458,4,23576.0
All qualifying,21,1998,Age-Adjusted RAPM,-0.5876949352570497,3,21017.0
All qualifying,21,1999,Age-Adjusted RAPM,3.0720181232907002,5,18791.0
All qualifying,21,2000,Age-Adjusted RAPM,2.6113634468263593,3,19142.0
All qualifying,21,2001,Age-Adjusted RAPM,2.017251386073392,8,38755.0
All qualifying,21,2002,Age-Adjusted RAPM,4.874372195544602,8,48025.0
All qualifying,21,2003,Age-Adjusted RAPM,0.8581404108294535,4,25016.0
All qualifying,21,2004,Age-Adjusted RAPM,1.8930556159777507,4,16087.0
All qualifying,21,2005,Age-Adjusted RAPM,4.908943662186213,5,24827.0
All qualifying,21,2006,Age-Adjusted RAPM,5.047595104982846,5,36156.0
All qualifying,21,2007,Age-Adjusted RAPM,4.28928552466388,8,36933.0
All qualifying,21,2008,Age-Adjusted RAPM,0.23028956936250028,5,24764.0
All qualifying,21,2009,Age-Adjusted RAPM,1.7787108225240011,10,58045.0
All qualifying,21,2010,Age-Adjusted RAPM,0.9317548810815534,2,15542.0
All qualifying,21,2011,Age-Adjusted RAPM,1.383979780699755,6,31439.0
All qualifying,21,2012,Age-Adjusted RAPM,2.574464540569328,8,32530.0
All qualifying,21,2013,Age-Adjusted RAPM,2.0717135554029737,9,38231.0
All qualifying,21,2014,Age-Adjusted RAPM,1.6012046517349092,9,37789.0
All qualifying,21,2015,Age-Adjusted RAPM,4.053913103827426,8,41178.0
All qualifying,21,2016,Age-Adjusted RAPM,2.0968921735263635,6,23822.0
All qualifying,21,2017,Age-Adjusted RAPM,0.5446807649700204,6,25013.0
All qualifying,21,2018,Age-Adjusted RAPM,3.41204029162934,8,49884.0
All qualifying,21,2019,Age-Adjusted RAPM,0.5754077446884492,8,38133.0
All qualifying,21,2020,Age-Adjusted RAPM,1.9608148850021065,8,35832.0
All qualifying,21,2021,Age-Adjusted RAPM,0.9171474206255336,6,21229.0
All qualifying,21,2022,Age-Adjusted RAPM,1.672153213649841,13,46362.0
All qualifying,21,2023,Age-Adjusted RAPM,1.1030057906006943,7,36826.0
All qualifying,21,2024,Age-Adjusted RAPM,3.2708489630886004,5,31525.0
All qualifying,22,1997,Age-Adjusted RAPM,0.7593957228631367,9,38603.0
All qualifying,22,1998,Age-Adjusted RAPM,3.7453249249316527,9,61598.0
All qualifying,22,1999,Age-Adjusted RAPM,3.9380317865877914,7,21756.0
All qualifying,22,2000,Age-Adjusted RAPM,1.811646778118697,7,30280.0
All qualifying,22,2001,Age-Adjusted RAPM,0.0072355476333360765,5,21101.0
All qualifying,22,2002,Age-Adjusted RAPM,0.8610230323368623,5,21909.0
All qualifying,22,2003,Age-Adjusted RAPM,1.2641508735821674,9,43446.0
All qualifying,22,2004,Age-Adjusted RAPM,1.64270394460341,7,43211.0
All qualifying,22,2005,Age-Adjusted RAPM,2.8603899617111703,12,61227.0
All qualifying,22,2006,Age-Adjusted RAPM,1.710202381684152,9,40307.0
All qualifying,22,2007,Age-Adjusted RAPM,1.7238774126985965,9,40320.0
All qualifying,22,2008,Age-Adjusted RAPM,0.38564612720207125,11,47143.0
All qualifying,22,2009,Age-Adjusted RAPM,2.1449894417237734,5,26226.0
All qualifying,22,2010,Age-Adjusted RAPM,1.8659201541524877,14,65148.0
All qualifying,22,2011,Age-Adjusted RAPM,1.123641492151428,12,47437.0
All qualifying,22,2012,Age-Adjusted RAPM,1.932601850446712,10,44854.0
All qualifying,22,2013,Age-Adjusted RAPM,1.1857988230943115,10,42028.0
All qualifying,22,2014,Age-Adjusted RAPM,1.465534914486822,8,39034.0
All qualifying,22,2015,Age-Adjusted RAPM,-0.5862268319816336,7,21889.0
All qualifying,22,2016,Age-Adjusted RAPM,1.2394659146985751,8,23782.0
All qualifying,22,2017,Age-Adjusted RAPM,1.266930245173929,8,29600.0
All qualifying,22,2018,Age-Adjusted RAPM,2.0186682671035046,7,34254.0
All qualifying,22,2019,Age-Adjusted RAPM,1.5130159409214123,10,41944.0
All qualifying,22,2020,Age-Adjusted RAPM,1.085312959963456,7,25399.0
All qualifying,22,2021,Age-Adjusted RAPM,1.3583755686389372,7,24784.0
All qualifying,22,2022,Age-Adjusted RAPM,-0.06939241960888072,8,30385.0
All qualifying,22,2023,Age-Adjusted RAPM,1.4021316805473973,8,45190.0
All qualifying,22,2024,Age-Adjusted RAPM,1.9748767129728293,6,24044.0
All qualifying,18,1997,Avg MPG,12.856494522691705,2,1561.0
All qualifying,18,2006,Avg MPG,7.3478260869565215,1,338.0
All qualifying,19,1998,Avg MPG,18.421875,1,1179.0
All qualifying,19,1999,Avg MPG,12.108695652173912,1,557.0
All qualifying,19,2001,Avg MPG,26.333333333333332,1,2133.0
All qualifying,19,2002,Avg MPG,14.499521822291774,3,2969.0
All qualifying,19,2004,Avg MPG,39.51898734177215,1,3122.0
All qualifying,19,2005,Avg MPG,24.93150759231632,5,7777.0
All qualifying,19,2006,Avg MPG,17.540983606557376,1,1070.0
All qualifying,19,2008,Avg MPG,34.6,1,2768.0
All qualifying,19,2009,Avg MPG,17.92063492063492,1,1129.0
All qualifying,19,2011,Avg MPG,19.67948717948718,1,1535.0
All qualifying,19,2012,Avg MPG,17.25,2,1934.0
All qualifying,19,2013,Avg MPG,23.33910256410256,2,3268.0
All qualifying,19,2014,Avg MPG,17.44318181818182,2,2430.0
All qualifying,19,2015,Avg MPG,16.608553604410442,3,2946.0
All qualifying,19,2016,Avg MPG,21.01842105263158,2,3109.0
All qualifying,19,2017,Avg MPG,19.89734991811609,4,4951.0
All qualifying,19,2018,Avg MPG,21.871794871794872,1,1706.0
All qualifying,19,2019,Avg MPG,20.079575596816976,2,2245.0
All qualifying,19,2020,Avg MPG,23.837719298245613,2,1422.0
All qualifying,19,2021,Avg MPG,27.772768182751612,5,7526.0
All qualifying,19,2022,Avg MPG,19.266000481000482,5,5601.0
All qualifying,19,2023,Avg MPG,22.191853233830845,2,3071.0
All qualifying,19,2024,Avg MPG,21.930020749820123,4,4198.0
All qualifying,20,1997,Avg MPG,35.310359786433686,3,8096.0
All qualifying,20,1999,Avg MPG,19.76,1,988.0
All qualifying,20,2000,Avg MPG,23.371706423222925,4,6859.0
All qualifying,20,2001,Avg MPG,7.325,1,293.0
All qualifying,20,2002,Avg MPG,20.81156233126559,5,6651.0
All qualifying,20,2003,Avg MPG,23.14877765911486,5,8012.0
All qualifying,20,2004,Avg MPG,23.93157671423314,4,7313.0
All qualifying,20,2005,Avg MPG,18.38575725181122,5,6299.0
All qualifying,20,2006,Avg MPG,18.33273364725637,4,4494.0
All qualifying,20,2007,Avg MPG,17.564879564879565,4,5132.0
All qualifying,20,2008,Avg MPG,18.09976035442894,6,6568.0
All qualifying,20,2009,Avg MPG,21.5588514031402,11,16964.0
All qualifying,20,2010,Avg MPG,26.09355067892862,6,11840.0
All qualifying,20,2011,Avg MPG,24.517158940023165,4,6894.0
All qualifying,20,2012,Avg MPG,20.22733752764694,5,5766.0
All qualifying,20,2013,Avg MPG,19.48932903834528,7,8075.0
All qualifying,20,2014,Avg MPG,13.929705215419501,2,1838.0
All qualifying,20,2015,Avg MPG,22.291035180397888,6,7842.0
All qualifying,20,2016,Avg MPG,24.277805516264895,11,18504.0
All qualifying,20,2017,Avg MPG,15.015900322844322,6,5143.0
All qualifying,20,2018,Avg MPG,21.864755219731645,14,18467.0
All qualifying,20,2019,Avg MPG,26.398774736622897,10,18791.0
All qualifying,20,2020,Avg MPG,21.23429654056623,14,15917.0
All qualifying,20,2021,Avg MPG,18.494009737042816,16,14936.0
All qualifying,20,2022,Avg MPG,19.650810754074787,15,17264.0
All qualifying,20,2023,Avg MPG,18.70425637063103,15,16075.0
All qualifying,20,2024,Avg MPG,19.678483223086324,13,14777.0
All qualifying,21,1997,Avg MPG,21.158004258614014,4,6122.0
All qualifying,21,1998,Avg MPG,24.03791841960856,3,5508.0
All qualifying,21,1999,Avg MPG,22.519265719866954,5,4999.0
All qualifying,21,2000,Avg MPG,23.488176252132888,3,4968.0
All qualifying,21,2001,Avg MPG,17.71025705489707,8,10096.0
All qualifying,21,2002,Avg MPG,22.04055240058201,8,12265.0
All qualifying,21,2003,Avg MPG,23.200026455026453,4,6175.0
All qualifying,21,2004,Avg MPG,17.847282166455095,4,4217.0
All qualifying,21,2005,Avg MPG,18.97302402347332,5,5994.0
All qualifying,21,2006,Avg MPG,23.906199508007393,5,9398.0
All qualifying,21,2007,Avg MPG,17.63932557909354,8,9107.0
All qualifying,21,2008,Avg MPG,20.178515375098996,5,6297.0
All qualifying,21,2009,Avg MPG,21.037420315519036,10,15364.0
All qualifying,21,2010,Avg MPG,23.548027702499247,2,3833.0
All qualifying,21,2011,Avg MPG,19.39730338104577,6,8114.0
All qualifying,21,2012,Avg MPG,19.695841399001097,8,8053.0
All qualifying,21,2013,Avg MPG,19.379833964255024,9,9424.0
All qualifying,21,2014,Avg MPG,16.00631302033741,9,9571.0
All qualifying,21,2015,Avg MPG,19.80383321892638,8,10345.0
All qualifying,21,2016,Avg MPG,17.64310223631656,6,5923.0
All qualifying,21,2017,Avg MPG,16.23390617940661,6,5909.0
All qualifying,21,2018,Avg MPG,22.249575091768758,8,11416.0
All qualifying,21,2019,Avg MPG,19.132877701313923,8,9032.0
All qualifying,21,2020,Avg MPG,19.243293343915983,8,8315.0
All qualifying,21,2021,Avg MPG,16.73762230295492,6,5077.0
All qualifying,21,2022,Avg MPG,16.71154662336039,13,11176.0
All qualifying,21,2023,Avg MPG,20.9058595254088,7,8818.0
All qualifying,21,2024,Avg MPG,22.942275639694998,5,7658.0
All qualifying,22,1997,Avg MPG,16.060431850102344,9,9787.0
All qualifying,22,1998,Avg MPG,25.01019588125933,9,15738.0
All qualifying,22,1999,Avg MPG,18.239269828810645,7,5564.0
All qualifying,22,2000,Avg MPG,16.876943656821343,7,7443.0
All qualifying,22,2001,Avg MPG,16.984197134933975,5,5303.0
All qualifying,22,2002,Avg MPG,16.760814913849202,5,5345.0
All qualifying,22,2003,Avg MPG,18.01030049949586,9,11166.0
All qualifying,22,2004,Avg MPG,22.494534266423877,7,10832.0
All qualifying,22,2005,Avg MPG,19.567571177136248,12,15443.0
All qualifying,22,2006,Avg MPG,17.728786360863403,9,10637.0
All qualifying,22,2007,Avg MPG,17.726327530774583,9,10298.0
All qualifying,22,2008,Avg MPG,16.91563492857664,11,11531.0
All qualifying,22,2009,Avg MPG,18.742237427723165,5,6727.0
All qualifying,22,2010,Avg MPG,16.776525219553527,14,16126.0
All qualifying,22,2011,Avg MPG,18.348221646004557,12,12216.0
All qualifying,22,2012,Avg MPG,19.488005160148226,10,11517.0
All qualifying,22,2013,Avg MPG,16.373915787562346,10,10860.0
