cohort,Rookie_Age_Bin,era,series,value,n_players,weight_sum
All qualifying,18,1997-2004,Age-Adjusted RAPM,3.9183877437219317,2,6610.0
All qualifying,18,2005-2014,Age-Adjusted RAPM,0.3297117981848663,1,1304.0
All qualifying,18,2015-2024,Age-Adjusted RAPM,,0,0.0
All qualifying,19,1997-2004,Age-Adjusted RAPM,5.711903913443544,7,38175.0
All qualifying,19,2005-2014,Age-Adjusted RAPM,3.239334515106921,15,84316.0
All qualifying,19,2015-2024,Age-Adjusted RAPM,2.9258237104914495,30,151163.0
All qualifying,20,1997-2004,Age-Adjusted RAPM,3.4626438641708,23,149710.0
All qualifying,20,2005-2014,Age-Adjusted RAPM,2.9462170566153256,54,291354.0
All qualifying,20,2015-2024,Age-Adjusted RAPM,2.4664121238511405,120,626245.0
All qualifying,21,1997-2004,Age-Adjusted RAPM,2.4111247778935936,39,210409.0
All qualifying,21,2005-2014,Age-Adjusted RAPM,2.53732497115679,67,336256.0
All qualifying,21,2015-2024,Age-Adjusted RAPM,2.0972994997378724,75,349804.0
All qualifying,22,1997-2004,Age-Adjusted RAPM,1.9349635752456578,58,281904.0
All qualifying,22,2005-2014,Age-Adjusted RAPM,1.667530223643695,100,453724.0
All qualifying,22,2015-2024,Age-Adjusted RAPM,1.1840675657024207,76,301271.0
All qualifying,18,1997-2004,Avg MPG,12.856494522691705,2,1561.0
All qualifying,18,2005-2014,Avg MPG,7.3478260869565215,1,338.0
All qualifying,18,2015-2024,Avg MPG,,0,0.0
All qualifying,19,1997-2004,Avg MPG,19.983065256307817,7,9960.0
All qualifying,19,2005-2014,Avg MPG,22.030880828855324,15,21911.0
All qualifying,19,2015-2024,Avg MPG,21.61519733461938,30,36775.0
All qualifying,20,1997-2004,Avg MPG,23.566561385262073,23,38212.0
All qualifying,20,2005-2014,Avg MPG,20.39475014518279,54,73870.0
All qualifying,20,2015-2024,Avg MPG,20.72965025659763,120,147716.0
All qualifying,21,1997-2004,Avg MPG,21.076983071250616,39,54350.0
All qualifying,21,2005-2014,Avg MPG,19.497006448738077,67,85155.0
All qualifying,21,2015-2024,Avg MPG,19.00569226852654,75,83669.0
All qualifying,22,1997-2004,Avg MPG,19.029804285965945,58,71178.0
All qualifying,22,2005-2014,Avg MPG,17.954879182649606,100,115246.0
All qualifying,22,2015-2024,Avg MPG,17.262764840033846,76,70897.0
All qualifying,18,1997-2004,BRef BPM,-1.097565663036515,2,1561.0
All qualifying,18,2005-2014,BRef BPM,-6.900000000000001,1,338.0
All qualifying,18,2015-2024,BRef BPM,,0,0.0
All qualifying,19,1997-2004,BRef BPM,-0.7203714859437751,7,9960.0
All qualifying,19,2005-2014,BRef BPM,-1.6326548309068505,15,21911.0
All qualifying,19,2015-2024,BRef BPM,-2.6266947654656696,30,36775.0
All qualifying,20,1997-2004,BRef BPM,-1.384983774730451,23,38212.0
All qualifying,20,2005-2014,BRef BPM,-1.5388181941248138,54,73870.0
All qualifying,20,2015-2024,BRef BPM,-2.3190541308998345,120,147716.0
All qualifying,21,1997-2004,BRef BPM,-1.0574682612695492,39,54350.0
All qualifying,21,2005-2014,BRef BPM,-1.7140766836944397,67,85155.0
All qualifying,21,2015-2024,BRef BPM,-1.7151262713788855,75,83669.0
All qualifying,22,1997-2004,BRef BPM,-1.6450743207170755,58,71178.0
All qualifying,22,2005-2014,BRef BPM,-1.5964562761397356,100,115246.0
All qualifying,22,2015-2024,BRef BPM,-2.1302495169048052,76,70897.0
All qualifying,18,1997-2004,BRef VORP,0.2946188340807175,2,1561.0
All qualifying,18,2005-2014,BRef VORP,-0.4000000000000001,1,338.0
All qualifying,18,2015-2024,BRef VORP,,0,0.0
All qualifying,19,1997-2004,BRef VORP,1.024487951807229,7,9960.0
All qualifying,19,2005-2014,BRef VORP,0.2900689151567706,15,21911.0
All qualifying,19,2015-2024,BRef VORP,-0.2293704962610469,30,36775.0
All qualifying,20,1997-2004,BRef VORP,0.5461765937401862,23,38212.0
All qualifying,20,2005-2014,BRef VORP,0.36358602951130353,54,73870.0
All qualifying,20,2015-2024,BRef VORP,0.010375314793251919,120,147716.0
All qualifying,21,1997-2004,BRef VORP,0.6653045078196873,39,54350.0
All qualifying,21,2005-2014,BRef VORP,0.3136398332452586,67,85155.0
All qualifying,21,2015-2024,BRef VORP,0.30126092101017105,75,83669.0
All qualifying,22,1997-2004,BRef VORP,0.45219590322852565,58,71178.0
All qualifying,22,2005-2014,BRef VORP,0.32588810023775233,100,115246.0
All qualifying,22,2015-2024,BRef VORP,0.08280463207187895,76,70897.0
All qualifying,18,1997-2004,RAPM VORP,0.5428320726172465,2,6610.0
All qualifying,18,2005-2014,RAPM VORP,-2.057,1,1304.0
All qualifying,18,2015-2024,RAPM VORP,,0,0.0
All qualifying,19,1997-2004,RAPM VORP,1.7914024099541588,7,38175.0
All qualifying,19,2005-2014,RAPM VORP,-0.3338238649841074,15,84316.0
All qualifying,19,2015-2024,RAPM VORP,-0.5567574803357966,30,151163.0
All qualifying,20,1997-2004,RAPM VORP,0.3345206465833946,23,149710.0
All qualifying,20,2005-2014,RAPM VORP,0.32553609011717705,54,291354.0
All qualifying,20,2015-2024,RAPM VORP,-0.41545196049469457,120,626245.0
All qualifying,21,1997-2004,RAPM VORP,0.6137746341648883,39,210409.0
All qualifying,21,2005-2014,RAPM VORP,0.8030462504758279,67,336256.0
All qualifying,21,2015-2024,RAPM VORP,0.1391220940869744,75,349804.0
All qualifying,22,1997-2004,RAPM VORP,0.861905499744594,58,281904.0
All qualifying,22,2005-2014,RAPM VORP,0.7767459182234132,100,453724.0
All qualifying,22,2015-2024,RAPM VORP,0.21229834268814465,76,301271.0
Top 20 minutes,18,1997-2004,Age-Adjusted RAPM,3.9183877437219317,2,6610.0
Top 20 minutes,18,2005-2014,Age-Adjusted RAPM,0.3297117981848663,1,1304.0
Top 20 minutes,18,2015-2024,Age-Adjusted RAPM,,0,0.0
Top 20 minutes,19,1997-2004,Age-Adjusted RAPM,5.711903913443544,7,38175.0
Top 20 minutes,19,2005-2014,Age-Adjusted RAPM,3.2485277069669385,13,80949.0
Top 20 minutes,19,2015-2024,Age-Adjusted RAPM,2.9984340795015707,24,140077.0
