cohort,Rookie_Age_Bin,series,first_season,last_season,n_seasons,slope_per_season,slope_per_decade,trendline_start,trendline_end
All qualifying,19,Age-Adjusted RAPM,1998,2024,23,-0.03808963207157246,-0.3808963207157246,3.905213851808469,2.9148834179475926
All qualifying,20,Age-Adjusted RAPM,1997,2024,27,-0.04667684967280645,-0.4667684967280645,3.3218217442775853,2.06154680311181
All qualifying,21,Age-Adjusted RAPM,1997,2024,28,-0.025156880125265915,-0.2515688012526591,2.524959210641015,1.845723447258834
All qualifying,22,Age-Adjusted RAPM,1997,2024,28,-0.03479374556972833,-0.3479374556972833,1.9565467512070143,1.017115620824356
All qualifying,19,Avg MPG,1998,2024,23,0.01742853188386623,0.1742853188386623,21.410084870512215,21.863226699492735
All qualifying,20,Avg MPG,1997,2024,27,-0.08317310490910329,-0.8317310490910329,21.88238646993136,19.636712637385557
All qualifying,21,Avg MPG,1997,2024,28,-0.1193621095215848,-1.193621095215848,21.731644866347978,18.508867909265206
All qualifying,22,Avg MPG,1997,2024,28,-0.0668588228886586,-0.6685882288865861,18.873365645471466,17.06817742747768
All qualifying,19,BRef BPM,1998,2024,23,-0.0727977874687479,-0.727977874687479,-1.0545246316291923,-2.9472671058166497
All qualifying,20,BRef BPM,1997,2024,27,-0.03429555868210266,-0.3429555868210266,-1.6380493154127862,-2.5640293998295505
All qualifying,21,BRef BPM,1997,2024,28,-0.04092253038979797,-0.40922530389797973,-1.025427311869521,-2.1303356323940648
All qualifying,22,BRef BPM,1997,2024,28,-0.013780384228128469,-0.1378038422812847,-1.67814149248089,-2.0502118666403604
All qualifying,19,BRef VORP,1998,2024,23,-0.04074613719632713,-0.4074613719632713,0.6486468601127484,-0.41075270699175803
All qualifying,20,BRef VORP,1997,2024,27,-0.022828039063725613,-0.22828039063725614,0.487144517462788,-0.12921253725780701
All qualifying,21,BRef VORP,1997,2024,28,-0.023291726459257894,-0.23291726459257894,0.6756401763457589,0.04676356194579512
All qualifying,22,BRef VORP,1997,2024,28,-0.008944623429517058,-0.08944623429517058,0.3402536920482504,0.09874885945129108
All qualifying,19,RAPM VORP,1998,2024,23,-0.0458438404501158,-0.458438404501158,0.5536705432619442,-0.6382693084410676
All qualifying,20,RAPM VORP,1997,2024,27,-0.051679402300280106,-0.5167940230028011,0.7828887958654462,-0.61245506624212
All qualifying,21,RAPM VORP,1997,2024,28,-0.020727386239075406,-0.20727386239075407,0.6629710643385067,0.10333163588347105
All qualifying,22,RAPM VORP,1997,2024,28,-0.03735825619658082,-0.3735825619658082,1.0667498568820406,0.058076939574362996
Top 20 minutes,19,Age-Adjusted RAPM,1998,2024,23,-0.034777515451131995,-0.34777515451131996,3.8765902380567496,2.972374836327319
Top 20 minutes,20,Age-Adjusted RAPM,1997,2024,27,-0.03851585321251019,-0.3851585321251019,3.2921078376740525,2.2521798009362755
Top 20 minutes,21,Age-Adjusted RAPM,1997,2024,28,-0.01810073650096522,-0.1810073650096522,2.5965885758669884,2.107868690340929
Top 20 minutes,22,Age-Adjusted RAPM,1997,2024,28,-0.011878687081973928,-0.11878687081973928,1.860909769913686,1.5401852187003904
Top 20 minutes,19,Avg MPG,1998,2024,23,0.08214352155975996,0.8214352155975996,21.56224189823442,23.69797345878817
Top 20 minutes,20,Avg MPG,1997,2024,27,0.08446981535710378,0.8446981535710378,21.198392473970813,23.479077488612603
Top 20 minutes,21,Avg MPG,1997,2024,28,0.046806272402644254,0.46806272402644256,21.421967888040996,22.685737242912396
Top 20 minutes,22,Avg MPG,1997,2024,28,0.1754106874991218,1.754106874991218,17.88363982278389,22.619728385260203
Top 20 minutes,19,BRef BPM,1998,2024,23,-0.06713233744233225,-0.6713233744233226,-1.1138925941495188,-2.8593333676501516
Top 20 minutes,20,BRef BPM,1997,2024,27,-0.024568678137441766,-0.24568678137441766,-1.691309168443702,-2.3546634781546345
Top 20 minutes,21,BRef BPM,1997,2024,28,-0.03031983856756679,-0.3031983856756679,-1.0679529328169366,-1.8865885741412356
Top 20 minutes,22,BRef BPM,1997,2024,28,0.0007708755152482313,0.007708755152482313,-1.737969296052884,-1.7171556571411817
Top 20 minutes,19,BRef VORP,1998,2024,23,-0.0396002306569364,-0.396002306569364,0.6317154843802939,-0.3978905127000445
Top 20 minutes,20,BRef VORP,1997,2024,27,-0.02179793822731505,-0.2179793822731505,0.4880573083213591,-0.10048702381614305
Top 20 minutes,21,BRef VORP,1997,2024,28,-0.02062553272408338,-0.20625532724083379,0.6777657458987747,0.12087636234852539
Top 20 minutes,22,BRef VORP,1997,2024,28,-0.004659132618055462,-0.046591326180554615,0.3152920944147315,0.18949551372723406
Top 20 minutes,19,RAPM VORP,1998,2024,23,-0.044739436917856534,-0.44739436917856534,0.5112688481398351,-0.6519565117244355
Top 20 minutes,20,RAPM VORP,1997,2024,27,-0.04965618686373919,-0.4965618686373919,0.7832820211152978,-0.5574350242056596
Top 20 minutes,21,RAPM VORP,1997,2024,28,-0.018950590123229548,-0.1895059012322955,0.7365770270652803,0.22491109373808627
Top 20 minutes,22,RAPM VORP,1997,2024,28,-0.0233438490680265,-0.233438490680265,1.0118205535547062,0.38153662871798844
