id,source,description,tier_reached,status,gate_f24,gate_f23,gate_vault,rmse_f24,oof_r2_off,oof_r2_def,anchor_ok,team_net_corr,team_wins_corr,complexity_score,ts,features_chosen,gate_best
mprior_repro_c8_f24,harness:baseline,minutes prior c=8.0 f24,2,keep,0.747,,,15.016,0.1937,0.0084,True,0.5413,0.5832,1,2026-07-03T15:37:49.728544,minutes: log_poss + log_poss² (per side),0.747
g6_derived_box_v1_c4_f24,foundry:gen6,"NEW engineered: ratios, interactions, window z-scores (not base parquet cols)",2,keep,0.7456,,,14.756,0.183,0.0233,True,0.6497,0.7175,1,2026-07-03T18:15:43.408859,"spmv2_subset (11): new_ast_tov_ratio, new_def_event_rate, new_fta_rate, new_rim_vs_three, new_self_create_usg, new_efficiency_usage, new_live_tov_usg, new_usg_z, new_ts_z, new_rim_freq_z, new_age_ts",0.7456
mprior_repro_c4_f24,harness:baseline,minutes prior c=4.0 f24,2,keep,0.7437,,,14.948,0.1937,0.0084,True,0.5744,0.6179,1,2026-07-03T15:37:49.722528,minutes: log_poss + log_poss² (per side),0.7437
mprior_repro_c2_f24,harness:baseline,minutes prior c=2.0 f24,2,keep,0.7346,,,14.858,0.1937,0.0084,True,0.6081,0.6526,1,2026-07-03T15:37:49.713641,minutes: log_poss + log_poss² (per side),0.7346
foundry_g0_c2_f24,foundry:gen0,minutes prior c=2.0 f24,2,keep,0.7346,,,14.858,0.1937,0.0084,True,0.6081,0.6526,1,2026-07-03T16:47:55.420605,minutes: log_poss + log_poss² (per side),0.7346
g6_derived_box_v1_c2_f24,foundry:gen6,"NEW engineered: ratios, interactions, window z-scores (not base parquet cols)",2,keep,0.7312,,,14.675,0.183,0.0233,True,0.6761,0.7383,1,2026-07-03T18:15:43.405832,"spmv2_subset (11): new_ast_tov_ratio, new_def_event_rate, new_fta_rate, new_rim_vs_three, new_self_create_usg, new_efficiency_usage, new_live_tov_usg, new_usg_z, new_ts_z, new_rim_freq_z, new_age_ts",0.7312
g6_derived_box_v1_c4_f23,foundry:gen6,"NEW engineered: ratios, interactions, window z-scores (not base parquet cols)",2,keep,,0.7275,,,0.2275,0.0637,True,0.6918,0.7248,1,2026-07-03T18:18:15.289225,"spmv2_subset (11): new_ast_tov_ratio, new_def_event_rate, new_fta_rate, new_rim_vs_three, new_self_create_usg, new_efficiency_usage, new_live_tov_usg, new_usg_z, new_ts_z, new_rim_freq_z, new_age_ts",0.7275
mprior_repro_c8_f23,harness:baseline,minutes prior c=8.0 f23,2,keep,,0.7257,,,0.1875,0.0138,True,0.611,0.6216,1,2026-07-03T15:41:00.393405,minutes: log_poss + log_poss² (per side),0.7257
mprior_repro_c1_f24,harness:baseline,minutes prior c=1.0 f24,2,keep,0.7199,,,14.761,0.1937,0.0084,True,0.6394,0.6842,1,2026-07-03T15:37:49.706153,minutes: log_poss + log_poss² (per side),0.7199
mprior_repro_c4_f23,harness:baseline,minutes prior c=4.0 f23,2,keep,,0.7157,,,0.1875,0.0138,True,0.6457,0.6719,1,2026-07-03T15:41:00.387967,minutes: log_poss + log_poss² (per side),0.7157
g6_derived_box_v1_c2_f23,foundry:gen6,"NEW engineered: ratios, interactions, window z-scores (not base parquet cols)",2,keep,,0.702,,,0.2275,0.0637,True,0.6985,0.7437,1,2026-07-03T18:18:15.286190,"spmv2_subset (11): new_ast_tov_ratio, new_def_event_rate, new_fta_rate, new_rim_vs_three, new_self_create_usg, new_efficiency_usage, new_live_tov_usg, new_usg_z, new_ts_z, new_rim_freq_z, new_age_ts",0.702
mprior_repro_c2_f23,harness:baseline,minutes prior c=2.0 f23,2,keep,,0.6954,,,0.1875,0.0138,True,0.6714,0.7125,1,2026-07-03T15:41:00.378767,minutes: log_poss + log_poss² (per side),0.6954
foundry_g0_c2_f23,foundry:gen0,minutes prior c=2.0 f23,2,keep,,0.6954,,,0.1875,0.0138,True,0.6714,0.7125,1,2026-07-03T16:51:24.411870,minutes: log_poss + log_poss² (per side),0.6954
mprior_repro_c1_f23,harness:baseline,minutes prior c=1.0 f23,2,keep,,0.6685,,,0.1875,0.0138,True,0.6878,0.7394,1,2026-07-03T15:41:00.371637,minutes: log_poss + log_poss² (per side),0.6685
foundry_g0_c2_vault,foundry:gen0,minutes prior c=2.0 vault,3,discard,,,0.6481,,0.2403,0.0164,True,0.7717,0.768,1,2026-07-03T16:54:53.531618,minutes: log_poss + log_poss² (per side),0.6481
