Name,Off,Def,Rapm,Season
Stephen Curry,6.55328463494111,-1.0604722526035,7.613756887544611,2018-19
Jrue Holiday,3.5265188804899497,-3.28252109843168,6.80903997892163,2018-19
Joel Embiid,3.52970784709688,-3.21371015493096,6.74341800202784,2018-19
Damian Lillard,3.8152501992521,-2.36569862254638,6.18094882179848,2018-19
Kyle Lowry,3.9960015474945503,-1.8483443956329104,5.84434594312746,2018-19
Robert Covington,0.99237646268374,-4.74986253304215,5.74223899572589,2018-19
Otto Porter Jr.,3.8773663641179,-1.82842479976335,5.7057911638812495,2018-19
Giannis Antetokounmpo,2.05649597905396,-3.61640186493453,5.67289784398849,2018-19
Eric Gordon,4.23809214687807,-1.3357732025126,5.573865349390669,2018-19
Chris Paul,2.95451573749098,-2.18693270102658,5.14144843851756,2018-19
Jimmy Butler,2.76844375743423,-2.21554814155237,4.9839918989865994,2018-19
Raul Neto,2.56932655421714,-2.36325084556475,4.93257739978189,2018-19
Nikola Jokic,3.6465976630842096,-1.21636793699088,4.86296560007509,2018-19
Paul George,2.16968836697369,-2.64570447860296,4.815392845576651,2018-19
LeBron James,4.7422857757482,0.06835796014535,4.67392781560285,2018-19
Kemba Walker,4.82316509373329,0.16683096502186,4.65633412871143,2018-19
Al Horford,2.77963247172662,-1.66196875996577,4.441601231692389,2018-19
Danny Green,2.84690217409631,-1.58887687630762,4.43577905040393,2018-19
Pascal Siakam,2.58874456381697,-1.80751042599618,4.39625498981315,2018-19
Kevin Durant,5.0153353057484,0.6493688903370299,4.36596641541137,2018-19
Steven Adams,2.31816916644914,-2.03528896448359,4.35345813093273,2018-19
James Harden,5.223608054908159,0.8744810875064399,4.34912696740172,2018-19
Anthony Davis,2.1082009918334097,-2.09705548003478,4.20525647186819,2018-19
Jayson Tatum,1.6911312790814,-2.24812489050789,3.93925616958929,2018-19
Rudy Gobert,0.73724945489556,-3.1835025684958196,3.92075202339138,2018-19
Danuel House Jr.,2.9277945732861,-0.9872129916041,3.9150075648902,2018-19
Paul Millsap,1.51312292483663,-2.33024270736775,3.84336563220438,2018-19
Victor Oladipo,1.06127707501409,-2.66650866849411,3.7277857435082,2018-19
Jusuf Nurkic,0.75031544485804,-2.9424697166485303,3.6927851615065705,2018-19
Karl-Anthony Towns,4.07649276043472,0.40736448918302,3.669128271251699,2018-19
Nene,0.75697922584894,-2.89467807142899,3.65165729727793,2018-19
Russell Westbrook,3.742500868591,0.16232959986179,3.5801712687292095,2018-19
Dāvis Bertāns,2.4245753018947,-1.01686416520203,3.4414394670967297,2018-19
Kyle Korver,1.59233235223513,-1.8247730599583,3.4171054121934303,2018-19
Nemanja Bjelica,2.55807575666667,-0.85774641534032,3.4158221720069895,2018-19
Draymond Green,1.08998462326544,-2.24438802477011,3.33437264803555,2018-19
Nikola Vucevic,1.75703340907698,-1.52935541407575,3.2863888231527305,2018-19
Joe Ingles,1.57201266223819,-1.67809696201747,3.25010962425566,2018-19
Kelly Olynyk,3.45469434565015,0.21103576716464,3.24365857848551,2018-19
Derrick White,1.2726700848717198,-1.95691423663684,3.22958432150856,2018-19
Fred VanVleet,2.08102402839769,-1.14624015984129,3.2272641882389803,2018-19
Eric Bledsoe,2.87195904213614,-0.3482506621288599,3.220209704265,2018-19
Al-Farouq Aminu,2.6994179066568003,-0.4576585555018699,3.15707646215867,2018-19
Tyus Jones,1.2644931694944,-1.8861893066976,3.1506824761920003,2018-19
Andre Roberson,-0.67721258905919,-3.8198645902101904,3.142652001151,2018-19
Mike Conley,2.1848932181312097,-0.9562560069013,3.14114922503251,2018-19
Kristaps Porzingis,1.13377784162897,-1.9340496139678205,3.0678274555967904,2018-19
Ersan Ilyasova,1.37295442241979,-1.61467960533973,2.98763402775952,2018-19
Donovan Mitchell,1.36425492664814,-1.59082969207632,2.95508461872446,2018-19
Patrick Beverley,2.05168737620475,-0.8973970121240601,2.94908438832881,2018-19
Royce O'Neale,-0.01038757174968,-2.87620693893941,2.86581936718973,2018-19
Seth Curry,0.94858662621464,-1.85222499660849,2.8008116228231303,2018-19
Thaddeus Young,2.24763165913534,-0.49683126895373,2.74446292808907,2018-19
Justise Winslow,0.11975017866851,-2.62409649096079,2.7438466696293,2018-19
Brook Lopez,1.90915995979512,-0.82872222610996,2.73788218590508,2018-19
Aron Baynes,-0.37907200297481,-3.04666744332017,2.6675954403453597,2018-19
Luol Deng,1.66385998352311,-1.00222798886368,2.6660879723867903,2018-19
Andre Iguodala,-0.79399292273068,-3.4478236594470197,2.6538307367163396,2018-19
Jared Dudley,2.02747964238246,-0.62365851802552,2.65113816040798,2018-19
Josh Huestis,1.41620265987471,-1.16952510805632,2.58572776793103,2018-19
Kevin Huerter,2.64329268287071,0.06641014271673,2.57688254015398,2018-19
Lou Williams,4.7880999163899105,2.29762004037825,2.49047987601166,2018-19
Josh Richardson,0.6703973182555399,-1.81935491054909,2.48975222880463,2018-19
Luc Mbah a Moute,0.05085197605615,-2.4139732842149897,2.46482526027114,2018-19
Ish Smith,2.29019555731821,-0.15504651799539,2.4452420753136,2018-19
Dejounte Murray,-1.46590132621026,-3.867130016437121,2.4012286902268603,2018-19
Kevon Looney,1.9216708046777,-0.4688810161342299,2.39055182081193,2018-19
Nikola Mirotic,2.1457433665657,-0.24342002906357,2.38916339562927,2018-19
Tyreke Evans,1.17071258954877,-1.2180923688689198,2.38880495841769,2018-19
Danilo Gallinari,2.16746151922665,-0.21172589739581,2.3791874166224596,2018-19
Ed Davis,-0.25091946508447,-2.61381038675849,2.36289092167402,2018-19
Andre Drummond,2.63601809015939,0.29574671357355,2.34027137658584,2018-19
Yogi Ferrell,-0.14643394076077,-2.47338008343572,2.32694614267495,2018-19
Jarrett Jack,2.10170060730493,-0.22417510842275,2.32587571572768,2018-19
Kyrie Irving,2.6000326979507102,0.27904265810558,2.32099003984513,2018-19
Ricky Rubio,0.9397646985417,-1.37596481038727,2.3157295089289702,2018-19
LaMarcus Aldridge,1.88676256892961,-0.4058592243485099,2.2926217932781197,2018-19
Marc Gasol,1.49498761312339,-0.7777642238801601,2.27275183700355,2018-19
Khris Middleton,2.28388293696672,0.03292114760563,2.25096178936109,2018-19
Dwight Powell,2.3570687478691297,0.2216950694391,2.1353736784300295,2018-19
Kevin Love,2.6193519957824,0.50703136168812,2.11232063409428,2018-19
Johnathan Williams,1.11486108285706,-0.99201547488386,2.10687655774092,2018-19
Aaron Gordon,0.35747376109985,-1.7448376077363998,2.10231136883625,2018-19
Marreese Speights,0.8320942567027,-1.26082020942885,2.0929144661315497,2018-19
Bradley Beal,2.3700037865964503,0.28210927212047,2.08789451447598,2018-19
Thabo Sefolosha,0.47653302632558,-1.59536113108441,2.0718941574099903,2018-19
Jeremy Lamb,1.18914320849392,-0.8178858300183399,2.00702903851226,2018-19
Patty Mills,2.7549663176445702,0.79926403010813,1.95570228753644,2018-19
Marcus Smart,0.15433609337457,-1.80009267262563,1.9544287660002,2018-19
Buddy Hield,1.2777165959658,-0.67438252920565,1.95209912517145,2018-19
George Hill,1.09017625038383,-0.85815793976522,1.94833419014905,2018-19
Aaron Holiday,1.0272772019094,-0.88926352327886,1.91654072518826,2018-19
Jakob Poeltl,1.420254126208,-0.47606720541303,1.89632133162103,2018-19
Mike James,0.2578852778816399,-1.62965889064847,1.88754416853011,2018-19
Gary Harris,0.19870722308971,-1.66812593624118,1.8668331593308896,2018-19
DeMarre Carroll,0.70702584465084,-1.08418987584517,1.79121572049601,2018-19
Alex Caruso,-0.96600505963015,-2.73922211860462,1.7732170589744702,2018-19
Ryan Broekhoff,0.98846191650637,-0.78289280396214,1.7713547204685098,2018-19
Ivica Zubac,-0.94749164445359,-2.71066591078614,1.7631742663325498,2018-19
Rudy Gay,0.30282406656557,-1.43608384758109,1.73890791414666,2018-19
Blake Griffin,1.11956203205497,-0.61313083062927,1.73269286268424,2018-19
Reggie Jackson,1.7528374271516802,0.02996611155248,1.7228713155992,2018-19
Evan Fournier,2.92587458667805,1.2054433808553,1.7204312058227498,2018-19
John Collins,1.02672889220726,-0.68452343480003,1.71125232700729,2018-19
JJ Redick,1.0374734568558202,-0.66622698737883,1.7037004442346502,2018-19
Daniel Theis,0.65891695636949,-1.0443745509598,1.7032915073292902,2018-19
Malcolm Brogdon,1.21080801747439,-0.48083220980428,1.69164022727867,2018-19
Donte DiVincenzo,0.3210407549104699,-1.36089967123045,1.68194042614092,2018-19
Jamal Murray,3.5797173715244996,1.91970003289594,1.6600173386285595,2018-19
P.J. Tucker,0.8021587999057601,-0.85510056030833,1.6572593602140904,2018-19
Brandan Wright,0.0025473169754651,-1.64157797949812,1.644125296473585,2018-19
Ante Zizic,0.7347403231731899,-0.8987477039211199,1.6334880270943095,2018-19
Boban Marjanovic,0.20070820259627,-1.40594069137944,1.60664889397571,2018-19
Kyle Anderson,-0.75052285336052,-2.32458833231783,1.57406547895731,2018-19
Lucas Nogueira,-0.07674720610501,-1.6480305313258,1.5712833252207898,2018-19
Omri Casspi,-0.0085908135809342,-1.57188573545065,1.563294921869716,2018-19
Jaylen Brown,0.15074108826362,-1.40488467024103,1.5556257585046502,2018-19
Ben Simmons,1.41941770935858,-0.11572699312418,1.5351447024827598,2018-19
Brad Wanamaker,0.4664186379017699,-1.03040201595072,1.49682065385249,2018-19
Maxi Kleber,-0.5586266143792701,-2.05124874821636,1.49262213383709,2018-19
Bobby Portis,2.6755276721667,1.21188001398451,1.4636476581821898,2018-19
Michael Kidd-Gilchrist,-0.02500428850795,-1.48048986219197,1.45548557368402,2018-19
Luke Kennard,1.2179540666427,-0.2298759268597799,1.44782999350248,2018-19
Gary Payton II,1.02166182917834,-0.36620121317583,1.38786304235417,2018-19
J.J. Barea,1.4141067012272,0.0563467328548999,1.3577599683722998,2018-19
Khem Birch,0.97688991530905,-0.36804646718217,1.34493638249122,2018-19
Dennis Schroder,1.53060964136729,0.1954079270521,1.33520171431519,2018-19
Bam Adebayo,-0.6728795762612501,-2.00330588035154,1.33042630409029,2018-19
Milos Teodosic,1.3138244316445,0.0011329451423414,1.3126914865021586,2018-19
RJ Hunter,0.4999605115311,-0.79606354871739,1.29602406024849,2018-19
Goran Dragic,1.45205604178066,0.16059010183187,1.29146593994879,2018-19
DeMar DeRozan,1.91184549736525,0.6223972415781001,1.2894482557871498,2018-19
Klay Thompson,1.27942234112035,-0.0049293037000843,1.2843516448204342,2018-19
Isaiah Taylor,0.0600979361856399,-1.2147120603428,1.27480999652844,2018-19
Mario Chalmers,-0.3430292340406199,-1.6162694381855298,1.27324020414491,2018-19
Montrezl Harrell,1.19750397336633,-0.07229622604349,1.26980019940982,2018-19
Joakim Noah,-0.79081574907816,-2.04732641160185,1.25651066252369,2018-19
Joe Harris,1.85806355611659,0.63413630770368,1.22392724841291,2018-19
JaKarr Sampson,-0.58395737190164,-1.79124457476472,1.20728720286308,2018-19
Bruno Caboclo,0.70889323230253,-0.4966547268303299,1.20554795913286,2018-19
Delon Wright,0.63032898347381,-0.55129310112967,1.18162208460348,2018-19
Jemerrio Jones,0.3018081612981499,-0.87365655012021,1.17546471141836,2018-19
Gordon Hayward,2.04236806586713,0.8823463737342101,1.16002169213292,2018-19
Quincy Acy,0.44880810577502,-0.70992403767185,1.15873214344687,2018-19
Jeff Green,1.22310246898328,0.07136411076713,1.15173835821615,2018-19
Alec Peters,0.72296911947643,-0.40567355904957,1.128642678526,2018-19
MarShon Brooks,0.93940940567578,-0.14826407554527,1.08767348122105,2018-19
Tomas Satoransky,0.31049475094927,-0.77670259209864,1.08719734304791,2018-19
Julyan Stone,0.27122459203546,-0.80442386079987,1.07564845283533,2018-19
Deonte Burton,-0.7960595097952701,-1.84671171201105,1.0506522022157798,2018-19
Tyrone Wallace,-0.4431918525005,-1.46241577264335,1.01922392014285,2018-19
Cody Zeller,0.62775058634042,-0.3913226372678099,1.01907322360823,2018-19
Isaiah Hartenstein,0.4329088883534899,-0.5781375322155,1.01104642056899,2018-19
Tim Hardaway Jr.,1.05658876928047,0.0658299697371,0.99075879954337,2018-19
Rodions Kurucs,0.0381154637331399,-0.95168927410405,0.98980473783719,2018-19
Josh Hart,-0.44699650425303,-1.43072629699078,0.98372979273775,2018-19
Langston Galloway,-0.01290201352544,-0.99191531714999,0.97901330362455,2018-19
Serge Ibaka,1.39778452261885,0.43959766277613,0.95818685984272,2018-19
Richaun Holmes,0.1674492799240099,-0.76425597470442,0.93170525462843,2018-19
Shane Larkin,-1.30097975842423,-2.23041760047939,0.92943784205516,2018-19
Monte Morris,0.0081540087676203,-0.91885358860048,0.9270075973681003,2018-19
Clint Capela,0.40330118740667,-0.51839264933948,0.92169383674615,2018-19
Dwight Buycks,-0.34020663967633,-1.26009791988217,0.91989128020584,2018-19
Mason Plumlee,0.13342796382837,-0.7510432393658599,0.8844712031942301,2018-19
Isaac Bonga,-0.68832866792624,-1.51984360583502,0.8315149379087801,2018-19
Domantas Sabonis,0.4391153491737,-0.38905576751655,0.8281711166902499,2018-19
Andre Ingram,0.18673123301742,-0.61068275041763,0.79741398343505,2018-19
Andrew Wiggins,0.57645043746799,-0.2176401209664299,0.79409055843442,2018-19
Isaiah Whitehead,-0.47867762866079,-1.25284107154981,0.7741634428890201,2018-19
Shaun Livingston,0.2206462189278299,-0.55126679573849,0.77191301466632,2018-19
Luka Doncic,1.8107666896319905,1.04294054143247,0.7678261481995201,2018-19
Cory Joseph,-0.12725138846432,-0.89011112593185,0.76285973746753,2018-19
Yuta Watanabe,0.57070947210115,-0.17847430041064,0.74918377251179,2018-19
Kawhi Leonard,1.12874790157054,0.38565415658914,0.7430937449814,2018-19
Myles Turner,-1.09393584307894,-1.81828517439188,0.7243493313129401,2018-19
Kyle Kuzma,1.00252267314823,0.28260966240373,0.7199130107445001,2018-19
Omari Johnson,1.08820741190241,0.36977211936373,0.71843529253868,2018-19
Harrison Barnes,0.12143772547688,-0.5946287710040801,0.71606649648096,2018-19
Travis Wear,0.23578859351524,-0.46958407038386,0.7053726638991,2018-19
Bruce Brown,-0.71541753394446,-1.39915244148104,0.68373490753658,2018-19
Gian Clavell,0.07589596365442,-0.60238042019478,0.6782763838492001,2018-19
Alan Williams,-0.26436404452917,-0.93695497293838,0.67259092840921,2018-19
Robin Lopez,-0.16692677525569,-0.83783961751341,0.67091284225772,2018-19
PJ Dozier,0.1974963231873799,-0.46923738116699,0.6667337043543701,2018-19
Trey Burke,2.31736061157867,1.6523925640799,0.66496804749877,2018-19
Larry Nance Jr.,-0.1682154740868,-0.82343759728242,0.65522212319562,2018-19
Kadeem Allen,0.8516717907036699,0.2243481644053,0.6273236262983699,2018-19
Salah Mejri,0.2070518743002,-0.41725999793672,0.62431187223692,2018-19
Lonzo Ball,-2.2537660188883,-2.86954077289183,0.6157747540035299,2018-19
Dakari Johnson,-0.82128333751521,-1.4167653447323398,0.59548200721713,2018-19
Allen Crabbe,0.26608903466445,-0.31858278243811,0.58467181710256,2018-19
Damien Wilkins,0.53814571194528,-0.04645091400675,0.58459662595203,2018-19
Jonas Valanciunas,1.23401212471022,0.65663201258097,0.5773801121292501,2018-19
Terrence Ross,0.07831239124006,-0.49415584844132,0.5724682396813799,2018-19
Pat Connaughton,0.4827467078127,-0.08046282858192,0.56320953639462,2018-19
Jabari Bird,0.62637094710518,0.06856869109316,0.55780225601202,2018-19
Ryan Arcidiacono,0.54126299604091,-0.0088136796717651,0.5500766757126752,2018-19
Troy Brown Jr.,1.00767181357958,0.47317021586376,0.53450159771582,2018-19
Mikal Bridges,0.55872934165589,0.0279713771233,0.53075796453259,2018-19
Nicolas Brussino,0.13228455369569,-0.39565423367529,0.5279387873709801,2018-19
DeAndre Jordan,-0.3598301448769,-0.8847294941400999,0.5248993492631999,2018-19
Amile Jefferson,1.14263866990316,0.6204795642209,0.52215910568226,2018-19
Luke Kornet,-0.69178814935774,-1.20893044365779,0.5171422943000499,2018-19
Willie Reed,0.41527339851448,-0.1003302695525199,0.5156036680670001,2018-19
Matt Williams Jr.,0.1176927163551599,-0.3975191404234799,0.5152118567786399,2018-19
Tahjere McCall,0.33867204611248,-0.15973303723785,0.4984050833503299,2018-19
Rondae Hollis-Jefferson,-0.0112286523612699,-0.50957821888073,0.49834956651946,2018-19
OG Anunoby,-0.66635077217852,-1.16245935878159,0.4961085866030699,2018-19
Jeff Withey,0.02809822866872,-0.4662978767141,0.49439610538282,2018-19
Bojan Bogdanovic,-0.43554779608811,-0.91439607212732,0.47884827603921,2018-19
Josh Magette,0.0783539757095899,-0.3856017323109499,0.4639557080205399,2018-19
Vander Blue,-0.10616475544612,-0.56707121438686,0.46090645894074,2018-19
Jordan Bell,0.6577938030099201,0.2028262097501799,0.45496759325974,2018-19
Dillon Brooks,-0.56827272345206,-1.02057530980052,0.4523025863484599,2018-19
Dwayne Bacon,0.22406470572421,-0.2119935717329999,0.43605827745721,2018-19
Matt Costello,0.4509951388190499,0.02051552137149,0.4304796174475599,2018-19
Devin Booker,2.03698388795261,1.61863415232658,0.41834973562603,2018-19
Chandler Hutchison,-0.61537477436785,-1.03113256961784,0.4157577952499899,2018-19
Darren Collison,2.0238695053075,1.6111170694206498,0.4127524358868501,2018-19
Brandon Goodwin,0.1919425466112,-0.21132718243007,0.40326972904127,2018-19
Jacob Wiley,-0.36669469561385,-0.76391782887203,0.39722313325818,2018-19
Zhaire Smith,1.03145847895325,0.64183336917368,0.38962510977957,2018-19
Isaiah Briscoe,-0.75136940632506,-1.13451592935126,0.3831465230262,2018-19
Willie Cauley-Stein,0.1175069179528899,-0.24764131244297,0.36514823039586,2018-19
Zach Collins,1.30060893617194,0.94092987448847,0.3596790616834698,2018-19
Kendrick Perkins,0.32103243245655,-0.03730702747157,0.35833945992812,2018-19
Malik Beasley,0.76295823366605,0.40954931288262,0.35340892078343,2018-19
Dante Exum,-0.29841004404495,-0.65088876835599,0.35247872431104,2018-19
Trevor Booker,0.0752642652465,-0.2495457555448099,0.32481002079131,2018-19
Marvin Williams,0.10791528242774,-0.2168442676590299,0.3247595500867699,2018-19
Jeff Teague,0.94147076788694,0.62018850605555,0.3212822618313899,2018-19
