Name,Season,Offensive Prior RAPM,Defensive Prior RAPM,Offensive Raw RAPM,Defensive Raw RAPM,Offensive Final RAPM,Defensive Final RAPM,RAPM
Paul George,2019,4.47,-3.1,2.18,-2.79,5.19,-4.72,9.91
Nikola Jokic,2022,4.18,-2.24,2.85,-1.77,5.98,-3.84,9.82
Stephen Curry,2017,4.83,-1.3,4.59,-1.15,7.7,-1.62,9.32
Jayson Tatum,2022,4.38,-1.48,3.2,-1.97,6.15,-2.47,8.62
Kawhi Leonard,2020,4.41,-1.55,2.63,-2.21,5.44,-3.13,8.57
Joel Embiid,2022,2.75,-3.12,2.24,-1.56,4.52,-3.96,8.48
LeBron James,2017,3.72,-1.46,4.66,-0.11,6.9,-1.53,8.43
James Harden,2020,4.98,-1.51,2.17,-1.46,5.81,-2.56,8.36
Kevin Durant,2022,3.88,-2.05,2.52,-1.79,5.28,-3.06,8.35
Giannis Antetokounmpo,2020,3.51,-2.7,1.51,-3.39,3.66,-4.63,8.29
Chris Paul,2017,3.51,-1.5,2.62,-2.02,5.07,-3.18,8.25
LeBron James,2020,3.85,-1.48,1.97,-3.0,4.57,-3.58,8.15
Stephen Curry,2022,4.09,-1.16,2.52,-2.22,5.45,-2.64,8.1
Victor Oladipo,2018,2.74,-3.19,1.23,-2.2,3.45,-4.54,7.99
Giannis Antetokounmpo,2019,3.13,-3.64,1.88,-1.91,3.75,-4.17,7.91
Nikola Jokic,2024,4.16,-0.18,3.41,-1.47,6.37,-1.54,7.9
Rudy Gobert,2021,0.81,-3.76,2.01,-2.65,2.26,-5.56,7.82
Damian Lillard,2018,4.46,-1.23,2.16,-1.46,5.5,-2.26,7.76
Chris Paul,2018,3.65,-1.59,3.27,-0.82,5.82,-1.9,7.71
James Harden,2019,4.95,-1.53,3.16,0.47,6.83,-0.85,7.68
Kawhi Leonard,2017,4.02,-2.5,3.61,0.4,6.49,-1.08,7.57
Joel Embiid,2018,2.3,-2.87,1.83,-2.18,3.49,-4.05,7.54
Nikola Jokic,2023,3.71,-0.45,4.06,-0.54,6.44,-1.02,7.47
Kevin Durant,2019,3.55,-0.95,4.15,-0.6,6.26,-1.16,7.42
LeBron James,2021,3.76,-1.6,1.96,-1.29,5.06,-2.29,7.36
Kawhi Leonard,2021,4.13,-0.15,3.4,-0.32,6.68,-0.64,7.32
Jayson Tatum,2020,2.68,-1.65,1.97,-2.56,3.88,-3.41,7.29
Joel Embiid,2023,2.6,-1.71,2.05,-2.08,3.89,-3.4,7.29
Stephen Curry,2019,3.8,0.17,3.69,-1.74,6.11,-1.11,7.22
