Season,Age,PLAYER_ID,Name,MPG,Tier,Off,Def,RAPM,VORP_Off,VORP_Def,VORP,Poss_Off,Poss_Def,cumOff_at_age,cumDef_at_age,cumRAPM_at_age,Ref_Age,Off_at_ref,Def_at_ref,RAPM_at_ref,Off_above_curve,Def_above_curve,RAPM_above_curve
1997,34,893,Michael Jordan,37.91,35-40,6.355,-2.956,9.31,7.334,-0.375,7.709,7331,7294,0.44313336155478633,-0.8662458715623056,1.3093730969411945,27,8.821775584165191,-3.1576282345392825,11.978338701243672,5.911866638445214,-2.0897541284376944,8.000626903058805
1997,27,297,Alonzo Mourning,35.16,35-40,2.914,-5.153,8.067,3.893,-2.573,6.466,5372,5356,2.9099089457199776,-1.0678741061015882,3.9777117981848664,27,2.914,-5.153,8.067,0.0040910542800225436,-4.085125893898411,4.089288201815133
1997,31,937,Scottie Pippen,37.73,35-40,5.369,-2.631,8.001,6.349,-0.05,6.4,7239,7227,2.022558830484935,-1.0589613767694075,3.081470738882889,27,6.256350115235042,-2.6399127293321802,8.897241059301976,3.3464411695150647,-1.5720386232305923,4.919529261117111
1997,30,896,Tim Hardaway,38.76,35-40,4.676,-3.318,7.994,5.656,-0.737,6.393,7034,7014,2.378625561514222,-1.0893272673526322,3.4678940095918787,27,5.2072833842057555,-3.296546838748956,8.503817788592988,2.297374438485778,-2.228672732647368,4.526105990408121
1997,29,124,Vlade Divac,35.06,35-40,3.799,-4.075,7.874,4.779,-1.494,6.273,5452,5422,2.6465035739713945,-1.1015177351276764,3.7479557444627463,27,4.062405371748583,-4.0413563709739115,8.103756053722119,1.1524964260286055,-2.973482264872324,4.126044255537254
1997,33,252,Karl Malone,36.56,35-40,5.636,-2.023,7.659,6.616,0.558,6.058,7083,7063,1.0531033133862133,-0.9467523845549684,1.9998326284665353,27,7.492805632333765,-2.14412172154662,9.63687916971833,4.582896686613787,-1.0762476154450318,5.6591673715334645
1997,34,121,Patrick Ewing,37.01,35-40,2.717,-4.819,7.535,3.696,-2.238,5.934,6164,6124,0.44313336155478633,-0.8662458715623056,1.3093730969411945,27,5.183775584165192,-5.0206282345392825,10.203338701243672,2.273866638445214,-3.9527541284376944,6.225626903058806
1997,28,56,Gary Payton,39.2,35-40,4.498,-2.87,7.368,5.478,-0.289,5.767,7132,7118,2.824270807811019,-1.0946767648864182,3.918877870130691,27,4.5836381379089595,-2.84319734121517,7.426833928054176,1.6737291921889814,-1.775323235113582,3.449122129869309
1997,30,302,Mookie Blaylock,39.18,35-40,4.521,-2.71,7.231,5.501,-0.129,5.63,6313,6288,2.378625561514222,-1.0893272673526322,3.4678940095918787,27,5.052283384205755,-2.688546838748956,7.740817788592988,2.1423744384857777,-1.6206727326473678,3.763105990408121
1997,35,304,John Stockton,35.3,35-40,4.94,-2.13,7.07,5.92,0.451,5.469,6593,6599,-0.24817509257921733,-0.7702377719821506,0.5220758539850622,27,8.098084038299195,-2.4276363341194376,10.525635944199804,5.188175092579217,-1.3597622280178494,6.547924146014938
1997,27,363,Christian Laettner,38.22,35-40,3.871,-3.194,7.065,4.851,-0.614,5.464,6340,6336,2.9099089457199776,-1.0678741061015882,3.9777117981848664,27,3.871,-3.194,7.065,0.9610910542800224,-2.126125893898412,3.087288201815134
1997,21,708,Kevin Garnett,38.85,35-40,2.871,-4.072,6.943,3.851,-1.491,5.342,5848,5837,1.3624353375237952,-0.4267921937008008,1.7891974266902386,27,4.418473608196182,-4.713081912400788,9.131514371494628,1.5085646624762048,-3.645207806299199,5.153802573309761
1997,26,448,Bo Outlaw,26.8,25-30,2.107,-4.687,6.794,3.588,-2.592,6.18,4222,4224,2.9012974296289222,-1.020106412437197,3.9213335814382333,27,2.1156115160910556,-4.734767693664391,6.850378216746632,-0.794297429628922,-3.6668935875628033,2.8726664185617663
1997,29,371,Terry Mills,25.3,25-30,3.596,-3.023,6.619,5.077,-0.927,6.004,3818,3790,2.6465035739713945,-1.1015177351276764,3.7479557444627463,27,3.8594053717485832,-2.989356370973912,6.84875605372212,0.9494964260286056,-1.9214822648723238,2.8710442555372535
1997,34,165,Hakeem Olajuwon,36.55,35-40,4.025,-2.509,6.534,5.005,0.072,4.933,6538,6520,0.44313336155478633,-0.8662458715623056,1.3093730969411945,27,6.491775584165191,-2.7106282345392825,9.202338701243672,3.581866638445214,-1.6427541284376943,5.224626903058805
1997,34,96,Detlef Schrempf,35.93,35-40,3.109,-3.414,6.523,4.089,-0.833,4.922,5012,5011,0.44313336155478633,-0.8662458715623056,1.3093730969411945,27,5.575775584165191,-3.6156282345392827,9.191338701243671,2.6658666384452134,-2.5477541284376946,5.213626903058805
1997,25,406,Shaquille O'Neal,38.1,35-40,2.425,-3.999,6.424,3.404,-1.418,4.823,4248,4245,2.7962077594964887,-0.9502988136184151,3.7464397850793265,27,2.5387011862234887,-4.116575292483173,6.65527201310554,-0.3712077594964889,-3.048701186381585,2.677560214920674
1997,28,389,Toni Kukoc,28.26,25-30,3.256,-2.901,6.158,4.738,-0.805,5.543,3872,3869,2.824270807811019,-1.0946767648864182,3.918877870130691,27,3.3416381379089586,-2.8741973412151696,6.216833928054175,0.431729192188981,-1.8063232351135816,2.239122129869309
1997,25,358,Anfernee Hardaway,37.66,35-40,2.801,-2.913,5.714,3.78,-0.332,4.113,4555,4548,2.7962077594964887,-0.9502988136184151,3.7464397850793265,27,2.914701186223489,-3.030575292483173,5.945272013105541,0.004792240503511458,-1.9627011863815849,1.967560214920674
1997,24,185,Chris Webber,39.01,35-40,2.435,-3.264,5.699,3.415,-0.683,4.098,5526,5524,2.5922981687797546,-0.8573069154993054,3.4495441629456765,27,2.752610776940223,-3.474567190602283,6.22716763523919,-0.15729816877975455,-2.406693084500694,2.2494558370543234
1997,34,204,Jeff Hornacek,31.57,30-35,3.107,-2.568,5.674,4.994,-0.688,5.682,6153,6129,0.44313336155478633,-0.8662458715623056,1.3093730969411945,27,5.573775584165191,-2.7696282345392826,8.342338701243673,2.6638666384452137,-1.7017541284376945,4.364626903058806
1997,34,787,Charles Barkley,37.92,35-40,2.856,-2.61,5.466,3.836,-0.029,3.865,4930,4934,0.44313336155478633,-0.8662458715623056,1.3093730969411945,27,5.322775584165191,-2.8116282345392825,8.134338701243673,2.4128666384452133,-1.7437541284376943,4.156626903058806
1997,27,168,Chris Mills,39.59,35-40,2.179,-3.271,5.45,3.159,-0.69,3.849,5447,5449,2.9099089457199776,-1.0678741061015882,3.9777117981848664,27,2.179,-3.271,5.45,-0.7309089457199778,-2.2031258938984117,1.4722882018151338
1997,31,270,Horace Grant,37.22,35-40,1.923,-3.521,5.444,2.903,-0.94,3.843,4616,4615,2.022558830484935,-1.0589613767694075,3.081470738882889,27,2.8103501152350425,-3.529912729332181,6.340241059301977,-0.09955883048493508,-2.462038623230592,2.362529261117111
1997,35,17,Clyde Drexler,36.65,35-40,1.844,-3.577,5.421,2.823,-0.996,3.82,5532,5514,-0.24817509257921733,-0.7702377719821506,0.5220758539850622,27,5.002084038299195,-3.8746363341194376,8.876635944199805,2.0921750925792173,-2.8067622280178495,4.898924146014938
1997,26,72,Kenny Anderson,37.58,35-40,3.584,-1.74,5.324,4.564,0.84,3.723,6154,6136,2.9012974296289222,-1.020106412437197,3.9213335814382333,27,3.5926115160910554,-1.7877676936643911,5.380378216746633,0.6827025703710778,-0.719893587562803,1.4026664185617665
1997,24,255,Grant Hill,39.34,35-40,3.002,-2.275,5.277,3.982,0.306,3.676,5890,5855,2.5922981687797546,-0.8573069154993054,3.4495441629456765,27,3.3196107769402228,-2.485567190602283,5.80516763523919,0.40970183122024517,-1.4176930845006945,1.8274558370543237
1997,36,23,Dennis Rodman,35.44,35-40,2.258,-2.794,5.052,3.238,-0.213,3.451,4565,4571,-1.0192877689947215,-0.6592106045569139,-0.3600424105409751,27,6.187196714714699,-3.2026635015446745,9.38975420872584,3.2772877689947215,-2.134789395443086,5.412042410540975
1997,26,49,Gheorghe Muresan,25.23,25-30,0.704,-3.962,4.666,2.186,-1.866,4.052,3591,3593,2.9012974296289222,-1.020106412437197,3.9213335814382333,27,0.7126115160910553,-4.009767693664392,4.722378216746634,-2.1972974296289225,-2.941893587562803,0.7446664185617671
