Age,f_total,n,f_total_exit05,f_total_exit10,f_off,f_def
19,-4.433077404864498,34.0,-3.24801282916889,-2.905364114871122,-3.1972387058189193,-0.27283260635339296
20,-3.631709642071763,154.0,-2.60168473103964,-2.295645614451274,-2.623217816584862,-0.5001820504048728
21,-2.276667895690662,271.0,-1.529210726297407,-1.298764990849932,-1.6421787500109246,-0.874179810078935
22,-1.3155476443861718,390.0,-0.7774481115424182,-0.6195738646046481,-0.9140153734651036,-1.1071530350252612
23,-0.7081913437691719,501.0,-0.3411052666153716,-0.2608376600674556,-0.4861771193360272,-1.2866770026988472
24,-0.32622214864285404,571.0,-0.10108427951159449,-0.10237390308623207,-0.2051519381559396,-1.3876292031521344
25,-0.1260311948554831,574.0,-0.01778734919071671,-0.10267723455499178,-0.08063332623326576,-1.4633055153325252
26,-0.05706278997705224,574.0,-0.04500840630070272,-0.2144166254626314,-0.016746234323426812,-1.468403336391568
27,-0.060139139700421396,570.0,-0.12881042272227092,-0.3787122374453252,-0.05891835415577843,-1.5075153282927447
28,-0.15325768505988435,507.0,-0.2907514299514151,-0.6257675500438955,-0.15692869547633728,-1.5124209509131248
29,-0.3440160920641849,443.0,-0.5356750745613145,-0.9597555552371774,-0.34361523090461327,-1.5083414225272913
30,-0.5965176602529203,398.0,-0.8364824368817625,-1.3586488206341307,-0.5852923772765686,-1.497480954778742
31,-1.0334502657611182,326.0,-1.2830105530823321,-1.9102558396219724,-0.9985120258778766,-1.4737482192932845
32,-1.5421545098085954,257.0,-1.7883207915864905,-2.5321406972091283,-1.4616663718187024,-1.4281750488454155
33,-2.1876241182596856,207.0,-2.3991550084155917,-3.2672180924603738,-2.037866148167092,-1.358902706915439
34,-2.7150992683998147,163.0,-2.921197228112947,-3.922343326813189,-2.544800428325249,-1.3383249629482146
35,-3.406997988952631,119.0,-3.5624797548415006,-4.698738782182674,-3.163785161468502,-1.2654095992321641
36,-4.224570166643159,84.0,-4.282533369151655,-5.566848926456841,-3.883216754004346,-1.1672553810887862
37,-5.299914247670677,43.0,-5.149224034198188,-6.609439850167287,-4.77379039666403,-0.982486014806265
38,-6.184049750040118,28.0,-5.881872299450009,-7.5359312293863425,-5.52247801671405,-0.8470812572298504
39,-7.277570451351067,13.0,-6.665923143377644,-8.550220844010925,-6.402094010141222,-0.633204958957466
40,-7.691522050932829,,-7.327064515172045,-9.532823988898288,-6.733050075562632,-0.5502618610649658
