age,n_pairs,n_observed_pairs,n_exit_pairs,weight_sum,exit_weight_sum,dOff_raw,dDef_raw,dRAPM_raw,dOff,dDef,dRAPM,cumOff,cumDef,cumRAPM
19,60.0,59.0,1.0,245784.25,1688.25,1.1447572027092867,-0.46012025994342615,1.605001856302835,0.7345077560268544,-0.2244875578981258,0.9589799843010257,0.0,0.0,0.0
20,262.0,253.0,9.0,1185933.5,6376.5,1.0089642319742211,-0.3228295281733757,1.3317344085903635,0.6262868148401444,-0.19347256066428017,0.8197456599778564,0.7345077560268544,-0.2244875578981258,0.9589799843010257
21,434.0,414.0,20.0,2057134.5,14356.5,0.6113569071443796,-0.17090066534298076,0.7822625970737451,0.52121362810643,-0.1637651951573254,0.6849668874808661,1.3607945708669988,-0.417960118562406,1.7787256442788821
22,660.0,611.0,49.0,2982314.75,27443.75,0.4646727083383804,-0.13741572816886619,0.6020920825006818,0.4191925943213206,-0.13529728431128654,0.5544798740636445,1.8820081989734287,-0.5817253137197314,2.4636925317597482
23,935.0,821.0,114.0,3919462.5,52525.5,0.21708848273200732,-0.2275526731662824,0.44463747580184787,0.32013085059186025,-0.10799611916587828,0.42811903222150377,2.3012007932947496,-0.7170225980310179,3.0181724058233925
24,1007.0,875.0,132.0,4487224.5,77524.5,0.16830931709567906,0.07812888356711371,0.09016578148697486,0.22393886444467553,-0.08178476089439447,0.3057178736645269,2.62133164388661,-0.8250187171968961,3.4462914380448963
25,955.0,832.0,123.0,4474963.75,63272.75,0.06536117169664224,-0.03216799359547885,0.0975420255080279,0.13053093342374006,-0.05658237400996566,0.18710984229480818,2.8452705083312853,-0.9068034780912906,3.7520093117094233
26,884.0,796.0,88.0,4399389.25,51352.25,0.027587468249143904,-0.010199746703477043,0.03774146303376085,0.03982558476536224,-0.03230458470570699,0.07212907242805819,2.975801441755025,-0.9633858521012563,3.9391191540042314
27,850.0,755.0,95.0,4294513.75,50732.75,-0.1407080817356796,-0.02527479170371733,-0.11544429872881419,-0.04825413042363421,-0.008863858144861922,-0.03938893950192458,3.0156270265203875,-0.9956904368069632,4.01124822643229
28,777.0,679.0,98.0,3847387.5,60878.5,-0.10475832958078696,0.07485309940836479,-0.17959661595043389,-0.13378045185898368,0.013830111413069914,-0.1476067592484144,2.9673728960967534,-1.0045542949518251,3.9718592869303655
29,716.0,636.0,80.0,3481463.25,60553.25,-0.23777403107730635,0.008820011959051974,-0.24658614054018815,-0.21682083483352485,0.035870003492246096,-0.25268454210319347,2.8335924442377696,-0.9907241835387552,3.824252527681951
30,658.0,571.0,87.0,3082608.75,63625.75,-0.32661697004201395,0.022570563650025317,-0.3491170588061167,-0.29743798412560785,0.05735047267104717,-0.35477966777584674,2.616771609404245,-0.9548541800465091,3.5715679855787577
31,564.0,482.0,82.0,2514961.25,51171.25,-0.5651245366106534,0.10824215870125237,-0.6733875887749762,-0.375689994203742,0.07836775301056806,-0.4540464847152273,2.319333625278637,-0.8975037073754619,3.216788317802911
32,484.0,390.0,94.0,2059409.25,61719.25,-0.35987294888085014,0.06423651685550116,-0.42409039497613216,-0.45163059111652426,0.09901926966422685,-0.5506361632899218,1.9436436310748952,-0.8191359543648938,2.7627418330876834
33,395.0,304.0,91.0,1666830.75,59527.75,-0.5700165117244207,0.11745049909836375,-0.6874618706788317,-0.5253094699344493,0.11940326086015013,-0.6446966548903932,1.4920130399583709,-0.720116684700667,2.2121056697977615
34,310.0,233.0,77.0,1236761.25,47701.25,-0.33835877518801627,-0.011347072444257157,-0.32695680572948094,-0.596772720337526,0.13961841257246285,-0.7363727518670288,0.9667035700239216,-0.600713423840517,1.5674090149073683
35,227.0,181.0,46.0,895391.0,32009.0,-0.6442236668114822,0.24639144267699814,-0.8906694192816322,-0.6660633319235062,0.15976350732350772,-0.8258062413247663,0.36993084968639556,-0.4610950112680541,0.8310362630403395
36,177.0,125.0,52.0,634051.0,40041.0,-0.7974861170473668,0.20374157402164814,-1.0011693755707347,-0.733221770036638,0.17993708773144662,-0.9131361441921518,-0.29613248223711064,-0.30133150394454633,0.005230021715573185
37,118.0,68.0,50.0,361636.0,40669.0,-0.6969131986306673,0.2728596807286885,-0.9697391983928589,-0.7982866123659026,0.20023713467904272,-0.9984990296927154,-1.0293542522737487,-0.12139441621309971,-0.9079061224765786
38,73.0,45.0,28.0,207252.5,20005.5,-0.07676670124606466,0.11656345761812281,-0.1934422552200818,-0.8612952362070455,0.22076075936712994,-1.0820293943792352,-1.8276408646396511,0.07884271846594301,-1.906405152169294
39,40.0,22.0,18.0,97748.25,14069.25,-1.1289183821705249,0.5271431841490769,-1.6559660300823797,-0.9222845460930479,0.2416039080608931,-1.1638600942460906,-2.6889361008466968,0.29960347783307295,-2.988434546548529
40,22.0,5.0,17.0,37350.25,16138.25,-0.955750209168613,0.4382649580658765,-1.3938214536716618,-0.9812917314412176,0.2628610780603674,-1.2441228181014303,-3.6112206469397448,0.5412073858939661,-4.1522946407946195
