Season,Age,PLAYER_ID,Name,MPG,Tier,Off,Def,RAPM,VORP_Off,VORP_Def,VORP,Poss_Off,Poss_Def,Poss,Ref_Age,cumOff_at_age,cumDef_at_age,cumRAPM_at_age,Off_at_ref,Def_at_ref,RAPM_at_ref
1997,36,2,2,18.23,15-20,1.754,-1.689,3.443,3.762,-0.118,3.881,2958,2950,5908,27,-0.29613248223711064,-0.30133150394454633,0.005230021715573185,5.065759508757498,-2.383358932862417,7.449018204716716
1997,31,3,Grant Long,18.0,15-20,-1.0,-1.852,0.852,1.009,-0.281,1.29,2178,2194,4372,27,2.319333625278637,-0.8975037073754619,3.216788317802911,-0.3037065987582497,-1.9501867294315012,1.6464599086293794
1998,32,3,Grant Long,18.54,15-20,-3.096,-2.609,-0.487,-0.834,-0.761,-0.073,1328,1325,2653,27,1.9436436310748952,-0.8191359543648938,2.7627418330876834,-2.024016604554508,-2.7855544824420693,0.7615063933446065
1999,33,3,Grant Long,27.6,25-30,-2.043,-3.852,1.809,0.343,-2.372,2.715,3094,3096,6190,27,1.4920130399583709,-0.720116684700667,2.2121056697977615,-0.5193860134379835,-4.127573752106296,3.6081425566345287
2000,34,3,Grant Long,21.96,20-25,-0.788,-3.483,2.695,1.687,-1.434,3.121,1745,1772,3517,27,0.9667035700239216,-0.600713423840517,1.5674090149073683,1.260923456496466,-3.877977012966446,5.138839211524922
2001,35,3,Grant Long,22.9,20-25,-3.106,-2.282,-0.824,-0.266,-0.079,-0.188,2851,2848,5699,27,0.36993084968639556,-0.4610950112680541,0.8310362630403395,-0.46030382316600793,-2.8165954255389094,2.3562119633919507
2002,36,3,Grant Long,28.3,25-30,-4.238,-1.128,-3.111,-1.93,0.284,-2.214,3570,3598,7168,27,-0.29613248223711064,-0.30133150394454633,0.005230021715573185,-0.9262404912425023,-1.8223589328624166,0.8950182047167166
2003,37,3,Grant Long,11.94,10-15,-4.123,-1.494,-2.628,-1.125,-0.342,-0.783,962,987,1949,27,-1.0293542522737487,-0.12139441621309971,-0.9079061224765786,-0.07801872120586406,-2.368296020593864,2.2911543489088686
1997,38,7,Dan Schayes,12.02,10-15,-2.166,-1.866,-0.299,-0.145,-0.867,0.722,1163,1154,2317,27,-1.8276408646396511,0.07884271846594301,-1.906405152169294,2.6772678911600387,-2.9405331552729064,5.618653378601584
1998,39,7,Dan Schayes,17.18,15-20,-0.921,-1.206,0.286,1.341,0.642,0.699,2254,2271,4525,27,-2.6889361008466968,0.29960347783307295,-2.988434546548529,4.783563127367085,-2.501293914640036,7.2856827729808185
1999,40,7,Dan Schayes,7.57,5-10,-1.763,-1.188,-0.575,0.061,-0.696,0.757,277,274,551,27,-3.6112206469397448,0.5412073858939661,-4.1522946407946195,4.863847673460132,-2.7248978227009295,7.588542867226909
1997,35,9,9,15.96,15-20,-3.311,-1.478,-1.833,-1.303,0.093,-1.395,1134,1136,2270,27,0.36993084968639556,-0.4610950112680541,0.8310362630403395,-0.665303823166008,-2.012595425538909,1.3472119633919504
1999,29,12,Chris King,5.12,5-10,-3.937,-0.711,-3.226,-2.113,-0.219,-1.895,76,79,155,27,2.8335924442377696,-0.9907241835387552,3.824252527681951,-3.754965417717382,-0.7159662532682078,-3.039004301249661
1997,26,15,Eric Piatkowski,11.51,10-15,-0.589,-0.276,-0.313,1.432,0.723,0.709,1521,1505,3026,27,2.975801441755025,-0.9633858521012563,3.9391191540042314,-0.5491744152346376,-0.308304584705707,-0.24087092757194162
1998,27,15,Eric Piatkowski,25.98,25-30,-0.84,-0.278,-0.562,1.15,1.771,-0.621,3366,3350,6716,27,3.0156270265203875,-0.9956904368069632,4.01124822643229,-0.8399999999999999,-0.278,-0.5620000000000003
1999,28,15,Eric Piatkowski,25.31,25-30,-0.276,-0.261,-0.016,2.109,1.219,0.89,2327,2325,4652,27,2.9673728960967534,-1.0045542949518251,3.9718592869303655,-0.2277458695763661,-0.2521361418551382,0.023388939501924444
2000,29,15,Eric Piatkowski,22.82,20-25,-0.356,1.614,-1.97,2.12,3.663,-1.543,3423,3413,6836,27,2.8335924442377696,-0.9907241835387552,3.824252527681951,-0.17396541771738194,1.6090337467317921,-1.7830043012496608
2001,30,15,Eric Piatkowski,26.48,25-30,3.633,-0.272,3.906,5.765,1.391,4.374,3886,3872,7758,27,2.616771609404245,-0.9548541800465091,3.5715679855787577,4.031855417116143,-0.3128362567604541,4.345680240853532
2002,31,15,Eric Piatkowski,24.18,20-25,-0.893,-1.434,0.541,2.024,0.167,1.858,3253,3220,6473,27,2.319333625278637,-0.8975037073754619,3.216788317802911,-0.19670659875824992,-1.532186729431501,1.3354599086293795
2003,32,15,Eric Piatkowski,21.95,20-25,1.831,-1.272,3.103,4.964,0.656,4.308,2625,2600,5225,27,1.9436436310748952,-0.8191359543648938,2.7627418330876834,2.902983395445492,-1.448554482442069,4.351506393344606
2004,33,15,Eric Piatkowski,14.33,10-15,-3.204,-1.708,-1.496,-0.553,-0.62,0.066,1264,1265,2529,27,1.4920130399583709,-0.720116684700667,2.2121056697977615,-1.6803860134379836,-1.983573752106296,0.3031425566345285
2005,34,15,Eric Piatkowski,12.34,10-15,-1.064,-1.251,0.187,1.631,-0.175,1.806,1789,1785,3574,27,0.9667035700239216,-0.600713423840517,1.5674090149073683,0.9849234564964658,-1.6459770129664462,2.630839211524922
2006,35,15,Eric Piatkowski,7.87,5-10,-4.758,-2.072,-2.686,-2.341,-1.247,-1.094,509,505,1014,27,0.36993084968639556,-0.4610950112680541,0.8310362630403395,-2.112303823166008,-2.6065954255389094,0.4942119633919505
2007,36,15,Eric Piatkowski,6.62,5-10,-4.588,-0.987,-3.601,-1.869,-0.16,-1.71,141,141,282,27,-0.29613248223711064,-0.30133150394454633,0.005230021715573185,-1.2762404912425018,-1.681358932862417,0.4050182047167168
2008,37,15,Eric Piatkowski,7.04,5-10,-3.74,-1.53,-2.21,-1.413,-0.512,-0.901,225,226,451,27,-1.0293542522737487,-0.12139441621309971,-0.9079061224765786,0.30498127879413595,-2.4042960205938635,2.7091543489088687
1997,35,17,Clyde Drexler,36.65,35-40,1.844,-3.577,5.421,2.823,-0.996,3.82,5532,5514,11046,27,0.36993084968639556,-0.4610950112680541,0.8310362630403395,4.489696176833991,-4.111595425538909,8.60121196339195
1998,36,17,Clyde Drexler,35.33,35-40,3.396,-1.01,4.405,3.923,0.833,3.09,5001,5011,10012,27,-0.29613248223711064,-0.30133150394454633,0.005230021715573185,6.707759508757498,-1.7043589328624171,8.411018204716719
1997,29,21,Greg Anthony,28.61,25-30,-0.217,-1.505,1.288,1.264,0.591,0.674,3474,3475,6949,27,2.8335924442377696,-0.9907241835387552,3.824252527681951,-0.03496541771738215,-1.5099662532682079,1.4749956987503392
1998,30,21,Greg Anthony,12.76,10-15,-0.981,-0.042,-0.939,0.983,1.18,-0.196,2070,2077,4147,27,2.616771609404245,-0.9548541800465091,3.5715679855787577,-0.5821445828838572,-0.08283625676045414,-0.49931975914646776
1999,31,21,Greg Anthony,16.12,15-20,0.408,-3.466,3.874,2.675,-1.756,4.431,1903,1922,3825,27,2.319333625278637,-0.8975037073754619,3.216788317802911,1.1042934012417502,-3.5641867294315013,4.66845990862938
2000,32,21,Greg Anthony,18.92,15-20,1.846,-3.412,5.258,4.542,-1.86,6.402,3219,3235,6454,27,1.9436436310748952,-0.8191359543648938,2.7627418330876834,2.917983395445493,-3.5885544824420688,6.506506393344606
2001,33,21,Greg Anthony,14.85,10-15,-0.946,0.021,-0.966,1.804,0.916,0.888,1624,1628,3252,27,1.4920130399583709,-0.720116684700667,2.2121056697977615,0.5776139865620165,-0.2545737521062962,0.8331425566345283
2002,34,21,Greg Anthony,25.22,25-30,-1.819,-0.839,-0.981,0.489,0.573,-0.084,2858,2855,5713,27,0.9667035700239216,-0.600713423840517,1.5674090149073683,0.22992345649646595,-1.2339770129664462,1.4628392115249218
1997,30,22,Rik Smits,29.23,25-30,1.035,-0.367,1.402,2.516,1.729,0.788,2818,2797,5615,27,2.616771609404245,-0.9548541800465091,3.5715679855787577,1.4338554171161424,-0.4078362567604541,1.8416802408535324
1998,31,22,Rik Smits,28.49,25-30,2.049,-2.02,4.07,4.039,0.028,4.011,4680,4678,9358,27,2.319333625278637,-0.8975037073754619,3.216788317802911,2.7452934012417503,-2.1181867294315015,4.86445990862938
1999,32,22,Rik Smits,25.97,25-30,2.639,-0.598,3.237,5.024,0.882,4.143,2811,2792,5603,27,1.9436436310748952,-0.8191359543648938,2.7627418330876834,3.710983395445492,-0.7745544824420693,4.485506393344607
2000,33,22,Rik Smits,23.46,20-25,-3.218,-0.162,-3.055,-0.742,1.886,-2.629,4507,4510,9017,27,1.4920130399583709,-0.720116684700667,2.2121056697977615,-1.6943860134379833,-0.4375737521062961,-1.2558574433654717
1997,36,23,Dennis Rodman,35.44,35-40,2.258,-2.794,5.052,3.238,-0.213,3.451,4565,4571,9136,27,-0.29613248223711064,-0.30133150394454633,0.005230021715573185,5.569759508757498,-3.488358932862417,9.058018204716717
1998,37,23,Dennis Rodman,35.72,35-40,2.352,-0.938,3.289,2.879,0.905,1.974,6454,6481,12935,27,-1.0293542522737487,-0.12139441621309971,-0.9079061224765786,6.3969812787941365,-1.8122960205938634,8.208154348908868
1999,38,23,Dennis Rodman,28.68,25-30,-2.096,-0.378,-1.718,0.29,1.101,-0.812,1257,1250,2507,27,-1.8276408646396511,0.07884271846594301,-1.906405152169294,2.7472678911600386,-1.4525331552729064,4.1996533786015835
2000,39,23,Dennis Rodman,32.34,30-35,-2.939,-1.695,-1.243,-0.995,-0.245,-0.75,759,773,1532,27,-2.6889361008466968,0.29960347783307295,-2.988434546548529,2.765563127367084,-2.990293914640036,5.7566827729808185
1997,28,26,Luc Longley,24.96,20-25,-1.983,-2.458,0.475,0.05,-0.629,0.679,3528,3544,7072,27,2.9673728960967534,-1.0045542949518251,3.9718592869303655,-1.934745869576366,-2.4491361418551385,0.5143889395019241
1998,29,26,Luc Longley,29.42,25-30,-1.159,-2.626,1.467,0.83,-0.577,1.408,3923,3913,7836,27,2.8335924442377696,-0.9907241835387552,3.824252527681951,-0.9769654177173821,-2.630966253268208,1.6539956987503395
1999,30,26,Luc Longley,23.86,20-25,-3.101,-2.185,-0.917,-1.02,-0.788,-0.232,1837,1854,3691,27,2.616771609404245,-0.9548541800465091,3.5715679855787577,-2.7021445828838573,-2.225836256760454,-0.4773197591464675
2000,31,26,Luc Longley,19.72,15-20,-7.124,-2.776,-4.348,-4.428,-1.224,-3.204,3020,3031,6051,27,2.319333625278637,-0.8975037073754619,3.216788317802911,-6.42770659875825,-2.874186729431501,-3.5535400913706208
2001,32,26,Luc Longley,11.95,10-15,-3.751,-2.593,-1.158,-1.001,-1.697,0.696,538,542,1080,27,1.9436436310748952,-0.8191359543648938,2.7627418330876834,-2.6790166045545076,-2.7695544824420693,0.09050639334460664
1997,30,28,Doug West,28.31,25-30,-0.949,-0.859,-0.09,0.532,1.237,-0.705,3755,3761,7516,27,2.616771609404245,-0.9548541800465091,3.5715679855787577,-0.5501445828838571,-0.8998362567604541,0.34968024085353244
1998,31,28,Doug West,18.07,15-20,-4.797,-3.005,-1.792,-2.535,-1.156,-1.379,1325,1333,2658,27,2.319333625278637,-0.8975037073754619,3.216788317802911,-4.100706598758249,-3.103186729431501,-0.9975400913706207
1999,32,28,Doug West,20.95,20-25,-2.533,-1.719,-0.814,-0.452,-0.322,-0.13,554,548,1102,27,1.9436436310748952,-0.8191359543648938,2.7627418330876834,-1.4610166045545077,-1.8955544824420691,0.4345063933446065
2000,33,28,Doug West,15.36,15-20,-2.223,-3.528,1.304,0.473,-1.976,2.448,1108,1122,2230,27,1.4920130399583709,-0.720116684700667,2.2121056697977615,-0.6993860134379832,-3.8035737521062964,3.1031425566345288
2001,34,28,Doug West,11.51,10-15,-5.902,-0.969,-4.933,-3.152,-0.073,-3.079,316,325,641,27,0.9667035700239216,-0.600713423840517,1.5674090149073683,-3.8530765435035343,-1.3639770129664461,-2.489160788475078
1997,24,29,Jim McIlvaine,18.06,15-20,-1.477,-2.83,1.353,0.531,-1.26,1.791,2874,2900,5774,27,2.62133164388661,-0.8250187171968961,3.4462914380448963,-1.0827046173662225,-3.000671719610067,1.9179567883873934
1998,25,29,Jim McIlvaine,15.47,15-20,-2.433,-1.429,-1.003,-0.171,0.419,-0.59,2367,2369,4736,27,2.8452705083312853,-0.9068034780912906,3.7520093117094233,-2.2626434818108976,-1.5178869587156725,-0.7437610852771335
