Season,Age,PLAYER_ID,Name,MPG,Tier,Off,Def,RAPM,VORP_Off,VORP_Def,VORP,Poss_Off,Poss_Def
1997,34.0,893,Michael Jordan,37.91,35-40,6.355,-2.956,9.31,7.334,-0.375,7.709,7331,7294
1997,27.0,297,Alonzo Mourning,35.16,35-40,2.914,-5.153,8.067,3.893,-2.573,6.466,5372,5356
1997,31.0,937,Scottie Pippen,37.73,35-40,5.369,-2.631,8.001,6.349,-0.05,6.4,7239,7227
1997,30.0,896,Tim Hardaway,38.76,35-40,4.676,-3.318,7.994,5.656,-0.737,6.393,7034,7014
1997,29.0,124,Vlade Divac,35.06,35-40,3.799,-4.075,7.874,4.779,-1.494,6.273,5452,5422
1997,33.0,252,Karl Malone,36.56,35-40,5.636,-2.023,7.659,6.616,0.558,6.058,7083,7063
1997,34.0,121,Patrick Ewing,37.01,35-40,2.717,-4.819,7.535,3.696,-2.238,5.934,6164,6124
1997,28.0,56,Gary Payton,39.2,35-40,4.498,-2.87,7.368,5.478,-0.289,5.767,7132,7118
1997,30.0,302,Mookie Blaylock,39.18,35-40,4.521,-2.71,7.231,5.501,-0.129,5.63,6313,6288
1997,35.0,304,John Stockton,35.3,35-40,4.94,-2.13,7.07,5.92,0.451,5.469,6593,6599
1997,27.0,363,Christian Laettner,38.22,35-40,3.871,-3.194,7.065,4.851,-0.614,5.464,6340,6336
1997,21.0,708,Kevin Garnett,38.85,35-40,2.871,-4.072,6.943,3.851,-1.491,5.342,5848,5837
1997,26.0,448,Bo Outlaw,26.8,25-30,2.107,-4.687,6.794,3.588,-2.592,6.18,4222,4224
1997,29.0,371,Terry Mills,25.3,25-30,3.596,-3.023,6.619,5.077,-0.927,6.004,3818,3790
1997,34.0,165,Hakeem Olajuwon,36.55,35-40,4.025,-2.509,6.534,5.005,0.072,4.933,6538,6520
1997,34.0,96,Detlef Schrempf,35.93,35-40,3.109,-3.414,6.523,4.089,-0.833,4.922,5012,5011
1997,25.0,406,Shaquille O'Neal,38.1,35-40,2.425,-3.999,6.424,3.404,-1.418,4.823,4248,4245
