Window,Data_Type,Name,Off,Def,Rapm,Season,Possessions,Alpha
1997-98-99,Regular Season,Alonzo Mourning,3.696545271593181,-4.4336136563653,8.130158927958481,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Michael Jordan,6.55905490910949,-0.7972602358648877,7.356315144974376,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Shaquille O'Neal,4.5916271869483,-2.1220489156897204,6.71367610263802,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Kevin Garnett,3.6738759863721895,-2.9018708451247077,6.5757468314968985,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Vlade Divac,3.2841686734731748,-3.22558967057675,6.509758344049925,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Grant Hill,4.503838211480938,-1.7863838812369166,6.290222092717854,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Jeff Hornacek,4.940020189583353,-1.1918371758274733,6.131857365410826,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Rasheed Wallace,2.5429093589223326,-3.4891958182842164,6.0321051772065495,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Mookie Blaylock,3.274310399373517,-2.582424923591757,5.8567353229652745,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Detlef Schrempf,4.204760758766316,-1.3335377550523109,5.538298513818627,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Terry Mills,3.7453532532010216,-1.7182491215169002,5.463602374717922,1997-1998-1999,457650,4000
1997-98-99,Regular Season,John Stockton,4.302711286256233,-1.0341208236500572,5.3368321099062905,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Arvydas Sabonis,3.085104239258757,-2.187396410803979,5.272500650062736,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Tim Duncan,2.4374247881358517,-2.8299737477489577,5.267398535884809,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Ben Wallace,1.2404100563465854,-3.8689368321425546,5.1093468884891395,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Vince Carter,1.7418698251361535,-2.7805839880419856,4.522453813178139,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Nate McMillan,2.0746090260952332,-2.321057675476853,4.395666701572086,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Jason Kidd,3.2887464843565826,-1.065147000638261,4.353893484994844,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Toni Kukoc,1.9470269488584349,-2.382571919787336,4.329598868645771,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Scottie Pippen,3.9709792972773696,-0.3226443057177478,4.293623602995118,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Anfernee Hardaway,2.6534793140531923,-1.617402941890946,4.270882255944138,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Dikembe Mutombo,-0.8678158466225407,-5.085006980458511,4.21719113383597,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Eddie Jones,2.399494198736725,-1.8021214273042467,4.201615626040972,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Patrick Ewing,0.7681950413724078,-3.3839072848833522,4.1521023262557595,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Gheorghe Muresan,2.65653723616787,-1.4406206723548798,4.09715790852275,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Tim Hardaway,3.5455961625253267,-0.5491512731188662,4.094747435644193,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Robert Horry,1.4808126529869985,-2.5868218732552903,4.067634526242289,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Ron Harper,1.5512224408171496,-2.450820304946962,4.002042745764111,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Greg Minor,0.36395619474264906,-3.585980633921695,3.949936828664344,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Adam Keefe,1.7783046535914222,-2.141253568285531,3.9195582218769536,1997-1998-1999,457650,4000
