col_idx,key,coef,block,zero_penalty,target_penalty,target
0,2544_off,0.006734009070982289,off,3000.0,0.0,0.0
1,2544_def,-0.01289403094365099,def,3000.0,0.0,0.0
2,2738_off,0.0005562974491429913,off,3000.0,0.0,0.0
3,2738_def,0.00645664407899453,def,3000.0,0.0,0.0
4,101108_off,0.012748238376518426,off,3000.0,0.0,0.0
5,101108_def,-0.004122681816648391,def,3000.0,0.0,0.0
6,200765_off,-0.004188828358867029,off,3000.0,0.0,0.0
7,200765_def,0.0019154303108147276,def,3000.0,0.0,0.0
8,200768_off,0.0041237881819261345,off,3000.0,0.0,0.0
9,200768_def,-0.0028351862185841503,def,3000.0,0.0,0.0
10,200782_off,0.007961830059324992,off,3000.0,0.0,0.0
11,200782_def,-0.007690648063273753,def,3000.0,0.0,0.0
12,200794_off,0.00041412373711391084,off,3000.0,0.0,0.0
13,200794_def,0.0005593598292171581,def,3000.0,0.0,0.0
14,201142_off,0.018064264108433484,off,3000.0,0.0,0.0
15,201142_def,0.008585119720314456,def,3000.0,0.0,0.0
16,201143_off,0.005429996166622453,off,3000.0,0.0,0.0
17,201143_def,-0.009774439805197472,def,3000.0,0.0,0.0
18,201144_off,-0.010480000914726437,off,3000.0,0.0,0.0
19,201144_def,-0.003768193899730563,def,3000.0,0.0,0.0
20,201145_off,-0.001986754130336761,off,3000.0,0.0,0.0
21,201145_def,0.004645850183968834,def,3000.0,0.0,0.0
22,201152_off,-0.00018423873103229926,off,3000.0,0.0,0.0
23,201152_def,-0.0012505736596398905,def,3000.0,0.0,0.0
24,201566_off,0.004907301320432919,off,3000.0,0.0,0.0
25,201566_def,0.00802340841561996,def,3000.0,0.0,0.0
26,201567_off,-0.002941782349526718,off,3000.0,0.0,0.0
27,201567_def,0.002087655250024327,def,3000.0,0.0,0.0
28,201568_off,-0.004824318682927541,off,3000.0,0.0,0.0
29,201568_def,0.0005627894746742972,def,3000.0,0.0,0.0
30,201569_off,-0.004048272248445761,off,3000.0,0.0,0.0
31,201569_def,0.0081171247048645,def,3000.0,0.0,0.0
32,201572_off,-0.011804892710612764,off,3000.0,0.0,0.0
33,201572_def,0.006980776307443536,def,3000.0,0.0,0.0
34,201580_off,-0.0028672703341069083,off,3000.0,0.0,0.0
35,201580_def,3.869216549786632e-05,def,3000.0,0.0,0.0
36,201586_off,0.000271260767811747,off,3000.0,0.0,0.0
37,201586_def,0.0006687038994059903,def,3000.0,0.0,0.0
38,201587_off,-0.010035154196558226,off,3000.0,0.0,0.0
39,201587_def,0.002297552796583132,def,3000.0,0.0,0.0
40,201588_off,-0.006944365461145271,off,3000.0,0.0,0.0
41,201588_def,0.002821948399469048,def,3000.0,0.0,0.0
42,201599_off,-0.0037904341390857716,off,3000.0,0.0,0.0
43,201599_def,0.003901269143641698,def,3000.0,0.0,0.0
44,201609_off,0.004369889487787868,off,3000.0,0.0,0.0
45,201609_def,0.0014765808411716945,def,3000.0,0.0,0.0
46,201933_off,0.0018987829911844439,off,3000.0,0.0,0.0
47,201933_def,0.00127059718223167,def,3000.0,0.0,0.0
48,201935_off,0.0039522754466183325,off,3000.0,0.0,0.0
49,201935_def,0.0012503202757177755,def,3000.0,0.0,0.0
50,201937_off,-0.0037105799060540693,off,3000.0,0.0,0.0
51,201937_def,-0.001250596790219186,def,3000.0,0.0,0.0
52,201939_off,0.009413930161519184,off,3000.0,0.0,0.0
53,201939_def,-0.007363728974824907,def,3000.0,0.0,0.0
54,201942_off,-0.007967934826685511,off,3000.0,0.0,0.0
55,201942_def,-0.00125716883713292,def,3000.0,0.0,0.0
56,201950_off,0.006593247420411193,off,3000.0,0.0,0.0
57,201950_def,-0.0023241376659382754,def,3000.0,0.0,0.0
