Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Off_SE,Def_SE,RAPM_SE,Off_CI_lo,Off_CI_hi,Def_CI_lo,Def_CI_hi,RAPM_CI_lo,RAPM_CI_hi,Season
Jaime Jaquez Jr.,1631170,24.69,20-25,311,312,1.424,-6.09,7.515,-2.154,-2.476,3.578,-3.614,7.193,4.829,4.828,6.817,-8.041,10.889,-15.554,3.373,-5.846,20.875,2024-25
Gabe Vincent,1629216,21.02,20-25,122,129,-0.307,-7.787,7.481,-2.154,-2.476,1.847,-5.311,7.159,5.107,5.09,7.212,-10.316,9.703,-17.764,2.189,-6.655,21.616,2024-25
D'Angelo Russell,1626156,29.59,25-30,304,302,0.666,-6.8,7.467,-1.9,-1.756,2.566,-5.044,7.61,4.899,4.893,6.944,-8.936,10.268,-16.391,2.79,-6.143,21.076,2024-25
Aaron Gordon,203932,30.19,30-35,175,172,-0.048,-7.018,6.97,-1.731,-2.124,1.683,-4.894,6.578,5.152,5.156,7.296,-10.145,10.049,-17.124,3.088,-7.33,21.269,2024-25
Sam Hauser,1630573,21.88,20-25,164,161,0.815,-5.944,6.759,-2.154,-2.476,2.969,-3.468,6.437,5.069,5.072,7.173,-9.12,10.75,-15.885,3.996,-7.301,20.819,2024-25
Jose Alvarado,1630631,21.38,20-25,213,215,-1.292,-8.021,6.729,-2.154,-2.476,0.862,-5.545,6.407,4.91,4.911,6.942,-10.916,8.332,-17.646,1.603,-6.877,20.335,2024-25
LeBron James,2544,35.09,35-40,332,330,0.953,-5.177,6.131,-1.326,-1.425,2.28,-3.753,6.032,4.944,4.938,7.013,-8.737,10.644,-14.856,4.501,-7.615,19.877,2024-25
Taurean Prince,1627752,27.05,25-30,179,185,-1.832,-7.675,5.843,-1.9,-1.756,0.068,-5.919,5.987,4.996,4.984,7.065,-11.624,7.961,-17.443,2.093,-8.004,19.691,2024-25
Jusuf Nurkic,203994,24.73,20-25,148,152,-1.06,-6.731,5.671,-2.154,-2.476,1.094,-4.255,5.349,5.116,5.113,7.233,-11.087,8.967,-16.753,3.29,-8.506,19.848,2024-25
Tyler Herro,1629639,34.72,30-35,330,330,-2.871,-8.497,5.626,-1.731,-2.124,-1.14,-6.373,5.233,4.88,4.879,6.889,-12.435,6.693,-18.059,1.066,-7.877,19.128,2024-25
Miles McBride,1630540,22.13,20-25,82,81,-2.446,-7.714,5.268,-2.154,-2.476,-0.293,-5.238,4.946,5.224,5.226,7.39,-12.685,7.792,-17.958,2.529,-9.217,19.753,2024-25
Davion Mitchell,1630558,21.43,20-25,162,162,-3.259,-8.299,5.04,-2.154,-2.476,-1.105,-5.823,4.718,5.002,4.998,7.069,-13.062,6.545,-18.096,1.497,-8.815,18.896,2024-25
Bradley Beal,203078,32.73,30-35,214,217,-1.522,-6.355,4.833,-1.731,-2.124,0.209,-4.231,4.441,5.055,5.06,7.152,-11.429,8.385,-16.272,3.563,-9.185,18.851,2024-25
Derrick White,1628401,33.25,30-35,64,62,-1.963,-6.795,4.832,-1.731,-2.124,-0.232,-4.671,4.439,5.308,5.311,7.514,-12.368,8.441,-17.205,3.615,-9.896,19.559,2024-25
Tre Jones,1630200,24.74,20-25,135,134,-1.795,-6.411,4.616,-2.154,-2.476,0.359,-3.935,4.294,5.136,5.134,7.263,-11.862,8.272,-16.474,3.652,-9.619,18.851,2024-25
Moses Moody,1630541,20.04,20-25,98,101,-2.36,-6.763,4.403,-2.154,-2.476,-0.206,-4.287,4.081,5.161,5.156,7.295,-12.476,7.756,-16.868,3.342,-9.894,18.7,2024-25
Cason Wallace,1641717,23.79,20-25,73,74,-2.102,-6.463,4.362,-2.154,-2.476,0.052,-3.987,4.04,5.243,5.24,7.413,-12.377,8.174,-16.734,3.808,-10.167,18.89,2024-25
Cam Whitmore,1641715,17.42,15-20,135,135,-2.539,-6.854,4.315,-2.43,-2.099,-0.109,-4.755,4.645,5.122,5.122,7.245,-12.579,7.501,-16.894,3.185,-9.885,18.515,2024-25
Jamal Murray,1627750,33.97,30-35,185,184,0.147,-4.108,4.255,-1.731,-2.124,1.878,-1.985,3.863,5.107,5.112,7.232,-9.863,10.157,-14.129,5.912,-9.918,18.429,2024-25
Amen Thompson,1641708,27.59,25-30,156,157,-0.014,-4.13,4.116,-1.9,-1.756,1.886,-2.374,4.259,5.108,5.106,7.224,-10.025,9.998,-14.137,5.878,-10.044,18.275,2024-25
Franz Wagner,1630532,33.04,30-35,218,218,-1.615,-5.702,4.086,-1.731,-2.124,0.116,-3.578,3.694,5.038,5.036,7.116,-11.489,8.259,-15.572,4.169,-9.861,18.034,2024-25
Aaron Wiggins,1630598,19.3,15-20,90,91,-4.263,-8.235,3.972,-2.43,-2.099,-1.833,-6.135,4.303,5.187,5.185,7.34,-14.429,5.904,-18.398,1.928,-10.413,18.358,2024-25
Joel Embiid,203954,32.48,30-35,212,214,0.443,-3.467,3.91,-1.731,-2.124,2.174,-1.343,3.518,5.017,5.016,7.087,-9.391,10.277,-13.299,6.365,-9.981,17.801,2024-25
Torrey Craig,1628470,17.25,15-20,136,143,-2.149,-6.06,3.91,-2.43,-2.099,0.28,-3.96,4.241,5.074,5.06,7.167,-12.094,7.796,-15.977,3.858,-10.136,17.957,2024-25
Nickeil Alexander-Walker,1629638,24.35,20-25,143,143,-3.999,-7.863,3.864,-2.154,-2.476,-1.845,-5.387,3.542,5.076,5.078,7.178,-13.947,5.95,-17.816,2.09,-10.203,17.932,2024-25
