Name,Off,Def,Rapm,Season
Stephen Curry,4.31075063678907,-1.19415848309119,5.50490911988026,2018-2019-2020-2021-2022
Joel Embiid,2.13263627817604,-2.85852056609935,4.99115684427539,2018-2019-2020-2021-2022
Paul George,1.9925244903790902,-2.9434592232314998,4.93598371361059,2018-2019-2020-2021-2022
Chris Paul,2.52382711962536,-2.34037088123134,4.8641980008567,2018-2019-2020-2021-2022
Giannis Antetokounmpo,2.11257573476431,-2.68183529831156,4.794411033075869,2018-2019-2020-2021-2022
LeBron James,3.61533510678261,-1.07255744262476,4.68789254940737,2018-2019-2020-2021-2022
Jayson Tatum,2.38159799755558,-2.30203010318109,4.683628100736669,2018-2019-2020-2021-2022
Nikola Jokic,3.9951923510991403,-0.44683170423873,4.44202405533787,2018-2019-2020-2021-2022
Pascal Siakam,2.5734446534985502,-1.56026439357588,4.133709047074429,2018-2019-2020-2021-2022
Jrue Holiday,3.30603237467531,-0.80716954066033,4.11320191533564,2018-2019-2020-2021-2022
Rudy Gobert,1.1638600655773501,-2.84986385072808,4.0137239163054295,2018-2019-2020-2021-2022
Kevin Durant,3.65054680459568,-0.35822752188196,4.008774326477639,2018-2019-2020-2021-2022
Kawhi Leonard,3.18599293814286,-0.8066281856450801,3.99262112378794,2018-2019-2020-2021-2022
Jimmy Butler,2.71450775303467,-1.25595809933906,3.97046585237373,2018-2019-2020-2021-2022
Alex Caruso,0.37001832975055,-3.3400926861153297,3.71011101586588,2018-2019-2020-2021-2022
Steven Adams,3.14559018307632,-0.49081586763557,3.6364060507118907,2018-2019-2020-2021-2022
Patrick Beverley,1.7380398483112398,-1.84008499777371,3.57812484608495,2018-2019-2020-2021-2022
Damian Lillard,3.4901987468913798,-0.08209171972411,3.57229046661549,2018-2019-2020-2021-2022
Danny Green,1.97472959062108,-1.54756066217282,3.5222902527939,2018-2019-2020-2021-2022
James Harden,3.6479720035701697,0.32255881692635,3.3254131866438197,2018-2019-2020-2021-2022
Robert Covington,1.1584953022893398,-1.95347516221194,3.11197046450128,2018-2019-2020-2021-2022
Anthony Davis,1.13313629462702,-1.88068541295379,3.0138217075808096,2018-2019-2020-2021-2022
Joe Ingles,1.0616218304149299,-1.9196494590940998,2.9812712895090296,2018-2019-2020-2021-2022
Otto Porter Jr.,1.3972838200348,-1.58213709044767,2.97942091048247,2018-2019-2020-2021-2022
Clint Capela,1.845314375202,-1.07096389389882,2.91627826910082,2018-2019-2020-2021-2022
Karl-Anthony Towns,3.50498496777258,0.6320505391014299,2.87293442867115,2018-2019-2020-2021-2022
Kyle Lowry,1.59102861425056,-1.2606989331928,2.85172754744336,2018-2019-2020-2021-2022
Brook Lopez,1.23594194477168,-1.42092509160565,2.6568670363773297,2018-2019-2020-2021-2022
Fred VanVleet,1.09696072166108,-1.51169828610461,2.60865900776569,2018-2019-2020-2021-2022
Aaron Gordon,1.52589190987869,-1.05836287452124,2.58425478439993,2018-2019-2020-2021-2022
Mikal Bridges,1.51393372476914,-0.9535834208643901,2.46751714563353,2018-2019-2020-2021-2022
Jakob Poeltl,2.27146723167413,-0.19433623135917,2.4658034630333003,2018-2019-2020-2021-2022
Khris Middleton,2.0913646922364597,-0.32646886620378,2.41783355844024,2018-2019-2020-2021-2022
Jamal Murray,2.60086522989472,0.20564412657086997,2.39522110332385,2018-2019-2020-2021-2022
Bam Adebayo,0.64164036083807,-1.75229937197697,2.3939397328150402,2018-2019-2020-2021-2022
George Hill,0.83198587137255,-1.55512792785368,2.38711379922623,2018-2019-2020-2021-2022
Al Horford,0.72419094421078,-1.63868348124172,2.3628744254525,2018-2019-2020-2021-2022
Draymond Green,0.62081912890767,-1.6838347179831101,2.30465384689078,2018-2019-2020-2021-2022
Immanuel Quickley,1.08089709591968,-1.20966538681598,2.29056248273566,2018-2019-2020-2021-2022
Royce O'Neale,1.45800151570935,-0.8042946983952901,2.26229621410464,2018-2019-2020-2021-2022
Nene,0.55046493701248,-1.56851035153938,2.11897528855186,2018-2019-2020-2021-2022
Jusuf Nurkic,0.61410619354535,-1.4716397863914,2.08574597993675,2018-2019-2020-2021-2022
Jaylen Brown,0.7039686095503299,-1.34908844160384,2.05305705115417,2018-2019-2020-2021-2022
Eric Gordon,1.35757618406962,-0.69276031676456,2.05033650083418,2018-2019-2020-2021-2022
Derrick White,0.8258004338674599,-1.2082097002321,2.0340101340995598,2018-2019-2020-2021-2022
Marcus Smart,0.42022139809065995,-1.55346704025138,1.9736884383420399,2018-2019-2020-2021-2022
Patty Mills,1.37179108593222,-0.59872402462773,1.9705151105599499,2018-2019-2020-2021-2022
Seth Curry,1.98577829598344,0.040762169943740004,1.9450161260396999,2018-2019-2020-2021-2022
Dorian Finney-Smith,1.4437685495744499,-0.49742762378157995,1.9411961733560301,2018-2019-2020-2021-2022
Kemba Walker,2.36165287112706,0.44257014370619,1.9190827274208697,2018-2019-2020-2021-2022
Mike Conley,1.09473846683452,-0.7950883635822901,1.88982683041681,2018-2019-2020-2021-2022
Kyle Korver,0.57517271823297,-1.26668803402747,1.84186075226044,2018-2019-2020-2021-2022
Al-Farouq Aminu,0.25611053795473,-1.56719699404587,1.8233075320006003,2018-2019-2020-2021-2022
Donte DiVincenzo,0.95693269626609,-0.82564858530246,1.7825812815685502,2018-2019-2020-2021-2022
Tyus Jones,1.01911772696123,-0.75786816833724,1.77698589529847,2018-2019-2020-2021-2022
Montrezl Harrell,0.68769822449506,-1.07827880160915,1.76597702610421,2018-2019-2020-2021-2022
Jalen Brunson,1.37792387477754,-0.38763908816172005,1.76556296293926,2018-2019-2020-2021-2022
Thaddeus Young,0.67467640472979,-1.05000694452941,1.7246833492591997,2018-2019-2020-2021-2022
Kevon Looney,1.4847524831949102,-0.23509280425728,1.7198452874521903,2018-2019-2020-2021-2022
Kyrie Irving,2.4457370645431498,0.73409880459511,1.71163825994804,2018-2019-2020-2021-2022
Jonas Valanciunas,1.36536201933944,-0.31339988969993005,1.67876190903937,2018-2019-2020-2021-2022
Dāvis Bertāns,1.80837883940176,0.14236861849149998,1.6660102209102599,2018-2019-2020-2021-2022
Gordon Hayward,1.38991856155006,-0.23882263058604003,1.6287411921361,2018-2019-2020-2021-2022
Desmond Bane,1.36166296424674,-0.26466480507723,1.6263277693239702,2018-2019-2020-2021-2022
Devin Booker,2.70115781149074,1.0914943774252,1.6096634340655402,2018-2019-2020-2021-2022
Reggie Jackson,1.38090753791024,-0.22236241508912002,1.60326995299936,2018-2019-2020-2021-2022
Kristaps Porzingis,1.36950375903816,-0.22033864762484,1.5898424066630001,2018-2019-2020-2021-2022
Victor Oladipo,-0.22421415359587002,-1.79849600337211,1.5742818497762399,2018-2019-2020-2021-2022
P.J. Tucker,0.5310274919344801,-1.01522438652025,1.54625187845473,2018-2019-2020-2021-2022
Nemanja Bjelica,1.05031910121268,-0.46362864419245003,1.51394774540513,2018-2019-2020-2021-2022
De'Anthony Melton,0.41140554364451,-1.0990981924597,1.51050373610421,2018-2019-2020-2021-2022
Delon Wright,0.59554934391673,-0.86221347614813,1.45776282006486,2018-2019-2020-2021-2022
Luc Mbah a Moute,0.2733884451757,-1.18035759750744,1.4537460426831401,2018-2019-2020-2021-2022
