Name,Off,Def,Rapm,Season
Joel Embiid,3.2352761037863296,-4.54058800529739,7.775864109083718,2018-2019
Stephen Curry,5.46785531196289,-0.88006920017302,6.3479245121359105,2018-2019
Kyle Lowry,4.05844101398226,-1.7604515629722501,5.81889257695451,2018-2019
Jrue Holiday,3.13812592306472,-2.60066333537639,5.73878925844111,2018-2019
Jimmy Butler,2.91100268176987,-2.4356803942803,5.346683076050169,2018-2019
Otto Porter Jr.,3.18913573407529,-1.9132085179337,5.10234425200899,2018-2019
Damian Lillard,3.06275235294978,-1.8338360944326197,4.896588447382399,2018-2019
Paul George,1.9070249771460899,-2.98371057128283,4.890735548428919,2018-2019
Eric Gordon,3.08143937226411,-1.69345670042065,4.7748960726847605,2018-2019
Nikola Jokic,3.41327740129372,-1.35568914942537,4.76896655071909,2018-2019
Robert Covington,0.24849212357948,-4.41870881802352,4.667200941603,2018-2019
Giannis Antetokounmpo,1.50401250374271,-3.12295883472521,4.6269713384679205,2018-2019
Kevin Durant,4.45843442331107,-0.12983881193589,4.588273235246961,2018-2019
Al Horford,2.72523685832048,-1.79979052637496,4.5250273846954405,2018-2019
Victor Oladipo,1.22527116849327,-3.18620402206849,4.41147519056176,2018-2019
James Harden,4.77641236199655,0.40838016371907,4.36803219827748,2018-2019
Danny Green,2.5225589050204,-1.83885913435444,4.36141803937484,2018-2019
Kemba Walker,4.15559746453675,-0.14486134884676,4.30045881338351,2018-2019
Draymond Green,1.6292776958649402,-2.48112692320665,4.11040461907159,2018-2019
Chris Paul,1.6669486516238299,-2.22320297698833,3.8901516286121596,2018-2019
LeBron James,3.9536374701904102,0.08326218659542,3.8703752835949903,2018-2019
Pascal Siakam,2.31005407099104,-1.5145843479329801,3.82463841892402,2018-2019
Steven Adams,2.15407921734476,-1.59712140377156,3.75120062111632,2018-2019
Kevon Looney,2.48764744887771,-1.14459282694212,3.63224027581983,2018-2019
Ersan Ilyasova,2.00129109491381,-1.56235234235776,3.56364343727157,2018-2019
Jusuf Nurkic,1.05105102829562,-2.43243575406283,3.4834867823584497,2018-2019
Paul Millsap,1.44294211920745,-2.01384613320102,3.45678825240847,2018-2019
Seth Curry,1.29458148972483,-2.15124257836762,3.44582406809245,2018-2019
Nene,0.8875815273794699,-2.54992782711837,3.43750935449784,2018-2019
Jayson Tatum,1.16133563915369,-2.26655182642343,3.42788746557712,2018-2019
Eric Bledsoe,2.48315997362349,-0.8873425332675801,3.3705025068910697,2018-2019
Nemanja Bjelica,2.3964088050913697,-0.96034554740494,3.35675435249631,2018-2019
Brook Lopez,1.7512532435137702,-1.53449114722102,3.2857443907347905,2018-2019
Kyle Korver,1.63649404950525,-1.62390508955716,3.26039913906241,2018-2019
Kelly Olynyk,3.13671250739787,-0.09273108719894001,3.22944359459681,2018-2019
P.J. Tucker,1.23344800706021,-1.91065696490452,3.14410497196473,2018-2019
Anthony Davis,1.50115120572808,-1.6158707410034001,3.11702194673148,2018-2019
Joe Ingles,1.44748544482117,-1.6469290329455801,3.09441447776675,2018-2019
Dāvis Bertāns,2.26084106596755,-0.78505925652723,3.0459003224947803,2018-2019
Fred VanVleet,1.66217872771139,-1.35796052453912,3.02013925225051,2018-2019
Justise Winslow,0.29423066237455003,-2.51785998416213,2.81209064653668,2018-2019
Karl-Anthony Towns,3.3127057800303903,0.5189196854695101,2.7937860945608803,2018-2019
Andre Iguodala,-0.10447216869329001,-2.86647071819859,2.7619985495052997,2018-2019
George Hill,1.84311937349445,-0.8817254983192401,2.7248448718136897,2018-2019
Andre Roberson,-0.40989480090166,-3.1322787101090896,2.72238390920743,2018-2019
Rudy Gobert,0.29886291305685,-2.40931155224334,2.70817446530019,2018-2019
Derrick White,1.33392705199221,-1.29774731327392,2.63167436526613,2018-2019
Al-Farouq Aminu,2.24092677788522,-0.37018257726155,2.61110935514677,2018-2019
Ed Davis,0.06828859899934,-2.51483241798435,2.5831210169836902,2018-2019
Tyus Jones,1.02815241338797,-1.5371326089703201,2.56528502235829,2018-2019
Patrick Beverley,1.68627986431872,-0.8746234290229501,2.56090329334167,2018-2019
Kristaps Porzingis,0.93281520134402,-1.61515296441583,2.54796816575985,2018-2019
Russell Westbrook,2.50073676073474,-0.02094580276515,2.52168256349989,2018-2019
Danuel House Jr.,1.83140844630477,-0.6760538663747,2.5074623126794697,2018-2019
Aron Baynes,-0.09559934549823,-2.49403817202891,2.39843882653068,2018-2019
Lucas Nogueira,0.67869036115516,-1.6291770847205098,2.30786744587567,2018-2019
Kevin Huerter,2.37653966369732,0.10484170147995,2.27169796221737,2018-2019
Nikola Mirotic,1.52748697534032,-0.73917180002592,2.2666587753662397,2018-2019
LaMarcus Aldridge,1.1097864499309802,-1.13654895862306,2.2463354085540397,2018-2019
Mike Conley,1.48660199062401,-0.75145355250578,2.23805554312979,2018-2019
Jeremy Lamb,1.36417533005415,-0.8575985828383099,2.22177391289246,2018-2019
Luol Deng,1.6831349545843002,-0.50640176548183,2.18953672006613,2018-2019
Royce O'Neale,-0.77879600912434,-2.96745217808065,2.18865616895631,2018-2019
Raul Neto,0.94138147093263,-1.22846246434662,2.16984393527925,2018-2019
