Name,Off,Def,Rapm,Season
Dirk Nowitzki,6.370547409109741,-2.63608663486853,9.00663404397827,2011-2012
Kevin Garnett,3.00487680363356,-5.08137101874132,8.08624782237488,2011-2012
Manu Ginobili,5.63636337246927,-1.47810007890068,7.11446345136995,2011-2012
Chris Paul,4.60223508455053,-1.57546263421242,6.177697718762951,2011-2012
LeBron James,3.99822484427442,-2.1739187832613,6.1721436275357195,2011-2012
Paul Millsap,2.3284424338539003,-3.13469103616554,5.46313347001944,2011-2012
Tim Duncan,1.5771575117330998,-3.7010511709063403,5.27820868263944,2011-2012
Ekpe Udoh,1.8907971567947601,-3.3131148297937405,5.2039119865885,2011-2012
Dwyane Wade,4.73267290609983,-0.42151510292422,5.15418800902405,2011-2012
Mike Conley,4.7977902566189,-0.34513234896926,5.14292260558816,2011-2012
Dwight Howard,0.9659155629352699,-4.06807580660526,5.033991369540529,2011-2012
Steve Nash,4.64503414588048,-0.38503211439669,5.030066260277169,2011-2012
Josh Smith,1.32455209646337,-3.6265958052105502,4.95114790167392,2011-2012
Nick Collison,2.72517872209119,-1.8798829198906402,4.60506164198183,2011-2012
Stephen Curry,3.4270041490781598,-1.174090627827,4.6010947769051596,2011-2012
Luol Deng,1.0695019375144899,-3.46977399732228,4.53927593483677,2011-2012
Ryan Anderson,3.42631196185752,-0.93777628548478,4.3640882473423,2011-2012
Pau Gasol,3.02294322419762,-1.34039758772808,4.3633408119257,2011-2012
Danny Green,1.5549128479964,-2.65342164532277,4.20833449331917,2011-2012
Chris Bosh,1.95165066214221,-2.24751199937352,4.1991626615157305,2011-2012
Matt Bonner,3.7514199978144904,-0.37721478196315,4.12863477977764,2011-2012
Tony Parker,1.7369191511157098,-2.37580811792333,4.1127272690390395,2011-2012
LaMarcus Aldridge,2.3176399566195003,-1.7836991506509299,4.10133910727043,2011-2012
Nene,1.55454525349536,-2.53907992053123,4.09362517402659,2011-2012
James Harden,4.67630550867334,0.6062927336627,4.070012775010641,2011-2012
Derrick Rose,3.7287034614988097,-0.28131955087848,4.01002301237729,2011-2012
Tyson Chandler,0.3579098359321,-3.59244830204022,3.95035813797232,2011-2012
Amir Johnson,2.0412154760333703,-1.70299928679215,3.74421476282552,2011-2012
Taj Gibson,0.32356215794737003,-3.38489037502939,3.7084525329767604,2011-2012
Gerald Wallace,1.28594724241755,-2.3978658298424,3.6838130722599507,2011-2012
