Name,Off,Def,Rapm,Season
Stephen Curry,6.3204961697413795,-1.45136218763251,7.7718583573738895,2015-2016-2017-2018-2019-2020-2021-2022
Chris Paul,4.67709624543155,-2.9387645778772598,7.615860823308809,2015-2016-2017-2018-2019-2020-2021-2022
LeBron James,5.27635442612981,-1.3923271005081501,6.668681526637959,2015-2016-2017-2018-2019-2020-2021-2022
Kawhi Leonard,4.6000322991027796,-1.98015331089457,6.58018560999735,2015-2016-2017-2018-2019-2020-2021-2022
Nikola Jokic,5.1858748153506395,-0.72061328923795,5.90648810458859,2015-2016-2017-2018-2019-2020-2021-2022
Joel Embiid,2.81275944136263,-2.93993440685709,5.75269384821972,2015-2016-2017-2018-2019-2020-2021-2022
Draymond Green,1.96300758195826,-3.7551561842258803,5.71816376618414,2015-2016-2017-2018-2019-2020-2021-2022
Kevin Durant,4.98159187196201,-0.52549793075397,5.5070898027159805,2015-2016-2017-2018-2019-2020-2021-2022
Jayson Tatum,3.26332590996834,-2.13311810628183,5.39644401625017,2015-2016-2017-2018-2019-2020-2021-2022
Rudy Gobert,1.22415472878172,-4.16005783748473,5.3842125662664495,2015-2016-2017-2018-2019-2020-2021-2022
Jimmy Butler,3.06468227940965,-1.95454265365868,5.0192249330683305,2015-2016-2017-2018-2019-2020-2021-2022
Paul George,2.47596015539633,-2.54223496228671,5.01819511768304,2015-2016-2017-2018-2019-2020-2021-2022
Jrue Holiday,3.6727102155847,-1.27326530192393,4.94597551750863,2015-2016-2017-2018-2019-2020-2021-2022
Giannis Antetokounmpo,2.24433276615481,-2.5564132499488,4.80074601610361,2015-2016-2017-2018-2019-2020-2021-2022
Kyle Lowry,3.00923386313374,-1.7036814070075,4.71291527014124,2015-2016-2017-2018-2019-2020-2021-2022
James Harden,5.20207968875801,0.59471534784094,4.60736434091707,2015-2016-2017-2018-2019-2020-2021-2022
Mike Conley,2.79326721532054,-1.36413773222625,4.15740494754679,2015-2016-2017-2018-2019-2020-2021-2022
Danny Green,2.34302361069398,-1.50709112620945,3.8501147369034303,2015-2016-2017-2018-2019-2020-2021-2022
Karl-Anthony Towns,4.97055000020055,1.1422227241477199,3.82832727605283,2015-2016-2017-2018-2019-2020-2021-2022
Damian Lillard,4.49918553661943,0.6766700866654399,3.82251544995399,2015-2016-2017-2018-2019-2020-2021-2022
Steven Adams,2.71037114002604,-0.9888747064586201,3.6992458464846596,2015-2016-2017-2018-2019-2020-2021-2022
Khris Middleton,2.8746952832019597,-0.7874008182555501,3.66209610145751,2015-2016-2017-2018-2019-2020-2021-2022
Paul Millsap,1.68352730613186,-1.8909970830205802,3.5745243891524408,2015-2016-2017-2018-2019-2020-2021-2022
Kyrie Irving,4.1662778072033895,0.6630737201305901,3.5032040870728,2015-2016-2017-2018-2019-2020-2021-2022
Alex Caruso,0.39574794315816997,-3.1018980630277597,3.4976460061859296,2015-2016-2017-2018-2019-2020-2021-2022
George Hill,1.54534634053759,-1.89118621962381,3.4365325601613996,2015-2016-2017-2018-2019-2020-2021-2022
Al Horford,1.1340587639211201,-2.16036036761425,3.2944191315353697,2015-2016-2017-2018-2019-2020-2021-2022
Immanuel Quickley,1.83479756323295,-1.3955357258732,3.23033328910615,2015-2016-2017-2018-2019-2020-2021-2022
Patrick Beverley,1.5532046904200099,-1.5793869123461899,3.1325916027662,2015-2016-2017-2018-2019-2020-2021-2022
Derrick White,1.43449025835534,-1.6897863017593,3.12427656011464,2015-2016-2017-2018-2019-2020-2021-2022
JJ Redick,2.489969235414,-0.56968403488872,3.05965327030272,2015-2016-2017-2018-2019-2020-2021-2022
Otto Porter Jr.,2.07734170269323,-0.9640017401512799,3.04134344284451,2015-2016-2017-2018-2019-2020-2021-2022
