Name,Off,Def,Rapm,Season
Stephen Curry,8.23610743233948,-1.0362257111575899,9.27233314349707,2015-2016-2017-2018-2019
Chris Paul,5.20840598643363,-3.05551158707618,8.26391757350981,2015-2016-2017-2018-2019
LeBron James,6.77655096847887,-1.14650600563824,7.9230569741171095,2015-2016-2017-2018-2019
Draymond Green,2.39545265483834,-4.99084984067942,7.386302495517761,2015-2016-2017-2018-2019
Kyle Lowry,5.10144533146588,-2.2292662768841,7.330711608349979,2015-2016-2017-2018-2019
Nikola Jokic,5.01077006835083,-2.1198697771614703,7.130639845512301,2015-2016-2017-2018-2019
Joel Embiid,3.0743493828624,-3.85953431769539,6.93388370055779,2015-2016-2017-2018-2019
James Harden,6.85383023799526,0.30081533234341,6.5530149056518505,2015-2016-2017-2018-2019
Kawhi Leonard,4.3593262625475795,-2.0678341014015498,6.42716036394913,2015-2016-2017-2018-2019
Jimmy Butler,3.29056702211641,-3.05270507521666,6.343272097333069,2015-2016-2017-2018-2019
Jrue Holiday,3.25722465196853,-2.40802855146086,5.66525320342939,2015-2016-2017-2018-2019
Kevin Durant,5.08492487516668,-0.36425958390562,5.4491844590723,2015-2016-2017-2018-2019
Mike Conley,3.6784818783343995,-1.6903626147903101,5.368844493124709,2015-2016-2017-2018-2019
Russell Westbrook,5.97421556608712,0.6247070111441201,5.349508554943,2015-2016-2017-2018-2019
Rudy Gobert,0.69753039213267,-4.37131644147833,5.0688468336109995,2015-2016-2017-2018-2019
Paul George,2.2817187628057503,-2.68497732376678,4.96669608657253,2015-2016-2017-2018-2019
Khris Middleton,3.22015770379908,-1.68732548225335,4.90748318605243,2015-2016-2017-2018-2019
Paul Millsap,2.12481510566323,-2.67534748922782,4.80016259489105,2015-2016-2017-2018-2019
Jayson Tatum,2.34545769650745,-2.21826906372753,4.563726760234981,2015-2016-2017-2018-2019
Damian Lillard,4.51362128845667,-0.028187907280510002,4.54180919573718,2015-2016-2017-2018-2019
Robert Covington,0.8027149538598001,-3.6358665066786,4.4385814605384,2015-2016-2017-2018-2019
Kristaps Porzingis,1.76490355844246,-2.54710005799175,4.312003616434209,2015-2016-2017-2018-2019
Danny Green,2.44870393804087,-1.76918626138813,4.217890199429,2015-2016-2017-2018-2019
Cody Zeller,1.75988964099068,-2.42010098797816,4.17999062896884,2015-2016-2017-2018-2019
Anthony Davis,1.61615829432574,-2.5441802757765903,4.16033857010233,2015-2016-2017-2018-2019
