Name,Off,Def,Rapm,Season
LeBron James,4.23348666614066,-3.59012510568346,7.823611771824121,2010-2011-2012
Dirk Nowitzki,4.75003662250401,-2.2488422870533897,6.9988789095574,2010-2011-2012
Kevin Garnett,2.1983097562590403,-4.44163821570474,6.639947971963781,2010-2011-2012
Chris Paul,4.15025654797593,-1.6721604921486,5.82241704012453,2010-2011-2012
Manu Ginobili,4.88346666355132,-0.67991840174441,5.563385065295731,2010-2011-2012
Paul Millsap,3.23472302774875,-2.18051595098319,5.41523897873194,2010-2011-2012
Ryan Anderson,3.2629967249639096,-2.0784419293700203,5.341438654333929,2010-2011-2012
Ekpe Udoh,1.7832432929987903,-3.5286957749023697,5.31193906790116,2010-2011-2012
Steve Nash,5.02313341041293,-0.15953714387404,5.18267055428697,2010-2011-2012
Josh Smith,1.45977679787169,-3.4991791109927104,4.9589559088644,2010-2011-2012
Anderson Varejao,2.95955657834933,-1.9802064270230302,4.93976300537236,2010-2011-2012
Dwight Howard,1.44516976883446,-3.45422513726043,4.899394906094889,2010-2011-2012
Dwyane Wade,4.996310593806999,0.17524955903064002,4.82106103477636,2010-2011-2012
Andre Miller,4.0564877988000205,-0.74620288261684,4.80269068141686,2010-2011-2012
Danny Granger,2.97666668984422,-1.6522525332707199,4.62891922311494,2010-2011-2012
Matt Bonner,4.39083951534347,-0.22894126032445,4.61978077566792,2010-2011-2012
Luol Deng,1.32123845269438,-3.2324561616217697,4.55369461431615,2010-2011-2012
Tim Duncan,0.9030028942998,-3.40616492261467,4.30916781691447,2010-2011-2012
Kyle Lowry,2.16491024721366,-2.04187464449575,4.20678489170941,2010-2011-2012
Nick Collison,2.2157680406022497,-1.94316165796007,4.15892969856232,2010-2011-2012
Kevin Durant,2.99774880085867,-1.1574375046682401,4.15518630552691,2010-2011-2012
Vince Carter,1.50321358649286,-2.5635080735199898,4.066721660012849,2010-2011-2012
James Harden,3.6489269456921796,-0.24679030980039998,3.89571725549258,2010-2011-2012
Mike Conley,3.52854068566546,-0.36208795538317,3.89062864104863,2010-2011-2012
Nene,2.05381049349783,-1.65508555759602,3.7088960510938502,2010-2011-2012
Amir Johnson,1.47085761299653,-2.04811719394981,3.51897480694634,2010-2011-2012
Blake Griffin,2.6124672216889,-0.8316528459991099,3.4441200676880097,2010-2011-2012
Derrick Rose,3.1487583023647203,-0.24519430002754003,3.3939526023922606,2010-2011-2012
LaMarcus Aldridge,1.7838240622392798,-1.5666849249310302,3.35050898717031,2010-2011-2012
Paul Pierce,1.25633859691503,-2.0740826705029,3.3304212674179303,2010-2011-2012
Pau Gasol,3.071038929477,-0.18132056864088,3.25235949811788,2010-2011-2012
Tony Parker,1.43645610783453,-1.7970111529783301,3.23346726081286,2010-2011-2012
Chris Bosh,2.25276749333533,-0.9797996894977,3.23256718283303,2010-2011-2012
Marc Gasol,0.90812155960706,-2.23621537662636,3.14433693623342,2010-2011-2012
Zach Randolph,3.52313290891463,0.4333898996922,3.0897430092224303,2010-2011-2012
Paul George,0.79943256347009,-2.2645125451555,3.0639451086255898,2010-2011-2012
Mike Dunleavy,1.3278709841882,-1.69362011865074,3.0214911028389397,2010-2011-2012
Derek Fisher,2.0250883648372997,-0.88900369274247,2.91409205757977,2010-2011-2012
Chris Andersen,1.02571655706482,-1.8782191992458401,2.9039357563106596,2010-2011-2012
Ömer Aşik,0.10236065153377001,-2.79422517667607,2.8965858282098402,2010-2011-2012
Al Horford,2.8146061349636797,-0.038913908050579996,2.8535200430142598,2010-2011-2012
Kyle Korver,1.86277580558701,-0.98005292031678,2.8428287259037903,2010-2011-2012
JR Smith,2.93286449069867,0.13109488012565002,2.80176961057302,2010-2011-2012
Rodney Stuckey,3.0167024730042997,0.22770397948339,2.78899849352091,2010-2011-2012
Caron Butler,1.67506557431708,-0.9537136900893599,2.6287792644064396,2010-2011-2012
Jason Kidd,1.18087242719507,-1.3998757449119,2.58074817210697,2010-2011-2012
Landry Fields,1.05944156995338,-1.5166200580501399,2.57606162800352,2010-2011-2012
Ray Allen,2.46940199852612,-0.06769984985404999,2.53710184838017,2010-2011-2012
Thaddeus Young,1.65734295148006,-0.87280396354329,2.5301469150233498,2010-2011-2012
Joe Johnson,3.09531679058177,0.58742228464611,2.50789450593566,2010-2011-2012
Shaquille O'Neal,1.8999757362102399,-0.59301903229254,2.49299476850278,2010-2011-2012
Jodie Meeks,1.1928147731539,-1.28589407813218,2.47870885128608,2010-2011-2012
Tyson Chandler,-0.47319094660274996,-2.95092711525725,2.4777361686545,2010-2011-2012
Ty Lawson,2.2939673449847797,-0.18218058334506,2.4761479283298398,2010-2011-2012
Raymond Felton,2.0592909456452198,-0.39104708493107,2.45033803057629,2010-2011-2012
Jason Richardson,2.0921875399177,-0.34214347677491,2.43433101669261,2010-2011-2012
Stephen Curry,2.69160673232622,0.27691966565515996,2.41468706667106,2010-2011-2012
Thabo Sefolosha,-0.08618168083095,-2.42326828626884,2.33708660543789,2010-2011-2012
Channing Frye,3.33756817179197,1.00485015338036,2.33271801841161,2010-2011-2012
Ersan Ilyasova,1.96319835049568,-0.35698008167897,2.32017843217465,2010-2011-2012
John Lucas III,0.50347869823239,-1.7924801874757998,2.2959588857081896,2010-2011-2012
Taj Gibson,-0.5117416926259,-2.7975051655644503,2.2857634729385503,2010-2011-2012
Chase Budinger,1.8184969009075398,-0.4530448795941,2.27154178050164,2010-2011-2012
Kyrylo Fesenko,0.3734249051068,-1.8859543841614101,2.25937928926821,2010-2011-2012
Gerald Wallace,0.0790983541439,-2.16170196777952,2.24080032192342,2010-2011-2012
Baron Davis,2.5556207019501302,0.42271439219954005,2.1329063097505903,2010-2011-2012
Metta World Peace,0.25260243977095,-1.8686406577766101,2.12124309754756,2010-2011-2012
Kevin Love,2.54147108236833,0.44429319657349997,2.0971778857948298,2010-2011-2012
CJ Miles,1.24758589924927,-0.82948507140428,2.0770709706535504,2010-2011-2012
Jared Dudley,1.34258655124315,-0.72862459556849,2.07121114681164,2010-2011-2012
Matt Barnes,1.83642407225505,-0.2291533932068,2.06557746546185,2010-2011-2012
Kobe Bryant,2.08901383796427,0.02568064515398,2.0633331928102896,2010-2011-2012
Danny Green,0.12444729399719,-1.92233478236214,2.04678207635933,2010-2011-2012
Anthony Tolliver,1.8956893091246998,-0.13951212450265998,2.0352014336273596,2010-2011-2012
Chauncey Billups,2.73490273720721,0.72890504898789,2.00599768821932,2010-2011-2012
Tony Allen,-1.03281667190338,-3.00506574006746,1.97224906816408,2010-2011-2012
Andrew Bynum,0.13762434786532002,-1.8253462641787601,1.96297061204408,2010-2011-2012
Shane Battier,1.28999172532796,-0.6706601758102201,1.96065190113818,2010-2011-2012
Jeff Foster,0.6844459392160299,-1.2270758017024401,1.91152174091847,2010-2011-2012
Josh Harrellson,-0.46671007931977,-2.37291944608116,1.90620936676139,2010-2011-2012
Luc Mbah a Moute,-0.39992079978253997,-2.2307812036656003,1.83086040388306,2010-2011-2012
Elton Brand,1.18222362333634,-0.64576800620828,1.82799162954462,2010-2011-2012
Jameer Nelson,1.9165886205330902,0.09282344700803999,1.82376517352505,2010-2011-2012
Antonio McDyess,0.64459252282055,-1.17708081446193,1.82167333728248,2010-2011-2012
Ronnie Brewer,-0.79694850635485,-2.4971744165912297,1.7002259102363797,2010-2011-2012
Russell Westbrook,2.59210496651688,0.90502794508793,1.6870770214289499,2010-2011-2012
Beno Udrih,1.3392483353409699,-0.34366851644367,1.68291685178464,2010-2011-2012
George Hill,1.1153879826291,-0.56218013348968,1.6775681161187799,2010-2011-2012
Eric Maynor,0.34860093224245,-1.32006819961835,1.6686691318608,2010-2011-2012
Vladimir Radmanovic,0.3864442388671,-1.27304221075186,1.65948644961896,2010-2011-2012
Jrue Holiday,1.35118826600792,-0.28667659843838,1.6378648644462999,2010-2011-2012
Chuck Hayes,1.9714917428514798,0.35339934017702,1.6180924026744599,2010-2011-2012
Quincy Pondexter,-0.6333168666379699,-2.24781236034627,1.6144954937082998,2010-2011-2012
Lamar Odom,1.31454300054323,-0.25551302500622997,1.57005602554946,2010-2011-2012
Brandon Roy,2.4878412850103,0.94641227150325,1.54142901350705,2010-2011-2012
Jason Williams,2.40249544224563,0.86569341919496,1.53680202305067,2010-2011-2012
Brandon Bass,-0.93060987306522,-2.45439994028147,1.5237900672162499,2010-2011-2012
Kenyon Martin,-0.2980070690492,-1.81206448672361,1.5140574176744102,2010-2011-2012
Rajon Rondo,0.8075168668207001,-0.68620277067185,1.49371963749255,2010-2011-2012
Deron Williams,3.13823851859836,1.6532788396498102,1.4849596789485502,2010-2011-2012
Daequan Cook,-0.029271331488370002,-1.49946067098788,1.47018933949951,2010-2011-2012
Andre Iguodala,-0.47962590615627,-1.9329787987692,1.4533528926129298,2010-2011-2012
Othyus Jeffers,1.48576193873129,0.08459717348606001,1.40116476524523,2010-2011-2012
Jamaal Magloire,0.2847773742971,-1.0687637438642599,1.35354111816136,2010-2011-2012
Chandler Parsons,0.1654058635176,-1.17377001308001,1.33917587659761,2010-2011-2012
Lavoy Allen,-0.45222992064471,-1.78386317109505,1.33163325045034,2010-2011-2012
Dorell Wright,0.56310559875445,-0.72897096400165,1.2920765627561,2010-2011-2012
Zydrunas Ilgauskas,1.4719068762858,0.18276379351885,1.28914308276695,2010-2011-2012
Isaiah Thomas,1.9267015046514,0.66467768828119,1.26202381637021,2010-2011-2012
Danilo Gallinari,0.96385261714551,-0.26540394458767996,1.2292565617331899,2010-2011-2012
