Name,Off,Def,Rapm,Season
LeBron James,6.758332261970169,-2.5012173943246,9.25954965629477,2012-2013-2014-2015-2016
Chris Paul,5.4674369902184,-2.62410636064036,8.09154335085876,2012-2013-2014-2015-2016
Stephen Curry,6.710649720354129,-0.8317700325512499,7.54241975290538,2012-2013-2014-2015-2016
Kevin Durant,5.27873135310091,-1.38770027719587,6.66643163029678,2012-2013-2014-2015-2016
Draymond Green,2.63916196257857,-3.99692905952928,6.63609102210785,2012-2013-2014-2015-2016
Andre Iguodala,2.60197708598467,-3.92008089328425,6.5220579792689195,2012-2013-2014-2015-2016
Patty Mills,2.29576466902406,-3.2700196367424397,5.5657843057665,2012-2013-2014-2015-2016
Kyle Lowry,3.96287907869623,-1.4435334144531802,5.40641249314941,2012-2013-2014-2015-2016
Kawhi Leonard,2.10933184509752,-3.2936455956280897,5.40297744072561,2012-2013-2014-2015-2016
Kyle Korver,3.45355067742641,-1.94436065616037,5.39791133358678,2012-2013-2014-2015-2016
Manu Ginobili,2.86825490467125,-2.34175126809679,5.210006172768041,2012-2013-2014-2015-2016
Paul George,1.40445466768667,-3.71884524270282,5.12329991038949,2012-2013-2014-2015-2016
Khris Middleton,3.16083821545883,-1.89490414689308,5.05574236235191,2012-2013-2014-2015-2016
Ricky Rubio,2.83813490192468,-2.14529284759012,4.9834277495148,2012-2013-2014-2015-2016
Russell Westbrook,4.94739775445226,0.08023108553729,4.867166668914971,2012-2013-2014-2015-2016
Klay Thompson,4.28043762072482,-0.38143129868908,4.6618689194139,2012-2013-2014-2015-2016
Dirk Nowitzki,3.71000441980876,-0.80333247829155,4.5133368981003095,2012-2013-2014-2015-2016
James Harden,5.18886948904075,0.72217147133459,4.466698017706159,2012-2013-2014-2015-2016
Kevin Love,3.1095864597146803,-1.3511881069688698,4.46077456668355,2012-2013-2014-2015-2016
Eric Bledsoe,0.96915511629983,-3.44874702494778,4.41790214124761,2012-2013-2014-2015-2016
Kentavious Caldwell-Pope,2.06122238904324,-2.25193252802522,4.313154917068459,2012-2013-2014-2015-2016
DeAndre Jordan,4.144908357808999,0.018992088343489998,4.12591626946551,2012-2013-2014-2015-2016
Damian Lillard,5.05182101351693,1.07686650670225,3.97495450681468,2012-2013-2014-2015-2016
Mike Conley,2.69875025951838,-1.25855844017649,3.95730869969487,2012-2013-2014-2015-2016
Carmelo Anthony,4.581904883518121,0.74573469929999,3.83617018421813,2012-2013-2014-2015-2016
George Hill,2.47032673784974,-1.34536793538169,3.8156946732314303,2012-2013-2014-2015-2016
Tony Allen,0.54770073589963,-3.24876940864589,3.79647014454552,2012-2013-2014-2015-2016
Joe Johnson,3.92441038929503,0.15271159834894,3.77169879094609,2012-2013-2014-2015-2016
Danny Green,1.23250112985583,-2.53716836213234,3.76966949198817,2012-2013-2014-2015-2016
Tim Duncan,1.7416035926897802,-1.90613989986357,3.64774349255335,2012-2013-2014-2015-2016
Patrick Beverley,2.67146581229164,-0.91242209997912,3.5838879122707596,2012-2013-2014-2015-2016
Tiago Splitter,1.4914173814654401,-2.04865700198238,3.54007438344782,2012-2013-2014-2015-2016
CJ McCollum,2.0021731872300297,-1.50339100531435,3.5055641925443797,2012-2013-2014-2015-2016
Iman Shumpert,1.02152393379639,-2.48141679645125,3.50294073024764,2012-2013-2014-2015-2016
John Wall,2.96709218860947,-0.5284008540166,3.4954930426260704,2012-2013-2014-2015-2016
Jae Crowder,1.8339966678107702,-1.6590188942731,3.4930155620838703,2012-2013-2014-2015-2016
Patrick Patterson,2.9036144301148,-0.54830344881562,3.4519178789304195,2012-2013-2014-2015-2016
LaMarcus Aldridge,1.6159505261607698,-1.66555348265084,3.28150400881161,2012-2013-2014-2015-2016
Jrue Holiday,1.20320267084928,-2.0115804066524,3.2147830775016804,2012-2013-2014-2015-2016
JJ Redick,2.45285165674661,-0.75475080679357,3.2076024635401796,2012-2013-2014-2015-2016
Mike Dunleavy,1.85198014101952,-1.32628955625034,3.1782696972698603,2012-2013-2014-2015-2016
David West,1.3826938468564,-1.73608108124985,3.1187749281062502,2012-2013-2014-2015-2016
Danilo Gallinari,1.72596815566383,-1.3452766219571,3.0712447776209304,2012-2013-2014-2015-2016
Dwight Howard,1.1464832316520301,-1.92434803895304,3.07083127060507,2012-2013-2014-2015-2016
Monta Ellis,2.95900381016686,-0.10383412760602,3.06283793777288,2012-2013-2014-2015-2016
Andre Roberson,0.8986097327066299,-2.14812351404341,3.04673324675004,2012-2013-2014-2015-2016
Channing Frye,3.30505318456294,0.29262887724259,3.0124243073203503,2012-2013-2014-2015-2016
Gordon Hayward,2.6884327227283698,-0.3230307992208,3.01146352194917,2012-2013-2014-2015-2016
Matthew Dellavedova,0.67607153925558,-2.30852637103136,2.98459791028694,2012-2013-2014-2015-2016
Cody Zeller,1.37249380021334,-1.5997174107628302,2.97221121097617,2012-2013-2014-2015-2016
Nick Collison,1.39661303803009,-1.5694313556244,2.96604439365449,2012-2013-2014-2015-2016
Luol Deng,1.57950230404892,-1.38078585855445,2.96028816260337,2012-2013-2014-2015-2016
Kevin Garnett,-1.11663363725177,-4.06136746694974,2.9447338296979697,2012-2013-2014-2015-2016
Jason Kidd,0.8307434597026699,-2.10071106771606,2.93145452741873,2012-2013-2014-2015-2016
Amir Johnson,1.2700365086329701,-1.64683636175391,2.91687287038688,2012-2013-2014-2015-2016
Serge Ibaka,1.91606509780022,-0.94999491171186,2.86606000951208,2012-2013-2014-2015-2016
Michael Kidd-Gilchrist,0.38950209572907,-2.44462441240005,2.83412650812912,2012-2013-2014-2015-2016
Matt Bonner,2.54152334869061,-0.23741792425215,2.77894127294276,2012-2013-2014-2015-2016
Vince Carter,1.36333171335641,-1.4012644475536602,2.76459616091007,2012-2013-2014-2015-2016
Paul Millsap,2.68720791549917,-0.05256468730317,2.73977260280234,2012-2013-2014-2015-2016
Al Horford,1.19642015668443,-1.52833058592071,2.72475074260514,2012-2013-2014-2015-2016
Chris Bosh,1.331506468522,-1.35987803938454,2.6913845079065397,2012-2013-2014-2015-2016
Thabo Sefolosha,-1.07344831553174,-3.75558473905381,2.6821364235220697,2012-2013-2014-2015-2016
Nikola Jokic,1.3018267641071901,-1.37607411220218,2.67790087630937,2012-2013-2014-2015-2016
DeMarcus Cousins,0.9341610828133401,-1.7173813423618698,2.65154242517521,2012-2013-2014-2015-2016
Robert Covington,1.61031179473324,-1.02914696994655,2.63945876467979,2012-2013-2014-2015-2016
Marcin Gortat,1.07560762514218,-1.56213939368705,2.63774701882923,2012-2013-2014-2015-2016
Avery Bradley,1.74464813511081,-0.87210082496745,2.61674896007826,2012-2013-2014-2015-2016
Cory Joseph,0.27253295003411,-2.3220938538006797,2.5946268038347897,2012-2013-2014-2015-2016
Shane Battier,1.8151930789799,-0.7742277296341901,2.58942080861409,2012-2013-2014-2015-2016
Rodney Hood,2.07303927414998,-0.5082223224488,2.58126159659878,2012-2013-2014-2015-2016
Nikola Pekovic,2.081501052576,-0.49598438831318,2.57748544088918,2012-2013-2014-2015-2016
Goran Dragic,2.49512511358538,-0.04066310542582,2.5357882190112,2012-2013-2014-2015-2016
Kenyon Martin,0.24420116599390002,-2.29140107330177,2.5356022392956703,2012-2013-2014-2015-2016
Joakim Noah,0.33501436765451004,-2.1802643879306998,2.51527875558521,2012-2013-2014-2015-2016
DeMarre Carroll,1.36768609954595,-1.14599899232173,2.51368509186768,2012-2013-2014-2015-2016
Isaiah Thomas,3.480165274478,1.00035301700212,2.4798122574758796,2012-2013-2014-2015-2016
Reggie Jackson,1.3030877338831501,-1.15583023062867,2.45891796451182,2012-2013-2014-2015-2016
Andre Miller,2.69553906211386,0.3181146625301,2.37742439958376,2012-2013-2014-2015-2016
Al-Farouq Aminu,1.2835597153089902,-1.0836241705071499,2.36718388581614,2012-2013-2014-2015-2016
Chandler Parsons,1.99876335303738,-0.3511842754822,2.34994762851958,2012-2013-2014-2015-2016
Jeremy Lamb,-0.20648752335652998,-2.5558698796291903,2.34938235627266,2012-2013-2014-2015-2016
