Name,Off,Def,Rapm,Season
LeBron James,5.1244275383494,-3.66365152980415,8.78807906815355,2009-2010-2011-2012-2013
Chris Paul,5.27261220033884,-1.7121656092196,6.98477780955844,2009-2010-2011-2012-2013
Kevin Garnett,0.29978645749083,-5.8764798356074195,6.17626629309825,2009-2010-2011-2012-2013
Dirk Nowitzki,3.88403478009869,-1.7958459869279801,5.6798807670266696,2009-2010-2011-2012-2013
Paul Millsap,3.39898772573599,-2.13799885175905,5.53698657749504,2009-2010-2011-2012-2013
Amir Johnson,2.69452853199783,-2.8235949484629397,5.51812348046077,2009-2010-2011-2012-2013
Dwyane Wade,5.19264585482629,0.24830767924336,4.9443381755829305,2009-2010-2011-2012-2013
Matt Bonner,3.7939687518603797,-1.06405424924827,4.858023001108649,2009-2010-2011-2012-2013
Vince Carter,2.77537682686496,-2.06036297824751,4.835739805112469,2009-2010-2011-2012-2013
Ömer Aşik,1.88344443283117,-2.9170854438838703,4.80052987671504,2009-2010-2011-2012-2013
Mike Conley,3.3369944892886796,-1.3640653955492001,4.70105988483788,2009-2010-2011-2012-2013
Paul Pierce,2.64233209366255,-2.03398462510096,4.67631671876351,2009-2010-2011-2012-2013
LaMarcus Aldridge,2.77890624798882,-1.83649377603913,4.61540002402795,2009-2010-2011-2012-2013
Joe Johnson,4.387455256558661,-0.22493010415756,4.61238536071622,2009-2010-2011-2012-2013
Lamar Odom,1.67750490558447,-2.85005129558058,4.5275562011650505,2009-2010-2011-2012-2013
Anderson Varejao,2.67729455714618,-1.8039603749507902,4.48125493209697,2009-2010-2011-2012-2013
Nene,1.7424618485771,-2.69134988826903,4.43381173684613,2009-2010-2011-2012-2013
Steve Nash,4.80514988576624,0.52280813532036,4.282341750445879,2009-2010-2011-2012-2013
Derek Fisher,2.9867623484400903,-1.2473315119333601,4.23409386037345,2009-2010-2011-2012-2013
Manu Ginobili,3.5985191765492,-0.62608930486614,4.22460848141534,2009-2010-2011-2012-2013
Andre Iguodala,1.17888890120733,-3.01890317101783,4.19779207222516,2009-2010-2011-2012-2013
Tim Duncan,1.19476375654197,-2.9245879880186303,4.1193517445606,2009-2010-2011-2012-2013
Nick Collison,1.85589922540748,-2.2080459464998903,4.06394517190737,2009-2010-2011-2012-2013
Danny Granger,3.4774959940086303,-0.44203855979988005,3.9195345538085102,2009-2010-2011-2012-2013
Tony Parker,2.36490556245784,-1.53475325669859,3.8996588191564303,2009-2010-2011-2012-2013
Yao Ming,2.12296498084413,-1.76388454355833,3.8868495244024595,2009-2010-2011-2012-2013
Kyle Lowry,1.93148025130354,-1.79035869875061,3.72183895005415,2009-2010-2011-2012-2013
Brandon Roy,4.23043268543631,0.51943465995869,3.71099802547762,2009-2010-2011-2012-2013
Andrew Bogut,-0.57102145534183,-4.207247040975861,3.63622558563403,2009-2010-2011-2012-2013
Paul George,0.19661047592116002,-3.4255299738518,3.62214044977296,2009-2010-2011-2012-2013
Andre Miller,3.15469862417461,-0.44477990860114,3.59947853277575,2009-2010-2011-2012-2013
Jameer Nelson,2.91104481861214,-0.65274112427742,3.56378594288956,2009-2010-2011-2012-2013
Thabo Sefolosha,0.69535023811129,-2.86720247801401,3.5625527161253,2009-2010-2011-2012-2013
Josh Smith,0.71075477857363,-2.84046540396182,3.55122018253545,2009-2010-2011-2012-2013
Pablo Prigioni,2.5093836761477797,-0.95218489724045,3.4615685733882295,2009-2010-2011-2012-2013
Ekpe Udoh,0.37945864972179,-3.02926337669844,3.40872202642023,2009-2010-2011-2012-2013
Dwight Howard,-0.016461283259899998,-3.40593969184189,3.3894784085819905,2009-2010-2011-2012-2013
Jason Kidd,2.00492095765147,-1.35385544664424,3.3587764042957104,2009-2010-2011-2012-2013
George Hill,1.78667164205895,-1.5262552308463602,3.31292687290531,2009-2010-2011-2012-2013
Blake Griffin,2.36656024615406,-0.9399839303613899,3.3065441765154495,2009-2010-2011-2012-2013
Luol Deng,0.041085130263049996,-3.22152320794291,3.26260833820596,2009-2010-2011-2012-2013
Tiago Splitter,1.1564823732075,-2.06193283935028,3.21841521255778,2009-2010-2011-2012-2013
DeMarre Carroll,1.47826590663018,-1.73012441830215,3.20839032493233,2009-2010-2011-2012-2013
James Harden,3.95850052716245,0.77105681628449,3.18744371087796,2009-2010-2011-2012-2013
Stephen Curry,2.82592834649114,-0.25051495147244,3.0764432979635803,2009-2010-2011-2012-2013
Pau Gasol,2.44438695045403,-0.62175675490526,3.06614370535929,2009-2010-2011-2012-2013
Tyson Chandler,0.42197911081551,-2.54883374242597,2.97081285324148,2009-2010-2011-2012-2013
Kevin Durant,2.64750574151362,-0.32037170769071,2.96787744920433,2009-2010-2011-2012-2013
Marc Gasol,0.55720779504428,-2.41059031079356,2.96779810583784,2009-2010-2011-2012-2013
Kyle Korver,1.56263650971756,-1.3953110361707899,2.95794754588835,2009-2010-2011-2012-2013
Thaddeus Young,1.7938069814715099,-1.1618053213886899,2.9556123028602,2009-2010-2011-2012-2013
Danilo Gallinari,2.03156179410004,-0.86456109223345,2.8961228863334902,2009-2010-2011-2012-2013
JR Smith,2.54950037102203,-0.3055708564786,2.85507122750063,2009-2010-2011-2012-2013
Taj Gibson,-0.27447048806362,-3.1119012983305603,2.83743081026694,2009-2010-2011-2012-2013
Derrick Rose,4.02477874520989,1.20720971497682,2.81756903023307,2009-2010-2011-2012-2013
Jeff Foster,1.41710816137122,-1.35396755768353,2.7710757190547497,2009-2010-2011-2012-2013
Mike Dunleavy,1.27275218301989,-1.41492629477406,2.6876784777939497,2009-2010-2011-2012-2013
Metta World Peace,0.14937031524418998,-2.49925125826412,2.64862157350831,2009-2010-2011-2012-2013
Luc Mbah a Moute,-0.40978433115219,-3.05715447282426,2.64737014167207,2009-2010-2011-2012-2013
Hedo Turkoglu,2.46217629708195,-0.16458232099938,2.6267586180813303,2009-2010-2011-2012-2013
Zydrunas Ilgauskas,2.0173397012003402,-0.59895636844098,2.61629606964132,2009-2010-2011-2012-2013
Caron Butler,2.27532772572938,-0.34044005454317,2.61576778027255,2009-2010-2011-2012-2013
Chris Andersen,0.87086403808025,-1.7392960938745001,2.6101601319547503,2009-2010-2011-2012-2013
Kendrick Perkins,0.8330197619221,-1.76175308053085,2.59477284245295,2009-2010-2011-2012-2013
Shane Battier,1.7038908310901502,-0.88423286620155,2.5881236972917,2009-2010-2011-2012-2013
Tony Allen,-1.5069679677475099,-4.09308869728494,2.5861207295374298,2009-2010-2011-2012-2013
Gerald Wallace,-0.44784279605265,-3.0325596864535598,2.58471689040091,2009-2010-2011-2012-2013
Ryan Anderson,2.74194598864815,0.17005174318597,2.57189424546218,2009-2010-2011-2012-2013
Ersan Ilyasova,2.545683782377,-0.0014426138338725111,2.5471263962108726,2009-2010-2011-2012-2013
Chase Budinger,1.6215413889411001,-0.86736561280125,2.48890700174235,2009-2010-2011-2012-2013
Kyrylo Fesenko,0.54475246832525,-1.86599728777792,2.41074975610317,2009-2010-2011-2012-2013
Al Horford,2.47515445352489,0.09571046890783,2.37944398461706,2009-2010-2011-2012-2013
Joakim Noah,0.24348760465274,-2.08425900135882,2.32774660601156,2009-2010-2011-2012-2013
Raymond Felton,2.99653827932547,0.67308012649579,2.32345815282968,2009-2010-2011-2012-2013
Brandan Wright,0.9940091446630901,-1.3053931430322498,2.29940228769534,2009-2010-2011-2012-2013
Ty Lawson,2.5345930047964997,0.29997464516156,2.23461835963494,2009-2010-2011-2012-2013
Shaquille O'Neal,2.68445158746846,0.47954097141966,2.2049106160487995,2009-2010-2011-2012-2013
Ricky Rubio,0.17140806517286,-2.01237751092448,2.1837855760973404,2009-2010-2011-2012-2013
Jared Dudley,0.99708221256356,-1.1852806947583099,2.18236290732187,2009-2010-2011-2012-2013
Carmelo Anthony,3.5702830584864396,1.39617079417161,2.17411226431483,2009-2010-2011-2012-2013
Chris Bosh,2.10290775216723,-0.06254932584514,2.16545707801237,2009-2010-2011-2012-2013
Andrew Bynum,-0.12783447032416,-2.2785174363394702,2.15068296601531,2009-2010-2011-2012-2013
Jamaal Magloire,0.52599071708699,-1.61803381491465,2.14402453200164,2009-2010-2011-2012-2013
Zach Randolph,2.1439000115706803,0.0140121932841,2.1298878182865804,2009-2010-2011-2012-2013
Danny Green,0.52956160407662,-1.59295992224661,2.1225215263232298,2009-2010-2011-2012-2013
Deron Williams,3.7141918258498303,1.6267265589521198,2.0874652668977105,2009-2010-2011-2012-2013
Reggie Jackson,-0.3494501826867,-2.37763749410033,2.02818731141363,2009-2010-2011-2012-2013
Lance Stephenson,1.57674575340493,-0.45041597281594,2.0271617262208697,2009-2010-2011-2012-2013
Roy Hibbert,0.5078934011088599,-1.5033459898047699,2.01123939091363,2009-2010-2011-2012-2013
Damian Lillard,2.19153973266803,0.21928846916004002,1.9722512635079898,2009-2010-2011-2012-2013
Baron Davis,2.1648217504378,0.25048342578972,1.9143383246480798,2009-2010-2011-2012-2013
Russell Westbrook,2.40819278678258,0.51905449375479,1.8891382930277902,2009-2010-2011-2012-2013
Ben Wallace,-0.6700242763213601,-2.5469027183307302,1.87687844200937,2009-2010-2011-2012-2013
