Name,Off,Def,Rapm,Season
Nikola Jokic,5.90295905302938,-1.27030407474043,7.17326312776981,2021-2022-2023
Joel Embiid,3.64888809351889,-2.66927277860561,6.318160872124501,2021-2022-2023
Jrue Holiday,4.18671703909734,-2.07373669853042,6.260453737627761,2021-2022-2023
Kawhi Leonard,4.72088466820867,-1.3274094648333399,6.04829413304201,2021-2022-2023
Stephen Curry,3.90679721900268,-1.3773125046552002,5.28410972365788,2021-2022-2023
Kevin Durant,3.1571173048909005,-2.0753194291638,5.2324367340547004,2021-2022-2023
Jayson Tatum,3.92756424486129,-1.28464986312865,5.21221410798994,2021-2022-2023
Devin Booker,4.52678125332891,-0.09778944937294,4.62457070270185,2021-2022-2023
Paul George,2.26726439869021,-2.3323284943179803,4.59959289300819,2021-2022-2023
Alex Caruso,0.20485278995824,-4.26785662107785,4.4727094110360905,2021-2022-2023
Derrick White,1.93383146777272,-2.5382166500209102,4.47204811779363,2021-2022-2023
Giannis Antetokounmpo,3.1794123365958904,-1.02929792193376,4.20871025852965,2021-2022-2023
Aaron Gordon,2.59546346411965,-1.6128604886890299,4.20832395280868,2021-2022-2023
LeBron James,3.18667108447264,-0.98477917405671,4.17145025852935,2021-2022-2023
Kyrie Irving,4.52355474937958,0.42922191817276,4.0943328312068195,2021-2022-2023
Jaren Jackson Jr.,1.97867055358607,-1.91107101692174,3.8897415705078098,2021-2022-2023
Miles Bridges,1.89658072686394,-1.7961151154245798,3.6926958422885194,2021-2022-2023
Austin Reaves,2.0600784480532,-1.62823304757656,3.6883114956297605,2021-2022-2023
Draymond Green,1.41766422395075,-2.1967008377957,3.6143650617464496,2021-2022-2023
Mike Muscala,1.0357957329474201,-2.54745474462626,3.58325047757368,2021-2022-2023
Fred VanVleet,1.76400892867584,-1.68226724787584,3.4462761765516796,2021-2022-2023
Darius Garland,2.57715466176865,-0.84287620634314,3.4200308681117897,2021-2022-2023
Kenrich Williams,0.41594120887236,-3.00357507774815,3.41951628662051,2021-2022-2023
Mikal Bridges,2.17685154015065,-1.1507679017828298,3.32761944193348,2021-2022-2023
Immanuel Quickley,0.39830223049957997,-2.91102830499826,3.30933053549784,2021-2022-2023
Steven Adams,3.07181126211698,-0.22943464063203,3.30124590274901,2021-2022-2023
Jalen Brunson,3.71306106486989,0.45859881915648,3.2544622457134103,2021-2022-2023
Bam Adebayo,0.60594982522364,-2.4937605056397,3.0997103308633402,2021-2022-2023
Desmond Bane,1.7498950016524,-1.32711114808666,3.07700614973906,2021-2022-2023
Herbert Jones,1.2589928255812601,-1.7757376894741401,3.0347305150554003,2021-2022-2023
George Hill,-0.17361905749642,-3.1445689893584197,2.970949931862,2021-2022-2023
Mike Conley,2.24597825907587,-0.71950852503236,2.9654867841082297,2021-2022-2023
Anthony Davis,-0.03667817444331,-3.00020457957214,2.96352640512883,2021-2022-2023
Franz Wagner,0.8761700828967701,-2.02115233371352,2.89732241661029,2021-2022-2023
Donovan Mitchell,3.1506746602979896,0.30016287511188,2.85051178518611,2021-2022-2023
Myles Turner,1.07049756958892,-1.75975231820407,2.8302498877929896,2021-2022-2023
Jae Crowder,0.54525487025911,-2.25163969684484,2.7968945671039496,2021-2022-2023
Chris Paul,0.56349394557734,-2.17138121159648,2.73487515717382,2021-2022-2023
Jakob Poeltl,1.9554940137279,-0.7736587680486401,2.72915278177654,2021-2022-2023
Zion Williamson,2.6747553335127803,0.010013125180490001,2.66474220833229,2021-2022-2023
Michael Porter Jr.,2.45325815844204,-0.20000694617594,2.6532651046179803,2021-2022-2023
Rudy Gay,0.17753823214815,-2.46164985838207,2.63918809053022,2021-2022-2023
Jimmy Butler,1.90359543840518,-0.72824013304198,2.63183557144716,2021-2022-2023
Damian Lillard,4.34764950321804,1.77938658727659,2.56826291594145,2021-2022-2023
