Name,PLAYER_ID,Poss_Off,Poss_Def,Off,Def,RAPM,Season,Season_Type,Prior_Mode,lambda_off,lambda_def,lambda_meta,lambda_season,Off_SE,Def_SE,RAPM_SE,Off_CI_lo,Off_CI_hi,Def_CI_lo,Def_CI_hi,RAPM_CI_lo,RAPM_CI_hi
Aaron Gordon,203932,1793,1769,2.405,-1.571,3.976,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.704,1.705,2.411,-0.934,5.744,-4.914,1.771,-0.749,8.702
Nikola Jokic,203999,2013,1966,2.891,-1.047,3.938,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.697,1.698,2.401,-0.435,6.217,-4.376,2.282,-0.769,8.644
Jayson Tatum,1628369,3295,3255,1.897,-1.592,3.489,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.648,1.648,2.333,-1.333,5.126,-4.822,1.638,-1.084,8.061
Delon Wright,1626153,412,415,1.099,-1.913,3.012,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.819,1.819,2.571,-2.466,4.664,-5.478,1.651,-2.026,8.051
Gabe Vincent,1629216,2102,2114,0.496,-2.415,2.912,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.643,1.642,2.324,-2.725,3.717,-5.634,0.804,-1.643,7.467
Giannis Antetokounmpo,203507,1012,1011,0.935,-1.973,2.908,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.759,1.759,2.489,-2.512,4.383,-5.42,1.475,-1.97,7.786
LeBron James,2544,1466,1456,1.616,-1.175,2.791,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.731,1.731,2.448,-1.778,5.009,-4.568,2.218,-2.006,7.588
Stephen Curry,201939,2585,2558,1.771,-0.973,2.744,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.665,1.666,2.356,-1.493,5.035,-4.237,2.292,-1.874,7.362
Jamal Murray,1627750,1655,1623,1.92,-0.812,2.732,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.725,1.727,2.44,-1.461,5.301,-4.197,2.573,-2.05,7.513
Paul George,202331,131,130,1.144,-1.416,2.56,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.871,1.871,2.646,-2.523,4.811,-5.084,2.252,-2.627,7.747
Kevon Looney,1626172,1548,1554,0.975,-1.556,2.532,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.691,1.691,2.392,-2.34,4.291,-4.871,1.758,-2.156,7.22
Payton Pritchard,1630202,659,644,1.717,-0.588,2.305,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.775,1.777,2.512,-1.762,5.196,-4.072,2.896,-2.618,7.229
Draymond Green,203110,2217,2198,0.634,-1.656,2.29,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.671,1.671,2.364,-2.64,3.909,-4.931,1.62,-2.344,6.924
Jimmy Butler,202710,2938,2931,1.227,-1.018,2.245,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.623,1.623,2.298,-1.954,4.408,-4.2,2.164,-2.259,6.749
Jrue Holiday,201950,1216,1224,1.49,-0.705,2.195,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.742,1.741,2.465,-1.924,4.903,-4.118,2.707,-2.635,7.026
Joel Embiid,203954,1454,1460,1.079,-1.075,2.155,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.723,1.722,2.436,-2.297,4.456,-4.451,2.3,-2.619,6.928
Kevin Durant,201142,1527,1521,2.323,0.169,2.154,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.694,1.694,2.393,-0.997,5.642,-3.151,3.489,-2.537,6.844
Michael Porter Jr.,1629008,1425,1399,1.755,-0.379,2.134,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.74,1.742,2.461,-1.656,5.165,-3.794,3.035,-2.69,6.958
Chris Paul,101108,1409,1396,1.189,-0.938,2.127,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.716,1.716,2.428,-2.175,4.553,-4.303,2.426,-2.631,6.886
Sam Hauser,1630573,260,246,1.276,-0.829,2.105,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.846,1.848,2.612,-2.341,4.894,-4.452,2.794,-3.015,7.225
Jalen Brunson,1628973,2101,2098,1.957,-0.095,2.052,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.654,1.654,2.339,-1.285,5.199,-3.337,3.147,-2.534,6.637
Desmond Bane,1630217,1235,1236,0.483,-1.493,1.976,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.744,1.743,2.467,-2.935,3.9,-4.91,1.924,-2.86,6.812
Anthony Davis,203076,1453,1443,0.818,-1.145,1.963,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.738,1.738,2.457,-2.588,4.224,-4.55,2.261,-2.852,6.778
Jose Alvarado,1630631,474,479,0.471,-1.465,1.936,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.813,1.812,2.563,-3.082,4.024,-5.017,2.086,-3.088,6.959
Austin Reaves,1630559,1308,1303,0.999,-0.889,1.888,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.746,1.746,2.469,-2.424,4.422,-4.312,2.533,-2.951,6.727
Al Horford,201143,2608,2579,0.765,-1.103,1.868,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.663,1.664,2.354,-2.494,4.025,-4.365,2.16,-2.747,6.483
Gary Payton II,1627780,696,702,0.902,-0.901,1.803,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.772,1.771,2.506,-2.571,4.376,-4.373,2.571,-3.109,6.715
Derrick White,1628401,2167,2167,0.394,-1.357,1.751,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.64,1.64,2.32,-2.82,3.608,-4.571,1.857,-2.796,6.299
Kawhi Leonard,202695,165,163,0.981,-0.759,1.739,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.866,1.866,2.639,-2.677,4.638,-4.417,2.899,-3.434,6.913
Max Strus,1629622,2367,2351,0.495,-1.194,1.689,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.637,1.639,2.319,-2.715,3.704,-4.406,2.018,-2.857,6.235
Shai Gilgeous-Alexander,1628983,233,231,1.334,-0.35,1.684,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.853,1.854,2.621,-2.298,4.966,-3.983,3.283,-3.453,6.821
Andrew Wiggins,203952,2535,2520,0.088,-1.596,1.684,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.67,1.669,2.362,-3.185,3.361,-4.868,1.677,-2.946,6.314
De'Anthony Melton,1629001,777,782,0.068,-1.548,1.616,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.76,1.76,2.489,-3.382,3.519,-4.997,1.901,-3.262,6.495
Jevon Carter,1628975,386,382,0.351,-1.234,1.586,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.821,1.821,2.575,-3.218,3.92,-4.804,2.336,-3.461,6.633
Jaime Jaquez Jr.,1631170,228,226,0.919,-0.651,1.569,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.853,1.853,2.62,-2.712,4.55,-4.282,2.981,-3.566,6.704
P.J. Tucker,200782,1478,1456,0.748,-0.802,1.549,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.68,1.682,2.364,-2.546,4.041,-4.099,2.496,-3.083,6.182
Larry Nance Jr.,1626204,436,434,0.402,-1.115,1.516,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.82,1.82,2.574,-3.165,3.968,-4.682,2.453,-3.529,6.561
Chet Holmgren,1631096,68,65,0.913,-0.592,1.505,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.884,1.885,2.665,-2.78,4.606,-4.286,3.102,-3.719,6.728
Dennis Schroder,203471,777,775,0.303,-1.178,1.481,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.777,1.777,2.512,-3.179,3.785,-4.661,2.304,-3.441,6.404
Steven Adams,203500,208,208,1.255,-0.212,1.467,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.856,1.856,2.625,-2.383,4.894,-3.85,3.427,-3.679,6.612
Otto Porter Jr.,203490,685,671,0.763,-0.682,1.444,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.775,1.777,2.512,-2.717,4.242,-4.165,2.802,-3.479,6.367
Luke Kornet,1628436,85,77,0.951,-0.483,1.435,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.881,1.883,2.661,-2.735,4.638,-4.173,3.207,-3.781,6.651
Devin Booker,1626164,1678,1674,1.914,0.525,1.389,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.691,1.691,2.391,-1.4,5.228,-2.789,3.839,-3.298,6.076
Robert Williams III,1629057,1443,1425,0.4,-0.959,1.36,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.688,1.69,2.389,-2.908,3.708,-4.271,2.352,-3.322,6.041
Kentavious Caldwell-Pope,203484,1432,1404,0.968,-0.377,1.345,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.739,1.741,2.459,-2.44,4.376,-3.789,3.036,-3.476,6.165
Jusuf Nurkic,203994,140,145,0.655,-0.666,1.32,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.871,1.87,2.645,-3.012,4.321,-4.33,2.999,-3.863,6.504
Myles Turner,1626167,101,99,1.131,-0.185,1.316,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.878,1.879,2.656,-2.551,4.812,-3.867,3.497,-3.891,6.523
Nickeil Alexander-Walker,1629638,465,463,0.139,-1.145,1.284,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.817,1.817,2.57,-3.423,3.7,-4.707,2.416,-3.753,6.321
Jaylen Brown,1627759,3077,3041,0.243,-1.004,1.248,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.648,1.649,2.334,-2.987,3.474,-4.236,2.227,-3.326,5.821
Bam Adebayo,1628389,2911,2914,0.021,-1.191,1.212,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.629,1.629,2.306,-3.172,3.214,-4.384,2.002,-3.307,5.731
Trey Murphy III,1630530,652,652,1.15,-0.051,1.202,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.788,1.787,2.528,-2.353,4.654,-3.555,3.452,-3.753,6.156
Obi Toppin,1630167,347,349,0.777,-0.408,1.185,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.832,1.832,2.59,-2.814,4.367,-3.998,3.182,-3.892,6.261
D'Angelo Russell,1626156,1648,1625,1.099,-0.075,1.174,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.695,1.696,2.399,-2.223,4.42,-3.4,3.25,-3.529,5.876
