Name,PLAYER_ID,Poss_Off,Poss_Def,Off,Def,RAPM,Season,Season_Type,Prior_Mode,lambda_off,lambda_def,lambda_meta,lambda_season,Off_SE,Def_SE,RAPM_SE,Off_CI_lo,Off_CI_hi,Def_CI_lo,Def_CI_hi,RAPM_CI_lo,RAPM_CI_hi
Gabe Vincent,1629216,2102,2114,0.024,-0.696,0.72,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.387,0.882,0.963,-0.734,0.782,-2.424,1.032,-1.167,2.606
Jayson Tatum,1628369,3295,3255,0.078,-0.486,0.563,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.385,0.869,0.951,-0.676,0.832,-2.19,1.218,-1.3,2.427
Aaron Gordon,203932,1793,1769,0.169,-0.326,0.495,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.387,0.89,0.97,-0.59,0.928,-2.07,1.418,-1.407,2.396
Andrew Wiggins,203952,2535,2520,0.025,-0.467,0.493,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.386,0.878,0.959,-0.731,0.782,-2.189,1.254,-1.387,2.372
Kevon Looney,1626172,1548,1554,0.029,-0.457,0.486,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.388,0.892,0.972,-0.731,0.789,-2.205,1.291,-1.419,2.392
Giannis Antetokounmpo,203507,1012,1011,-0.018,-0.48,0.462,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.902,0.983,-0.779,0.744,-2.249,1.289,-1.464,2.388
Jamal Murray,1627750,1655,1623,0.157,-0.283,0.44,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.388,0.893,0.973,-0.603,0.916,-2.034,1.468,-1.468,2.348
Max Strus,1629622,2367,2351,0.011,-0.414,0.426,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.386,0.878,0.959,-0.746,0.768,-2.136,1.307,-1.455,2.306
Jaylen Brown,1627759,3077,3041,0.04,-0.364,0.404,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.385,0.872,0.953,-0.715,0.795,-2.073,1.345,-1.464,2.272
Al Horford,201143,2608,2579,0.046,-0.35,0.395,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.386,0.878,0.959,-0.711,0.802,-2.071,1.372,-1.485,2.276
Stephen Curry,201939,2585,2558,0.05,-0.329,0.379,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.386,0.877,0.958,-0.706,0.807,-2.048,1.391,-1.499,2.258
Jimmy Butler,202710,2938,2931,0.024,-0.338,0.362,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.385,0.87,0.952,-0.731,0.78,-2.044,1.368,-1.503,2.227
De'Anthony Melton,1629001,777,782,-0.019,-0.348,0.328,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.906,0.986,-0.782,0.743,-2.124,1.428,-1.604,2.261
Delon Wright,1626153,412,415,0.045,-0.279,0.324,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.915,0.995,-0.719,0.808,-2.073,1.514,-1.625,2.274
Desmond Bane,1630217,1235,1236,-0.032,-0.332,0.3,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.388,0.898,0.978,-0.793,0.729,-2.092,1.428,-1.617,2.217
