Name,PLAYER_ID,Poss_Off,Poss_Def,Off,Def,RAPM,Season,Season_Type,Prior_Mode,lambda_off,lambda_def,lambda_meta,lambda_season
Aaron Gordon,203932,1793,1769,2.355,-1.654,4.009,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Nikola Jokic,203999,2013,1966,2.819,-1.139,3.958,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jayson Tatum,1628369,3295,3255,1.872,-1.644,3.516,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Delon Wright,1626153,412,415,1.099,-1.928,3.027,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Gabe Vincent,1629216,2102,2114,0.468,-2.502,2.971,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Giannis Antetokounmpo,203507,1012,1011,0.956,-1.96,2.915,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
LeBron James,2544,1466,1456,1.514,-1.325,2.839,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jamal Murray,1627750,1655,1623,1.837,-0.925,2.762,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Stephen Curry,201939,2585,2558,1.736,-1.016,2.752,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Paul George,202331,131,130,1.149,-1.437,2.586,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Kevon Looney,1626172,1548,1554,0.941,-1.575,2.516,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Draymond Green,203110,2217,2198,0.619,-1.686,2.306,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Payton Pritchard,1630202,659,644,1.697,-0.588,2.285,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jimmy Butler,202710,2938,2931,1.166,-1.083,2.248,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jrue Holiday,201950,1216,1224,1.473,-0.705,2.178,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Kevin Durant,201142,1527,1521,2.239,0.073,2.167,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Michael Porter Jr.,1629008,1425,1399,1.681,-0.478,2.159,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Chris Paul,101108,1409,1396,1.136,-0.968,2.104,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Sam Hauser,1630573,260,246,1.217,-0.867,2.084,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Joel Embiid,203954,1454,1460,0.978,-1.098,2.077,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Anthony Davis,203076,1453,1443,0.725,-1.299,2.024,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jalen Brunson,1628973,2101,2098,1.874,-0.14,2.014,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Desmond Bane,1630217,1235,1236,0.481,-1.496,1.978,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Austin Reaves,1630559,1308,1303,0.915,-1.012,1.927,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jose Alvarado,1630631,474,479,0.435,-1.487,1.922,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Gary Payton II,1627780,696,702,0.919,-0.947,1.866,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Al Horford,201143,2608,2579,0.735,-1.121,1.856,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Kawhi Leonard,202695,165,163,0.993,-0.804,1.797,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Derrick White,1628401,2167,2167,0.359,-1.418,1.778,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Max Strus,1629622,2367,2351,0.448,-1.263,1.711,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Shai Gilgeous-Alexander,1628983,233,231,1.301,-0.405,1.706,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Andrew Wiggins,203952,2535,2520,0.049,-1.635,1.684,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jevon Carter,1628975,386,382,0.347,-1.284,1.632,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
De'Anthony Melton,1629001,777,782,0.023,-1.592,1.614,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
P.J. Tucker,200782,1478,1456,0.769,-0.817,1.586,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jaime Jaquez Jr.,1631170,228,226,0.866,-0.705,1.571,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Chet Holmgren,1631096,68,65,0.889,-0.607,1.496,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Steven Adams,203500,208,208,1.272,-0.21,1.482,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Larry Nance Jr.,1626204,436,434,0.377,-1.105,1.481,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Dennis Schroder,203471,777,775,0.243,-1.214,1.458,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Luke Kornet,1628436,85,77,0.922,-0.499,1.421,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Otto Porter Jr.,203490,685,671,0.775,-0.643,1.418,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Devin Booker,1626164,1678,1674,1.837,0.429,1.408,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Robert Williams III,1629057,1443,1425,0.385,-0.997,1.382,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Kentavious Caldwell-Pope,203484,1432,1404,0.892,-0.471,1.364,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jusuf Nurkic,203994,140,145,0.643,-0.714,1.357,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Myles Turner,1626167,101,99,1.108,-0.213,1.32,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Nickeil Alexander-Walker,1629638,465,463,0.074,-1.194,1.268,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jaylen Brown,1627759,3077,3041,0.209,-1.048,1.257,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
D'Angelo Russell,1626156,1648,1625,1.05,-0.193,1.242,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Bam Adebayo,1628389,2911,2914,-0.046,-1.268,1.222,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Obi Toppin,1630167,347,349,0.744,-0.451,1.195,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Bobby Portis,1626171,806,800,0.341,-0.85,1.19,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Trey Murphy III,1630530,652,652,1.076,-0.088,1.165,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Javonte Green,1629750,289,286,0.693,-0.458,1.15,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Miles McBride,1630540,105,106,0.144,-0.962,1.107,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Naji Marshall,1630230,205,211,0.134,-0.966,1.1,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Damian Lillard,203081,61,59,0.964,-0.132,1.097,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jonathan Isaac,1628371,150,154,-0.235,-1.329,1.094,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Malik Monk,1628370,419,410,0.663,-0.42,1.083,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Amen Thompson,1641708,154,153,0.381,-0.684,1.065,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
De'Aaron Fox,1628368,815,819,0.789,-0.271,1.06,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Kyle Lowry,200768,1814,1826,0.35,-0.704,1.054,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Bogdan Bogdanovic,203992,720,737,1.439,0.398,1.041,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Rudy Gobert,203497,938,927,0.204,-0.807,1.011,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jaden McDaniels,1630183,477,468,0.617,-0.387,1.003,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Dillon Brooks,1628415,1003,1007,-0.504,-1.501,0.998,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Isaiah Joe,1630198,122,123,0.561,-0.433,0.995,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Chris Boucher,1628449,199,205,0.324,-0.652,0.976,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Kenrich Williams,1629026,21,23,0.118,-0.846,0.964,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Isaiah Hartenstein,1628392,496,502,0.607,-0.352,0.959,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Franz Wagner,1630532,193,196,-0.162,-1.12,0.958,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Hassan Whiteside,202355,110,114,0.652,-0.293,0.945,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Tre Jones,1630200,139,136,0.699,-0.241,0.941,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jock Landale,1629111,264,268,0.33,-0.607,0.937,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Dante Exum,203957,34,35,0.713,-0.222,0.935,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
T.J. Warren,203933,141,141,0.141,-0.776,0.916,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Andre Drummond,203083,215,211,0.385,-0.509,0.893,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Tyrese Maxey,1630178,1867,1863,0.685,-0.207,0.891,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Luguentz Dort,1629652,211,207,0.447,-0.443,0.889,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
James Harden,201935,1598,1594,1.029,0.146,0.883,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Kristaps Porzingis,204001,45,45,0.291,-0.582,0.874,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Mikal Bridges,1628969,1243,1245,0.632,-0.227,0.858,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Anthony Edwards,1630162,1141,1138,0.559,-0.294,0.852,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Caleb Martin,1628997,1749,1759,0.11,-0.735,0.845,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Svi Mykhailiuk,1629004,96,88,0.398,-0.437,0.835,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Tyrese Haliburton,1630169,124,123,1.342,0.522,0.821,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Bruce Brown,1628971,1335,1315,0.57,-0.229,0.799,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Lauri Markkanen,1628374,124,125,0.635,-0.147,0.782,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Dorian Finney-Smith,1627827,1359,1374,0.62,-0.162,0.782,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Kyrie Irving,202681,449,449,1.16,0.379,0.781,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Trey Lyles,1626168,358,355,0.163,-0.618,0.781,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Immanuel Quickley,1630193,349,351,-1.075,-1.851,0.776,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Domantas Sabonis,1627734,752,745,-0.085,-0.845,0.76,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Luke Kennard,1628379,199,197,0.513,-0.235,0.749,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Alex Len,203458,155,156,-0.041,-0.783,0.741,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Khris Middleton,203114,573,574,0.606,-0.12,0.726,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Donovan Mitchell,1628378,935,928,0.159,-0.534,0.693,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Onyeka Okongwu,1630168,515,529,0.591,-0.101,0.693,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Keon Ellis,1631165,210,208,-0.342,-1.028,0.687,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Darius Garland,1629636,615,606,0.152,-0.53,0.682,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Amari Bailey,1641735,44,44,0.307,-0.373,0.68,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Marcus Smart,203935,2644,2645,0.085,-0.585,0.67,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Cam Whitmore,1641715,133,131,-0.02,-0.674,0.654,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Mike Muscala,203488,3,4,0.207,-0.439,0.646,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jordan McLaughlin,1629162,228,230,-0.284,-0.925,0.64,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Zion Williamson,1629627,198,199,0.107,-0.517,0.623,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Tobias Harris,202699,1732,1732,-0.071,-0.677,0.606,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
