Name,PLAYER_ID,Poss_Off,Poss_Def,Off,Def,RAPM,Season,Season_Type,Prior_Mode,lambda_off,lambda_def,lambda_meta,lambda_season
Aaron Gordon,203932,1793,1769,2.335,-1.64,3.975,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Gabe Vincent,1629216,2102,2114,0.508,-2.746,3.254,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Jamal Murray,1627750,1655,1623,1.923,-1.257,3.18,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Delon Wright,1626153,412,415,1.355,-1.544,2.899,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Jayson Tatum,1628369,3295,3255,1.232,-1.602,2.834,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Payton Pritchard,1630202,659,644,1.795,-0.586,2.381,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Kevon Looney,1626172,1548,1554,0.556,-1.702,2.258,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Giannis Antetokounmpo,203507,1012,1011,0.135,-2.021,2.156,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Michael Porter Jr.,1629008,1425,1399,1.715,-0.347,2.062,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Jevon Carter,1628975,386,382,1.028,-0.962,1.991,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
LeBron James,2544,1466,1456,0.673,-1.289,1.963,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Trey Murphy III,1630530,652,652,1.625,-0.254,1.88,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Austin Reaves,1630559,1308,1303,0.817,-0.986,1.804,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Andrew Wiggins,203952,2535,2520,0.255,-1.522,1.778,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Desmond Bane,1630217,1235,1236,0.261,-1.475,1.735,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Dennis Schroder,203471,777,775,0.412,-1.313,1.725,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Chris Paul,101108,1409,1396,1.275,-0.412,1.687,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Stephen Curry,201939,2585,2558,0.941,-0.736,1.678,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Nikola Jokic,203999,2013,1966,1.423,-0.247,1.67,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Sam Hauser,1630573,260,246,1.235,-0.423,1.657,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Jaime Jaquez Jr.,1631170,228,226,1.024,-0.605,1.629,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Max Strus,1629622,2367,2351,0.268,-1.325,1.592,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Nickeil Alexander-Walker,1629638,465,463,0.178,-1.398,1.576,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
P.J. Tucker,200782,1478,1456,0.796,-0.769,1.565,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Otto Porter Jr.,203490,685,671,1.177,-0.386,1.564,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
Al Horford,201143,2608,2579,0.543,-0.977,1.52,2022-23-24,playoff,zero,3000.0,3000.0,300.0,100.0
