pred_bin,n,pred_mean,actual_mean
"(0.893, 1.066]",24519.0,1.041494984813956,1.057587992985032
"(1.066, 1.089]",24515.0,1.0782355030008748,1.082316948806853
"(1.089, 1.106]",24516.0,1.0979328615389576,1.1171479849893946
"(1.106, 1.121]",24517.0,1.113911199841033,1.1429620263490639
"(1.121, 1.135]",24519.0,1.1283691554541808,1.136628736897916
"(1.135, 1.15]",24514.0,1.1426044059095166,1.1548502896304154
"(1.15, 1.166]",24518.0,1.1576164175089705,1.16306387144139
"(1.166, 1.185]",24517.0,1.1747035629091023,1.1776726353142717
"(1.185, 1.212]",24516.0,1.197282101571876,1.2011747430249633
"(1.212, 1.386]",24516.0,1.2405122589088808,1.2265051395007343
