iteration,tuned_block,lambda_offense,lambda_defense,lambda_home,lambda_playoff,lambda_rubber_band,lambda_season,cv_rmse
1,playoff,2500.0,4000.0,5000.0,5000.0,2000.0,5000.0,1.1886126876864662
2,season,2500.0,4000.0,5000.0,5000.0,2000.0,5000.0,1.1886126876864662
2,home,2500.0,4000.0,5000.0,5000.0,2000.0,5000.0,1.1886126876864662
2,playoff,2500.0,4000.0,5000.0,5000.0,2000.0,5000.0,1.1886126876864662
2,home,2500.0,4000.0,2000.0,5000.0,2000.0,5000.0,1.18861271880179
2,home,2500.0,4000.0,1000.0,5000.0,2000.0,5000.0,1.1886127302295928
2,home,2500.0,4000.0,500.0,5000.0,2000.0,5000.0,1.1886127361527976
2,home,2500.0,4000.0,250.0,5000.0,2000.0,5000.0,1.1886127391728574
2,home,2500.0,4000.0,100.0,5000.0,2000.0,5000.0,1.188612741004762
2,home,2500.0,4000.0,50.0,5000.0,2000.0,5000.0,1.188612741593357
2,home,2500.0,4000.0,25.0,5000.0,2000.0,5000.0,1.188612741910224
2,home,2500.0,4000.0,10.0,5000.0,2000.0,5000.0,1.1886127421081973
2,playoff,2500.0,4000.0,5000.0,2000.0,2000.0,5000.0,1.1886179497116052
1,playoff,2500.0,4000.0,5000.0,2000.0,2000.0,5000.0,1.1886179497116052
2,season,2500.0,4000.0,5000.0,5000.0,2000.0,2000.0,1.1886198997468478
1,playoff,2500.0,4000.0,5000.0,1000.0,2000.0,5000.0,1.1886200735543373
2,playoff,2500.0,4000.0,5000.0,1000.0,2000.0,5000.0,1.1886200735543373
1,playoff,2500.0,4000.0,5000.0,500.0,2000.0,5000.0,1.1886212221778045
2,playoff,2500.0,4000.0,5000.0,500.0,2000.0,5000.0,1.1886212221778045
1,season,2500.0,4000.0,5000.0,250.0,2000.0,5000.0,1.188621820291338
1,playoff,2500.0,4000.0,5000.0,250.0,2000.0,5000.0,1.188621820291338
2,playoff,2500.0,4000.0,5000.0,250.0,2000.0,5000.0,1.188621820291338
1,playoff,2500.0,4000.0,5000.0,100.0,2000.0,5000.0,1.18862218717497
2,playoff,2500.0,4000.0,5000.0,100.0,2000.0,5000.0,1.18862218717497
1,playoff,2500.0,4000.0,5000.0,50.0,2000.0,5000.0,1.1886223107686882
2,playoff,2500.0,4000.0,5000.0,50.0,2000.0,5000.0,1.1886223107686882
2,playoff,2500.0,4000.0,5000.0,25.0,2000.0,5000.0,1.1886223729410146
1,playoff,2500.0,4000.0,5000.0,25.0,2000.0,5000.0,1.1886223729410146
2,playoff,2500.0,4000.0,5000.0,10.0,2000.0,5000.0,1.188622410276632
1,playoff,2500.0,4000.0,5000.0,10.0,2000.0,5000.0,1.188622410276632
2,season,2500.0,4000.0,5000.0,5000.0,2000.0,1000.0,1.1886226227503955
2,season,2500.0,4000.0,5000.0,5000.0,2000.0,500.0,1.1886240542227342
2,season,2500.0,4000.0,5000.0,5000.0,2000.0,250.0,1.1886247885865642
2,season,2500.0,4000.0,5000.0,5000.0,2000.0,100.0,1.188625235475755
2,season,2500.0,4000.0,5000.0,5000.0,2000.0,50.0,1.188625385463598
2,season,2500.0,4000.0,5000.0,5000.0,2000.0,25.0,1.188625460574874
2,season,2500.0,4000.0,5000.0,5000.0,2000.0,10.0,1.1886255058539945
1,season,2500.0,4000.0,5000.0,250.0,2000.0,2000.0,1.1886298578991852
1,season,2500.0,4000.0,5000.0,250.0,2000.0,1000.0,1.1886328947851184
1,season,2500.0,4000.0,5000.0,250.0,2000.0,500.0,1.18863449167909
1,home,2500.0,4000.0,5000.0,250.0,2000.0,250.0,1.188635311044371
1,season,2500.0,4000.0,5000.0,250.0,2000.0,250.0,1.188635311044371
1,home,2500.0,4000.0,2000.0,250.0,2000.0,250.0,1.1886353420388611
1,home,2500.0,4000.0,1000.0,250.0,2000.0,250.0,1.188635353421018
1,home,2500.0,4000.0,500.0,250.0,2000.0,250.0,1.18863535931373
1,home,2500.0,4000.0,250.0,250.0,2000.0,250.0,1.1886353623081418
1,home,2500.0,4000.0,100.0,250.0,2000.0,250.0,1.1886353641562633
1,home,2500.0,4000.0,50.0,250.0,2000.0,250.0,1.1886353647352488
1,home,2500.0,4000.0,25.0,250.0,2000.0,250.0,1.1886353650401746
1,home,2500.0,4000.0,10.0,250.0,2000.0,250.0,1.1886353652494148
1,season,2500.0,4000.0,5000.0,250.0,2000.0,100.0,1.1886358096062888
1,season,2500.0,4000.0,5000.0,250.0,2000.0,50.0,1.188635976979198
1,season,2500.0,4000.0,5000.0,250.0,2000.0,25.0,1.1886360608823148
1,season,2500.0,4000.0,5000.0,250.0,2000.0,10.0,1.1886361112925332
