iteration,tuned_block,lambda_offense,lambda_defense,lambda_rubber_band,cv_rmse
1,rubber_band,2500.0,4000.0,2000.0,1.188487170538732
2,defense,2500.0,4000.0,2000.0,1.188487170538732
2,offense,2500.0,4000.0,2000.0,1.188487170538732
2,rubber_band,2500.0,4000.0,2000.0,1.188487170538732
2,rubber_band,2500.0,4000.0,1000.0,1.1884872938931825
1,rubber_band,2500.0,4000.0,1000.0,1.1884872938931825
2,rubber_band,2500.0,4000.0,500.0,1.1884873570461638
1,rubber_band,2500.0,4000.0,500.0,1.1884873570461638
1,rubber_band,2500.0,4000.0,250.0,1.1884873889526044
2,rubber_band,2500.0,4000.0,250.0,1.1884873889526044
1,defense,2500.0,4000.0,250.0,1.1884873889526044
1,rubber_band,2500.0,4000.0,100.0,1.18848740800228
2,rubber_band,2500.0,4000.0,100.0,1.18848740800228
2,rubber_band,2500.0,4000.0,50.0,1.188487414701671
1,rubber_band,2500.0,4000.0,50.0,1.188487414701671
1,rubber_band,2500.0,4000.0,25.0,1.1884874176533655
2,rubber_band,2500.0,4000.0,25.0,1.1884874176533655
1,rubber_band,2500.0,4000.0,10.0,1.1884874197407365
2,rubber_band,2500.0,4000.0,10.0,1.1884874197407365
2,offense,2250.0,4000.0,2000.0,1.1884876106752187
2,offense,2750.0,4000.0,2000.0,1.1884880635637693
2,defense,2500.0,3750.0,2000.0,1.1884881321194685
1,defense,2500.0,3750.0,250.0,1.1884883551535506
2,defense,2500.0,3500.0,2000.0,1.1884896885755103
2,offense,2000.0,4000.0,2000.0,1.1884898292717299
1,offense,2500.0,3500.0,250.0,1.1884899170456247
1,defense,2500.0,3500.0,250.0,1.1884899170456247
2,offense,3000.0,4000.0,2000.0,1.1884899680422103
1,offense,2250.0,3500.0,250.0,1.1884902685984267
1,offense,2750.0,3500.0,250.0,1.1884909034991153
2,defense,2500.0,3250.0,2000.0,1.1884919771072184
1,defense,2500.0,3250.0,250.0,1.1884922110186573
1,offense,2000.0,3500.0,250.0,1.1884924062652606
2,offense,3250.0,4000.0,2000.0,1.1884926477426814
1,offense,3000.0,3500.0,250.0,1.1884929057212155
2,offense,1750.0,4000.0,2000.0,1.18849446204496
2,defense,2500.0,3000.0,2000.0,1.188495174907934
1,defense,2500.0,3000.0,250.0,1.1884954149710671
1,offense,3250.0,3500.0,250.0,1.1884956851933755
2,offense,3500.0,4000.0,2000.0,1.1884959226122167
1,offense,1750.0,3500.0,250.0,1.188496968856079
1,offense,3500.0,3500.0,250.0,1.1884990609099897
2,defense,2500.0,2750.0,2000.0,1.1884995129634124
2,offense,3750.0,4000.0,2000.0,1.1884996563618002
1,defense,2500.0,2750.0,250.0,1.188499760183622
2,offense,1500.0,4000.0,2000.0,1.1885024515490694
1,offense,3750.0,3500.0,250.0,1.1885028956715507
2,offense,4000.0,4000.0,2000.0,1.1885037429348722
1,offense,1500.0,3500.0,250.0,1.1885049024531786
2,defense,2500.0,2500.0,2000.0,1.1885052995729208
1,defense,2500.0,2500.0,250.0,1.188505554427034
1,offense,4000.0,3500.0,250.0,1.1885070828129158
2,defense,2500.0,2250.0,2000.0,1.1885129531530438
1,defense,2500.0,2250.0,250.0,1.1885132171576664
2,defense,2500.0,2000.0,2000.0,1.1885230594222191
1,defense,2500.0,2000.0,250.0,1.1885233336582055
2,defense,2500.0,1750.0,2000.0,1.188536463360551
1,defense,2500.0,1750.0,250.0,1.1885367493660033
2,defense,2500.0,1500.0,2000.0,1.1885544358833113
1,defense,2500.0,1500.0,250.0,1.188554735810603
