feature_name,definition,unit,denominator,source_family,official_source_block,allowed_to_change,changed_rows_all_seasons,changed_rows_development_2014_2024,public_observation_mask_reconstructed,latest_observation_mask_reconstructed,public_feature_sha256,refresh_feature_sha256,latest_feature_sha256
PTS_p100,100 times PTS divided by OffPoss,events_per_100,OffPoss,player_sheet,False,False,0,0,True,True,d18123e903c27ca8e8b120876956c771bacc8cc651e31df3633b308c51744ce2,60072513254ab75ab44cc14c9f80e3f441f7f427ca9cf536776cb65ab336a630,0f2976ed76797b490596a8cf8ee98d246eb9c4f315ab86219d633b6d91d942d8
AST_p100,100 times AST divided by OffPoss,events_per_100,OffPoss,player_sheet,False,False,0,0,True,True,d18123e903c27ca8e8b120876956c771bacc8cc651e31df3633b308c51744ce2,60072513254ab75ab44cc14c9f80e3f441f7f427ca9cf536776cb65ab336a630,0f2976ed76797b490596a8cf8ee98d246eb9c4f315ab86219d633b6d91d942d8
TOV_p100,100 times TOV divided by OffPoss,events_per_100,OffPoss,player_sheet,False,False,0,0,True,True,d18123e903c27ca8e8b120876956c771bacc8cc651e31df3633b308c51744ce2,60072513254ab75ab44cc14c9f80e3f441f7f427ca9cf536776cb65ab336a630,0f2976ed76797b490596a8cf8ee98d246eb9c4f315ab86219d633b6d91d942d8
STL_p100,100 times STL divided by DefPoss,events_per_100,DefPoss,player_sheet,False,False,0,0,True,True,d18123e903c27ca8e8b120876956c771bacc8cc651e31df3633b308c51744ce2,60072513254ab75ab44cc14c9f80e3f441f7f427ca9cf536776cb65ab336a630,0f2976ed76797b490596a8cf8ee98d246eb9c4f315ab86219d633b6d91d942d8
BLK_p100,100 times BLK divided by DefPoss,events_per_100,DefPoss,player_sheet,False,False,0,0,True,True,d18123e903c27ca8e8b120876956c771bacc8cc651e31df3633b308c51744ce2,60072513254ab75ab44cc14c9f80e3f441f7f427ca9cf536776cb65ab336a630,0f2976ed76797b490596a8cf8ee98d246eb9c4f315ab86219d633b6d91d942d8
OREB_p100,100 times OREB divided by OffPoss,events_per_100,OffPoss,player_sheet,False,False,0,0,True,True,d18123e903c27ca8e8b120876956c771bacc8cc651e31df3633b308c51744ce2,60072513254ab75ab44cc14c9f80e3f441f7f427ca9cf536776cb65ab336a630,0f2976ed76797b490596a8cf8ee98d246eb9c4f315ab86219d633b6d91d942d8
DREB_p100,100 times DREB divided by DefPoss,events_per_100,DefPoss,player_sheet,False,False,0,0,True,True,d18123e903c27ca8e8b120876956c771bacc8cc651e31df3633b308c51744ce2,60072513254ab75ab44cc14c9f80e3f441f7f427ca9cf536776cb65ab336a630,0f2976ed76797b490596a8cf8ee98d246eb9c4f315ab86219d633b6d91d942d8
PF_p100,100 times PF divided by DefPoss,events_per_100,DefPoss,player_sheet,False,False,0,0,True,True,d18123e903c27ca8e8b120876956c771bacc8cc651e31df3633b308c51744ce2,60072513254ab75ab44cc14c9f80e3f441f7f427ca9cf536776cb65ab336a630,0f2976ed76797b490596a8cf8ee98d246eb9c4f315ab86219d633b6d91d942d8
PFD_p100,100 times PFD divided by OffPoss,events_per_100,OffPoss,player_sheet,False,False,0,0,True,True,d18123e903c27ca8e8b120876956c771bacc8cc651e31df3633b308c51744ce2,60072513254ab75ab44cc14c9f80e3f441f7f427ca9cf536776cb65ab336a630,0f2976ed76797b490596a8cf8ee98d246eb9c4f315ab86219d633b6d91d942d8
FTA_p100,100 times FTA divided by OffPoss,events_per_100,OffPoss,player_sheet,False,False,0,0,True,True,d18123e903c27ca8e8b120876956c771bacc8cc651e31df3633b308c51744ce2,60072513254ab75ab44cc14c9f80e3f441f7f427ca9cf536776cb65ab336a630,0f2976ed76797b490596a8cf8ee98d246eb9c4f315ab86219d633b6d91d942d8
