feature_name,source_family,season,common_rows,changed_rows,mean_absolute_difference,maximum_absolute_difference,old_new_correlation,public_observed_rows,latest_observed_rows
PTS_p100,player_sheet,2014,482,0,0.0,0.0,1.0,482,482
PTS_p100,player_sheet,2015,492,0,0.0,0.0,1.0,492,492
PTS_p100,player_sheet,2016,476,0,0.0,0.0,1.0,476,476
PTS_p100,player_sheet,2017,486,0,0.0,0.0,1.0,486,486
PTS_p100,player_sheet,2018,540,0,0.0,0.0,0.9999999999999999,540,540
PTS_p100,player_sheet,2019,530,0,0.0,0.0,1.0,530,530
PTS_p100,player_sheet,2020,529,0,0.0,0.0,1.0,529,529
PTS_p100,player_sheet,2021,540,0,0.0,0.0,1.0,540,540
PTS_p100,player_sheet,2022,605,0,0.0,0.0,0.9999999999999999,605,605
PTS_p100,player_sheet,2023,539,0,0.0,0.0,1.0,539,539
PTS_p100,player_sheet,2024,572,0,0.0,0.0,0.9999999999999999,572,572
PTS_p100,player_sheet,2025,569,0,0.0,0.0,0.9999999999999999,569,569
PTS_p100,player_sheet,2026,582,0,0.0,0.0,1.0,582,582
AST_p100,player_sheet,2014,482,0,0.0,0.0,1.0,482,482
AST_p100,player_sheet,2015,492,0,0.0,0.0,1.0,492,492
AST_p100,player_sheet,2016,476,0,0.0,0.0,1.0,476,476
AST_p100,player_sheet,2017,486,0,0.0,0.0,0.9999999999999999,486,486
AST_p100,player_sheet,2018,540,0,0.0,0.0,0.9999999999999999,540,540
AST_p100,player_sheet,2019,530,0,0.0,0.0,0.9999999999999998,530,530
AST_p100,player_sheet,2020,529,0,0.0,0.0,1.0,529,529
AST_p100,player_sheet,2021,540,0,0.0,0.0,1.0,540,540
AST_p100,player_sheet,2022,605,0,0.0,0.0,0.9999999999999999,605,605
AST_p100,player_sheet,2023,539,0,0.0,0.0,1.0,539,539
AST_p100,player_sheet,2024,572,0,0.0,0.0,1.0,572,572
AST_p100,player_sheet,2025,569,0,0.0,0.0,1.0,569,569
AST_p100,player_sheet,2026,582,0,0.0,0.0,1.0,582,582
TOV_p100,player_sheet,2014,482,0,0.0,0.0,1.0,482,482
TOV_p100,player_sheet,2015,492,0,0.0,0.0,1.0,492,492
TOV_p100,player_sheet,2016,476,0,0.0,0.0,1.0,476,476
TOV_p100,player_sheet,2017,486,0,0.0,0.0,0.9999999999999998,486,486
TOV_p100,player_sheet,2018,540,0,0.0,0.0,1.0,540,540
TOV_p100,player_sheet,2019,530,0,0.0,0.0,0.9999999999999998,530,530
TOV_p100,player_sheet,2020,529,0,0.0,0.0,1.0,529,529
TOV_p100,player_sheet,2021,540,0,0.0,0.0,1.0,540,540
TOV_p100,player_sheet,2022,605,0,0.0,0.0,1.0,605,605
TOV_p100,player_sheet,2023,539,0,0.0,0.0,0.9999999999999998,539,539
TOV_p100,player_sheet,2024,572,0,0.0,0.0,0.9999999999999998,572,572
TOV_p100,player_sheet,2025,569,0,0.0,0.0,1.0,569,569
TOV_p100,player_sheet,2026,582,0,0.0,0.0,1.0,582,582
STL_p100,player_sheet,2014,482,0,0.0,0.0,1.0,482,482
STL_p100,player_sheet,2015,492,0,0.0,0.0,1.0,492,492
STL_p100,player_sheet,2016,476,0,0.0,0.0,1.0,476,476
STL_p100,player_sheet,2017,486,0,0.0,0.0,1.0,486,486
STL_p100,player_sheet,2018,540,0,0.0,0.0,1.0,540,540
STL_p100,player_sheet,2019,530,0,0.0,0.0,1.0,530,530
STL_p100,player_sheet,2020,529,0,0.0,0.0,1.0,529,529
STL_p100,player_sheet,2021,540,0,0.0,0.0,0.9999999999999998,540,540
STL_p100,player_sheet,2022,605,0,0.0,0.0,1.0,605,605
STL_p100,player_sheet,2023,539,0,0.0,0.0,0.9999999999999999,539,539
STL_p100,player_sheet,2024,572,0,0.0,0.0,1.0,572,572
STL_p100,player_sheet,2025,569,0,0.0,0.0,1.0,569,569
STL_p100,player_sheet,2026,582,0,0.0,0.0,1.0,582,582
BLK_p100,player_sheet,2014,482,0,0.0,0.0,1.0,482,482
BLK_p100,player_sheet,2015,492,0,0.0,0.0,0.9999999999999998,492,492
